species,te_level,composition_mode,feature,closed_proportion,clr_value
conanti,superfamily,classified_conditional,CACTA,0.010202324842365391,1.1751139862591522
conanti,superfamily,classified_conditional,Copia,0.008179490201936094,0.9541281923887786
conanti,superfamily,classified_conditional,Cyrypton,0.001815295997655403,-0.5512530952543422
conanti,superfamily,classified_conditional,DIRS,0.06876486827560252,3.0831913452094946
conanti,superfamily,classified_conditional,EnSpm,0.00031722545960741,-2.2956441626449653
conanti,superfamily,classified_conditional,Gypsy,0.5491829329706096,5.160929963464671
conanti,superfamily,classified_conditional,Helitron,0.002051700632580987,-0.4288326076716631
conanti,superfamily,classified_conditional,IS3EU,5.5021308847732586e-05,-4.047536368969594
conanti,superfamily,classified_conditional,Jockey,0.001026685789425584,-1.1211656995742585
conanti,superfamily,classified_conditional,Kolobok,0.00022924117757171014,-2.6204822862429005
conanti,superfamily,classified_conditional,L1,0.06932044209706656,3.0912382086714842
conanti,superfamily,classified_conditional,L2,0.09475616736319074,3.4038052989665535
conanti,superfamily,classified_conditional,MITE,0.0023727213013825035,-0.2834641089136536
conanti,superfamily,classified_conditional,MULE,0.00017313401720455294,-2.90119095224291
conanti,superfamily,classified_conditional,Maverick,0.003638506587817681,0.1440716856074582
conanti,superfamily,classified_conditional,Mutator,0.023928252360854017,2.0275582341655927
conanti,superfamily,classified_conditional,P,7.386425894027014e-05,-3.753027842664375
conanti,superfamily,classified_conditional,PIF-Harbinger,0.04846126735344578,2.733263233832368
conanti,superfamily,classified_conditional,Penelope,7.656966327204003e-05,-3.7170559552975106
conanti,superfamily,classified_conditional,PiggyBac,0.000539316357634949,-1.7649545796461483
conanti,superfamily,classified_conditional,Tc1-mariner,0.01455490267561589,1.5304262567298963
conanti,superfamily,classified_conditional,hAT,0.09889222324079369,3.4465289692048016
conanti,superfamily,classified_conditional,tRNA,0.0010143763973831756,-1.1332275969158232
fuscus,superfamily,classified_conditional,Academ,0.0002885286054228581,-2.2690972536150182
fuscus,superfamily,classified_conditional,CACTA,0.008828396515589126,1.151837195150585
fuscus,superfamily,classified_conditional,Copia,0.007063056119522618,0.9287416280484129
fuscus,superfamily,classified_conditional,Cyrypton,0.0013879341022296414,-0.6983198237336277
fuscus,superfamily,classified_conditional,DIRS,0.0730868792029096,3.26551265166563
fuscus,superfamily,classified_conditional,EnSpm,0.0003943641153892225,-1.956616853625901
fuscus,superfamily,classified_conditional,Gypsy,0.5796552825256926,5.336297378465825
fuscus,superfamily,classified_conditional,Helitron,0.0017729589467786319,-0.4534863357525696
fuscus,superfamily,classified_conditional,IS3EU,2.558885396304942e-05,-4.6917346222870355
fuscus,superfamily,classified_conditional,Jockey,0.0008691793781593017,-1.1663419638740287
fuscus,superfamily,classified_conditional,Kolobok,0.0001768089807575544,-2.758821541840045
fuscus,superfamily,classified_conditional,L1,0.05585789335563937,2.9966746389628693
fuscus,superfamily,classified_conditional,L2,0.09457750650583396,3.523283465093775
fuscus,superfamily,classified_conditional,MITE,0.0026474613352472738,-0.05253501377492498
fuscus,superfamily,classified_conditional,MULE,0.00013496555607711179,-3.028871881178426
fuscus,superfamily,classified_conditional,Maverick,0.005882215672305212,0.7457972980400944
fuscus,superfamily,classified_conditional,Mutator,0.023978380872310478,2.1510164194880805
fuscus,superfamily,classified_conditional,P,6.990737245094956e-05,-3.686720371814194
fuscus,superfamily,classified_conditional,PIF-Harbinger,0.04508214290828798,2.7823500158067143
fuscus,superfamily,classified_conditional,Penelope,5.406178448864394e-05,-3.9437639371811413
fuscus,superfamily,classified_conditional,PiggyBac,0.00041839185225054054,-1.8974730479209958
fuscus,superfamily,classified_conditional,Tc1-mariner,0.011329264964908128,1.401252989905613
fuscus,superfamily,classified_conditional,hAT,0.08549120022791315,3.4222772414236107
fuscus,superfamily,classified_conditional,tRNA,0.0009276302458732628,-1.1012582754533202
gvnigeusgwotli,superfamily,classified_conditional,Academ,0.00047316650894791985,-1.9352895188199817
gvnigeusgwotli,superfamily,classified_conditional,CACTA,0.01283565609041111,1.3652453365494726
gvnigeusgwotli,superfamily,classified_conditional,Copia,0.009240402635649684,1.0366038662342634
gvnigeusgwotli,superfamily,classified_conditional,Cyrypton,0.0019002046917745217,-0.5450199808741463
gvnigeusgwotli,superfamily,classified_conditional,DIRS,0.08365301894213818,3.239695923187921
gvnigeusgwotli,superfamily,classified_conditional,EnSpm,0.0002578007266463385,-2.542549963594068
gvnigeusgwotli,superfamily,classified_conditional,Gypsy,0.5403224250175023,5.105184450983999
gvnigeusgwotli,superfamily,classified_conditional,Helitron,0.0037979872068353336,0.14748965023258442
gvnigeusgwotli,superfamily,classified_conditional,IS3EU,2.2527398688722847e-05,-4.980004584848729
gvnigeusgwotli,superfamily,classified_conditional,Jockey,0.0009550487465053233,-1.2329744900997248
gvnigeusgwotli,superfamily,classified_conditional,Kolobok,0.0001665782398878478,-2.9792717644548024
gvnigeusgwotli,superfamily,classified_conditional,L1,0.03826807900697339,2.4576345086272986
gvnigeusgwotli,superfamily,classified_conditional,L2,0.09647267480322422,3.382278211829219
gvnigeusgwotli,superfamily,classified_conditional,MITE,0.003025161368891258,-0.0800171586086913
gvnigeusgwotli,superfamily,classified_conditional,MULE,0.00015534534724254677,-3.0490861875089372
gvnigeusgwotli,superfamily,classified_conditional,Maverick,0.005896389364246953,0.5873585976620292
gvnigeusgwotli,superfamily,classified_conditional,Mutator,0.027649651646703948,2.1326315354597116
gvnigeusgwotli,superfamily,classified_conditional,P,8.707898573471913e-05,-3.627921283951604
gvnigeusgwotli,superfamily,classified_conditional,PIF-Harbinger,0.05262225248946177,2.7761574876565
gvnigeusgwotli,superfamily,classified_conditional,Penelope,0.00015654424128102407,-3.0413982108169417
gvnigeusgwotli,superfamily,classified_conditional,PiggyBac,0.000674991463399509,-1.5800368287618376
gvnigeusgwotli,superfamily,classified_conditional,Tc1-mariner,0.01375154695518435,1.4341697298591463
