species,Academ,CACTA,CR1,Chapaev,Copia,Cyrypton,DIRS,Dada,EnSpm,Ginger,Gypsy,Helitron,IS3EU,Jockey,Kolobok,L1,L2,MITE,MULE,Maverick,Merlin,Mutator,P,PIF-Harbinger,Penelope,PiggyBac,Tc1-mariner,hAT,tRNA
marmoratus,0.000457313640094763,0.009913983997208591,1.1154798730359998e-06,1.0688742071080001e-05,0.009926799281960004,0.0018768496416741202,0.0731448752838874,0.0,0.000307487884545164,0.0,0.5393073943701492,0.003245278583088737,3.7357115337061e-05,0.001355910353935371,0.000157888790430953,0.05043216173370184,0.09689307759447865,0.002611907583124114,0.000145929216267075,0.006357392299507793,0.0,0.022722908221262644,0.00012558953588807,0.05002405272576917,7.6579730690101e-05,0.000822730075306784,0.015462328677158198,0.1133820807036394,0.001200318738950716
mavrokoilius,0.000385267010923959,0.009685210025640236,1.051746030349e-06,1.549346302773e-06,0.008999046894427693,0.0016334872417677622,0.08193397749112707,0.0,0.000344759081676184,0.0,0.5551846304344138,0.002944769511176843,2.1401837979592e-05,0.001013724845897845,8.1263402065418e-05,0.03962121687141368,0.09992279405066098,0.002428879915609004,0.000104959730190074,0.0061652623490628215,0.0,0.023416616456369818,7.2758961045815e-05,0.04776306813291205,9.413943739755e-05,0.000603790181064927,0.013225262763729716,0.10340108278321908,0.000950029497894937
monticola,0.0004095188781480591,0.00956246151278013,0.0,0.0,0.008027306298403085,0.0018919576014865594,0.07271737529867116,0.0,0.00042314235594179806,0.0,0.5557825983162303,0.002144592938846348,3.1242954095590006e-05,0.0009727986640102102,0.00016500085231771,0.05591349955503886,0.09932497496100941,0.0026097808714106293,0.000203109251530119,0.002862050494986956,0.0,0.022441074954850586,0.00010445604036183001,0.049442405145391416,7.516313353819801e-05,0.0005520002009533301,0.012734740872424606,0.10105665913625332,0.000552089711319912
ocoee,0.000482154827121805,0.00968614857277452,4.369506517820701e-07,0.0,0.007463535822465286,0.0018363144615459858,0.07598313577090042,1.933017510271e-06,0.000360982541896269,0.0,0.550584256107676,0.002018114627954011,1.4851104839375e-05,0.000867991382957499,0.000129072613875815,0.06465607445939624,0.0945549393223847,0.002175337298447023,0.00016047827893136399,0.004602809470605642,2.6217039106924204e-07,0.025506224742899083,6.361349324795e-05,0.04836761588582798,6.4675218115265e-05,0.00047316538266782804,0.012736518029159103,0.09637111361970929,0.000838244826048419
orestes,0.00040190343979324507,0.009449907088006023,3.9012707234349635e-07,0.0,0.008420032766808746,0.0017764329497072474,0.07466013749552068,9.448928817312722e-07,0.0006921697117147487,0.0,0.5592507510508787,0.002218953770198537,1.2453432088688174e-05,0.0009737527758620956,0.00018419517810151412,0.0550554441261277,0.0961237314329366,0.0027452586815583106,0.0001446706123905781,0.0033865788397594064,0.0,0.023130817912806488,0.0001074459516307113,0.05003063021887339,8.676226138744184e-05,0.0004565148875399756,0.014142159474001905,0.09568527314059411,0.0008626877817590789
organi,0.0005270733032373499,0.011012983636430619,2.0215174974690048e-07,0.0,0.01170462369457323,0.002029757258172729,0.08388089550101477,0.0,0.00016147909461802898,0.0,0.48948382090378467,0.0023904790557827387,2.2215923456773997e-05,0.0009541341051889589,8.848569774709e-05,0.09101936393334091,0.10284058903408834,0.0015543849572336608,6.430225623284699e-05,0.004212691543213607,0.0,0.017984193649457608,5.1706540702384995e-05,0.05216767099717436,8.458527665779498e-05,0.0005262190044045149,0.015904731983665602,0.11093239542601369,0.0004010150720578489
pascagoula,0.00021270268775778204,0.008156404918422783,0.0,0.0,0.006245032416325133,0.0013310982245687752,0.06575638734899866,0.0,0.000340097012222748,0.0,0.5734138635153645,0.0014358131405393972,2.4401716515701005e-05,0.00072685045464973,0.000136096450444458,0.06646048663231982,0.08145111095331915,0.0017973554757958312,0.00017254844091013302,0.0060184395026054915,0.0,0.022873135206430133,6.351246116735101e-05,0.05089699019367577,5.177276735237701e-05,0.00047697814808404104,0.009300303319500837,0.10200490782729224,0.000653711185737321
perlapsus,0.000377357822855428,0.009660110706427246,0.0,0.0,0.007445718882275843,0.001874550643108878,0.08117022260181778,0.0,0.000401253583430506,0.0,0.5480108486623572,0.001893360739673367,1.743286406073e-05,0.001099703327162162,0.000228731913288659,0.06510003302419741,0.09885217805896804,0.002308671414260655,0.00012849165054800902,0.004748260168648306,0.0,0.02290257789797577,6.6204239539217e-05,0.046671120503692966,5.2130321293574e-05,0.00040611402332863797,0.01256255442778522,0.09343454147296676,0.000587831050337683
santeetlah,0.0003844472050408221,0.009342644486737038,0.0,0.0,0.00750091456877406,0.0018208794348567165,0.07524825172478085,0.0,0.00034062922537532307,0.0,0.5502303781987241,0.0020892511850629557,1.2184678837465004e-05,0.0009186781910865263,0.00016354098231125406,0.060614715205291075,0.10097634601679302,0.0021731583292717285,0.00016669686289054407,0.004217139558711675,0.0,0.025821574725463182,0.00013583018369679202,0.049464764279098634,7.600525266388903e-05,0.00042285819961081716,0.01201919556641959,0.09512019378417873,0.0007397221543233842
tilleyi,0.0004100177734924551,0.01050384712385614,0.0,2.3164327215210006e-06,0.008293298725671073,0.0020421663002833505,0.07870735357181455,0.0,0.0003836332637566661,0.0,0.5345388762771852,0.0021121616566358707,1.2335069826267003e-05,0.0010210470788507113,0.00016278121017754003,0.06209348228945394,0.10360777628091103,0.002710112167732354,0.00015398637359894404,0.0025304063078346586,0.0,0.025822755125571084,6.865481601197903e-05,0.050588411556577395,9.601652981205703e-05,0.0004119931685539571,0.013176126409942491,0.09977882055026728,0.0007716239394617432
valentinei,0.00024161011879596093,0.007822560763416628,0.0,0.0,0.005923318620239023,0.0013367708030932925,0.06278676644460694,3.3819486639256807e-07,0.00031988138273709093,0.0,0.5686889334081764,0.0012826862631072178,1.2437926952703997e-05,0.0008375291628068189,0.00017185395299770196,0.07436517346077816,0.07805321975023226,0.0017641437178681494,0.00015873500350582393,0.006445651325769566,0.0,0.02456604540196356,7.396738680580399e-05,0.054409452596549966,5.928254875446399e-05,0.0005309948952762619,0.01067448047219814,0.09893684424789953,0.0005373221506019558
valtos,0.00021881008858721198,0.007448609892799023,1.986021960709e-06,5.919964741394e-06,0.006665206384883909,0.001313062943833416,0.06858394408856676,0.0,0.000333936257294012,0.0,0.6113848992274895,0.001314253604481323,2.5592059966118004e-05,0.000845690538389086,0.00017215166977767,0.0535002013591708,0.0788278941789919,0.002134717615723198,0.000120888966242671,0.006562772658683801,0.0,0.02123581247617257,7.5762927686986e-05,0.042670797474866434,5.0323272283800005e-05,0.000387898188517817,0.009725947222249847,0.08577382143417225,0.0006190994824678
