superfamily,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
MITE,0.0458445937050173,-0.2196204484049904,0.3134636818777131,0.0826544323075299,0.2004446481837002,-0.1747476711062096,-0.1414818816778304,0.5960917313550039,-0.330435821521119,-0.1242317984513749,-0.2979961704947717,0.131969742580549,-0.1983493415770874,0.1540023227840777,-0.0588415422296269,-0.0417714810636916,-0.0059395064747567,-0.108866661508324,-0.0863024097833438,-0.0784673800195115,-0.0876211968120419,-0.1548052826523616,-0.0246956192689728
MULE,0.2018179585203097,-0.0694905593771905,0.1434017044056383,-0.1608066753528762,-0.0178579716240165,-0.4815499225283937,-0.2088940396241353,0.1497192623774704,0.2520699367931995,0.0441513799483436,0.5949613678540057,0.0147570900647829,0.1766572320030275,0.0898026273906228,-0.1126275596366209,0.1032229385172127,-0.0991627273740103,-0.0226981004342062,0.1789523085769837,0.0614388618384578,0.1630497652268777,-0.104317299634077,-0.0466603828820066
Maverick,-0.0778276583592774,0.3167374233218967,-0.1652291803525546,0.7216113990551996,0.1891866521912434,0.0346228971319623,0.3326805412451248,0.1467581708748714,0.0720161055431259,-0.0176034940637661,0.2801404173994851,0.0050960446724828,-0.1349841391037533,0.0664645947782114,-0.0276770250814272,0.0748810043211478,-0.0598914598528852,-0.0784580455368834,0.0057276835336923,-0.0239845773017462,0.0513387244127456,-0.0886275936841007,-0.0295256031346872
Mutator,0.0304146653644162,-0.0160623456926224,0.1197820751446009,0.0912764275603028,-0.0647064283307898,-0.1336126227337117,-0.0521316747090648,0.0840777715877184,0.2420064501111326,-0.0457375037461774,-0.0411212928033577,-0.0636640227332573,0.0456928932735115,-0.3203965285737487,0.4473901699187425,0.2234356341035548,0.0791066604384744,0.4291735706062599,-0.4964160238562769,-0.196335307821277,-0.0055276752098245,0.0313461958329501,0.0705790471546639
P,0.0087347216549271,-0.1618006911282483,0.1260039718453248,0.0391707379199385,0.1131116234002861,-0.270826648440822,0.3141356658829763,-0.1709904429098125,-0.1338919760270323,0.7827782501197931,-0.1825469299772686,-0.0765199598899718,0.0383918718428185,-0.1316452586507155,-0.035127815949208,0.0013007112054655,0.0426721710064951,-0.04922955319998,0.015140347734496,0.0550568523555813,0.0443906816102205,0.0289285978186686,0.0201498842576151
PIF-Harbinger,-0.0363359918869069,0.0411675734378541,-0.0125871281908943,0.0665298061196674,-0.1203671504229371,-0.0569717595673794,-0.1352097144333377,-0.1120721317810861,0.1237339625753149,-0.0248628920049331,-0.0525062037709541,-0.2399372348291309,0.1287884771475805,0.0566026688205286,0.1652440380024237,-0.1707436867422519,0.4499369829030999,-0.3241034156501106,-0.009686981929867,-0.0662731554739926,-0.2889014225628238,-0.157841969790354,-0.5738492648504171
Penelope,-0.1220026700585586,-0.4192599573073212,-0.1951557315801561,-0.1464762902527402,0.0334509298476634,-0.007354491905691,0.4095166289166046,0.0696067347555264,0.5781046890972541,-0.1534964441484954,-0.2361424873747158,0.0776961091599376,-0.0607460617459371,0.3192801524317221,-0.0373676105888122,0.0002361949971958,-0.0060582943416212,0.032574411561082,0.0564177150606488,0.0429253024151529,0.0036355207124142,0.0404192608785793,0.0066313020099188
PiggyBac,-0.1289980395348036,-0.0923719814315218,0.202254169620879,0.2204934864451657,0.2546694774594686,-0.0806151752502826,-0.3812045751010535,-0.5733362013938208,0.1047478535445126,-0.0948360641238354,-0.0544172442667774,0.3891853181398365,-0.2442410190960589,0.0503208944791964,-0.1067037153767324,-0.0331231183712738,-0.0429799193142927,0.0820215354021309,-0.0560282087289973,0.1679449350587185,-0.0402658633284979,0.072859653050385,-0.048363049406865
Tc1-mariner,-0.0451818681619721,-0.0497086470156163,-0.0112472071373343,-0.0620309717128672,-0.0489775346366151,0.1859532067190579,-0.1039061724428676,-0.1546892315004876,-0.0609774435858823,0.0116124269413626,-0.0608157214993941,-0.1736549249642762,0.0277528421487805,0.0892288192421413,-0.140097626091905,0.7757981603459638,-0.1782488466584344,-0.221718739552018,0.0384567730619812,-0.199287193055752,-0.2371983081329542,-0.1543022915443575,0.0895309301105792
hAT,-0.0670393757348698,0.0171660140747525,-0.0257869594776139,0.0686390335761005,-0.0631769601769298,-0.0034034867153954,-0.1265484701677764,-0.0958313466757307,0.0649541744960241,-0.0142139824128474,0.0231977265883866,-0.083043574364034,0.1895832057364146,0.0808672728478371,-0.0921662929991422,-0.3323176687401055,0.2507845945011182,-0.1492190645545572,-0.0576636565067531,-0.1841432760154109,-0.1156486540494895,-0.2349349597825631,0.744807676396459
