species,te_level,composition_mode,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
campi,superfamily,classified_conditional,0.6446896501638557,0.2263234796210211,0.5060999776177951,0.2942876365464741,-0.3441234161217267,0.7433141177047181,-0.14762206729016,0.0149592331064294,0.1596086971121328,-0.0619693843770409,-0.0236436437587488,-0.0806832894329355,0.0672150992918702,-0.0818786110810429,0.0485280790569324,0.0192939133828509,-0.0369126102209599,0.0070889714958309,-0.0163114696988276,-0.0122229243118643,0.0183072364882986,-0.0094028315864899,0.0003877597500737
carolinensis,superfamily,classified_conditional,0.4570546865407697,-0.3778679906086176,-0.3123119902676987,-0.7195393287474101,-0.122182469645793,0.0792547751486672,-0.0951463342706839,-0.0431360742812562,-0.1868234399318955,-0.1667076968240204,0.0181492111702893,0.0152505878241146,0.0410697024847033,-0.0275000737879949,0.0466071577099411,-0.074262429211468,0.0857111038081569,0.0035201356265644,-0.038827286737328,-0.0427940893425982,-0.015702413698873,0.0115859262865901,-0.0071007779452487
catahoula,superfamily,classified_conditional,0.2453089533596483,-0.0083205344437959,0.5799947399478332,-0.0397319167918507,0.2680877079952086,-0.1856328031605416,-0.040966472250923,-0.023024657242494,0.26272628837078,0.1317488880344529,-0.2745251985864498,0.1573349663424114,-0.1746269034495123,-0.1113789674269335,-0.0536459947705187,-0.0483495545861606,-0.0052142106002952,0.045280108901462,-0.0392031197276886,0.0101321876158229,-0.0125451004375437,0.0211596112199466,0.0114943208898005
cheaha,superfamily,classified_conditional,0.5119402341266744,-0.2725826695008275,0.4177541611852981,-0.0635748350418046,-0.4326643458570424,-0.1979642973000796,-0.2488894789516774,-0.2404423766582273,0.1363555515791505,-0.2888315794699104,0.1825518146937219,0.1324951024989629,0.0205762449355691,-0.0588119760781166,-0.1592169517389417,0.0268882980243247,0.026726847045031,0.0023561186583991,-0.0011945485164164,0.022842775874744,0.0293948763957107,-0.0171433035972409,-0.0215481454279757
conanti,superfamily,classified_conditional,-0.1319897279785853,0.5762528630070601,-0.214013070738152,-0.806550930720635,0.4881069051603218,-0.1242048411248258,-0.2664330480716461,0.0319454361659808,0.0559417771736532,-0.0036816701914153,-0.0269474621239028,0.0743500016383103,0.0007204512992892,0.0833631321806896,0.0669649414722146,0.0588337113907274,-0.0729653123392845,0.0165398407500863,-0.0078959408641385,-0.0327467027699477,0.0051292294463639,0.0009517561820392,0.0010890659078104
fuscus,superfamily,classified_conditional,0.0754422008769706,0.5979957185662541,0.133102043037084,0.0296608384834746,0.1814593438694484,-0.155015535996575,0.0602411429164328,0.2114351058231577,-0.1327787246926916,-0.1391315969308146,-0.0063237906538149,-0.1190745707003469,-0.0666209452030262,-0.0390977337874715,0.0042538976814619,0.0225608415431886,-0.0361916105532442,0.0627747068615579,0.0021851880923876,0.0146826695764335,-0.0114663741483768,-0.0249118460544977,-0.0290898519490066
gvnigeusgwotli,superfamily,classified_conditional,-0.5918031055138089,-0.6862911288491759,-0.1023083912067226,0.0178233296465518,0.51201690498611,0.0226813531493369,0.137677769266968,0.0918461424712494,0.2709498397818113,-0.2105630800305162,0.1785873013788129,-0.051188457826905,-0.1194936378639254,-0.0407958481580827,0.1009108086888684,-0.0427442994924985,-0.0291000047392887,-0.0602668020227487,0.0098362182782826,-0.0239634343927611,0.0150911416889249,0.0184330285172878,-0.0120907232240754
intermedius,superfamily,classified_conditional,-0.0779544867505741,-0.4503298845662378,-0.04419846399876,0.483427986211812,0.1747734615988458,0.4080918383459493,0.2352519976486394,-0.3225535649617886,-0.1426662909048591,0.0392251082372892,0.0896880519082555,-0.0576314436768185,0.0229383614118817,-0.075033808200766,-0.0636123594266582,0.070077090088836,-0.0087595868568863,-0.0049616574580248,-0.0206140952295641,-0.0406604585128615,-0.0371283015285807,-0.011677566523448,0.0125537182595279
kanawha,superfamily,classified_conditional,-0.3428699878755374,-0.2901157810798501,0.1097200856510949,0.4129032895149831,0.4027311634415929,0.3759754295591206,0.2352635178541046,-0.2867031499180268,0.0169286287100127,-0.2513521536129409,-0.1266499494193843,0.1559916265573264,0.1501422252237184,0.0430950765039758,0.0599573710304098,-0.026354894541673,7.911117243376637e-05,0.0038081180371068,0.0236478908493623,0.0408564507138361,0.0068352874392049,0.0245528625988041,-0.0049760086556097
lycos,superfamily,classified_conditional,0.2755626269989371,0.5624443810372076,0.7514764304659163,-0.3598382900420678,-0.0460896214280706,0.464292175714993,0.1676361538413228,-0.0734510175843284,0.10098054047833,0.1527964107606532,-0.0979485533503841,-0.0412834352588775,0.037262158989866,0.0190392605460206,0.002164491222897,-0.0018131229968875,-0.0021899167728426,-0.0322117411019778,0.0031064915670494,0.0019929708519013,0.0060769763760482,-0.0099419945770818,0.0079480130799062
marmoratus,superfamily,classified_conditional,-0.5748050147720736,0.2080426767022374,0.2217244680598071,-0.1317841522264391,0.670428766954844,0.1366647819057158,0.0595647019345842,-0.2498416280410148,-0.1904710312752198,0.2828268428941224,0.2027592741552021,0.0952752024364606,0.0306607919712082,0.1361361587232209,-0.0261785649846646,-0.0137624962089656,-0.0276914575172513,0.0216716981551982,-0.0258228862453455,-0.0035541931817809,0.0320286495880233,-0.0057415351927262,-0.0044096059179538
mavrokoilius,superfamily,classified_conditional,-0.9075150506899744,-0.0178992932705437,0.4002366863458502,0.1418695010672482,0.1198442588100807,0.2169546676685159,0.2979881514839525,-0.0480602968253258,0.0346173967859273,-0.2698368638675275,0.0939324566777343,-0.0781794523439959,-0.0404802750286984,0.0304234690333743,-0.0573166841801421,-0.0315082170770216,-0.0021033427380711,0.0650861599177042,0.0141156947771565,-0.00050167952605,-0.0309157560872973,-0.0086886648616049,0.0131253056910835
