species,DIRS,Helitron,LINE,LTR,Maverick,PLE,SINE,TIR,Transposon Derivatives,YR
gvnigeusgwotli,0.025090541228573633,0.003217249139734045,0.15541189973092,0.6040273239428557,0.004994791339875873,0.00013260756241760795,0.011039732886119627,0.19191361006793456,0.0025625936269890225,0.0016096504745797136
intermedius,0.021067132756998626,0.002432969096466855,0.1636153342025052,0.6139731573503512,0.0056695874008590415,7.289031343417899e-05,0.010073365199347383,0.17975680995469281,0.0018238134152748962,0.0015149403100697969
kanawha,0.020257914765094642,0.002161647838984509,0.15011039774057927,0.6342074111083404,0.005418384518746322,8.6572129116164e-05,0.010142317106475972,0.17422619268491918,0.001999235867223553,0.001389926240520191
lycos,0.016077812235410424,0.0015208029061222687,0.1652384251126893,0.6241196016520437,0.0034080370535328796,5.296812771163399e-05,0.01186813278711397,0.17434974762121253,0.0019088093790878538,0.0014556631250752447
marmoratus,0.01916582995679924,0.002688001499551712,0.16911077567538665,0.6033818152280406,0.005265705114921465,6.342951018224799e-05,0.011027098894742444,0.18557939330584253,0.00216339254716492,0.0015545582673680677
mavrokoilius,0.020946935187906007,0.0024686652155279185,0.15801194131952645,0.6245793257550863,0.005168475375735892,7.891916621339402e-05,0.010547596390584247,0.17479256962324208,0.0020361835918227995,0.0013693883743550316
monticola,0.015123170724352849,0.001791405349534331,0.17640505397195805,0.618032335482817,0.002390706634572366,6.2784707097154e-05,0.009622737974510617,0.17281144661043044,0.002179982657535145,0.001580375887192078
ocoee,0.01577448899696974,0.0016831402081002777,0.17784917442777895,0.6170544765044748,0.00383881746997458,5.394017692038599e-05,0.00997303559002571,0.17042714423826746,0.0018142664556712448,0.0015315159318167787
orestes,0.016683674730052417,0.001875715964625339,0.17091378791740425,0.6208391942378724,0.0028627466552367353,7.334489514563837e-05,0.01018253443362088,0.17274660400875352,0.0023207001479607,0.0015016970093281443
organi,0.028133794904279648,0.0019077935305312752,0.2637855314023777,0.5128045933579543,0.0033620648768391387,6.7505817796467e-05,0.010260911930622754,0.17681737195179287,0.0012405235503703282,0.0016199086774357312
pascagoula,0.009942111200339745,0.0011956296523121003,0.15909321927073888,0.6477369167929468,0.005011672150638163,4.311219481213501e-05,0.007207535483428852,0.16716467874071453,0.0014966930180063042,0.001108431496062597
perlapsus,0.01775479014497332,0.0016056787764316344,0.18218701519336422,0.6146669274464993,0.0040267976503461055,4.420950997647401e-05,0.009616092031549665,0.16655087640485147,0.0019578861090529683,0.0015897267329549962
