Unnamed: 0,DIRS,Helitron,LINE,LTR,Maverick,PLE,SINE,TIR,Transposon Derivatives,YR,Simpson_Diversity,Shannon_Diversity,Pielou_Evenness
D.marmoratus,1.916582995679924,0.2688001499551712,16.91107756753867,60.33818152280407,0.5265705114921465,0.0063429510182248,1.1027098894742446,18.557939330584254,0.216339254716492,0.1554558267368068,0.5723612394904103,1.1109163346836233,0.4824648340092837
D.monticola,1.5123170724352848,0.1791405349534331,17.640505397195806,61.803233548281696,0.2390706634572366,0.0062784707097154,0.9622737974510618,17.281144661043044,0.2179982657535145,0.1580375887192078,0.5567160073067414,1.0648393313208575,0.4624538457061971
D.santeetlah,1.554650615462204,0.1782131620133698,17.977389728226704,61.234523116711,0.359722076877524,0.0064832493592428,1.0653551706948745,17.28297139069204,0.185370442857275,0.1553210471057624,0.5624673928196081,1.07920309241322,0.4686919478879865
D.welteri,1.2807402956380245,0.1507398617257808,17.779305420777682,62.59381371541826,0.5286041288362648,0.0069366332943305,0.877940496054656,16.44843176683308,0.2066250918791232,0.1268625895427954,0.5492587819513537,1.0540026020436128,0.4577475139792102
D.wrighti,2.888072107613878,0.1923242413271974,25.929242756746437,50.699473088170585,0.5341600770471256,0.00720144617127,1.0957152253116162,18.3683459199685,0.1163152112707165,0.16914992637267,0.6409935606065693,1.2167756293302157,0.5284389415324693
D.adatsihi,1.813133820293839,0.168063190174014,17.829576881786764,61.13381657839777,0.3571138563863565,0.0109905895934957,1.043288326147548,17.25790051336478,0.1922086803125722,0.1939075635428632,0.5642321183208947,1.0877895295543325,0.4724209901575808
D.amphileucus,2.4703653516032573,0.3090392184188019,15.798132414938491,59.84727175923305,0.3709692580531352,0.0100520587906729,1.197205807387068,19.584611876688854,0.2640652979820887,0.1482869569045717,0.5777305102124376,1.1273590229229562,0.4896058027792815
D.fuscus,1.4372898270326195,0.1499901741269681,16.359921687490772,64.69634795975236,0.4976283035455974,0.0045735613245865,0.9211603144384434,15.591698618154831,0.2239720143490352,0.1174175397847909,0.5300386016638509,1.0300013025476809,0.4473238820496196
D.aureatus,2.691028840585978,0.2752045704471742,13.878404434953262,63.38923400225782,0.3893446393986839,0.0070878513604475,1.134215741386721,17.484154700806975,0.6387084949815498,0.1126167238213905,0.5474323147666741,1.0944721806277784,0.4753232286432633
D.balsameus,1.943533248243372,0.1685154235661406,17.864075814001477,60.38916213614225,0.3477005361653911,0.014010015155929,1.0422702578266614,17.881852736209236,0.1828653488756771,0.1660144838138642,0.5709189095813472,1.0980804998854614,0.4768903017858203
D.intermedius,2.1067132756998626,0.2432969096466855,16.36153342025052,61.39731573503512,0.5669587400859042,0.0072890313434179,1.0073365199347384,17.975680995469283,0.1823813415274896,0.1514940310069797,0.5633654867604805,1.097809139674949,0.4767724515437866
D.cheaha,1.511045727170638,0.1380609587886143,15.521322108922172,64.12815673402515,0.2624513256516771,0.0058087620740135,0.9738527890738644,17.114760857389307,0.1926271470207882,0.1519135898837708,0.535037322801242,1.0317943575949131,0.4481025959623814
D.gvnigeusgwotli,2.509054122857364,0.3217249139734046,15.541189973092004,60.40273239428559,0.4994791339875875,0.0132607562417608,1.103973288611963,19.19136100679346,0.2562593626989023,0.1609650474579714,0.5733714145837426,1.124606127600384,0.4884102355314311
D.kanawha,2.025791476509464,0.2161647838984509,15.011039774057924,63.42074111083404,0.5418384518746321,0.0086572129116164,1.014231710647597,17.422619268491914,0.1999235867223553,0.1389926240520191,0.544339844315108,1.067385902553612,0.4635598075403557
D.mavrokoilius,2.0946935187906,0.2468665215527918,15.80119413195264,62.45793257550862,0.516847537573589,0.0078919166213394,1.0547596390584244,17.479256962324204,0.2036183591822799,0.1369388374355031,0.5537915890188455,1.0837999647498724,0.4706883441778084
D.perlapsus,1.7754790144973318,0.1605678776431634,18.21870151933642,61.46669274464992,0.4026797650346105,0.0044209509976474,0.9616092031549665,16.655087640485146,0.1957886109052968,0.1589726732954996,0.5608204077609055,1.0795581312606926,0.4688461393003053
D.valtos,1.2632104073418418,0.1125542020842673,14.630578215227906,67.3018680477353,0.5620434576248468,0.0043097433698177,0.7970948114265899,15.033069191628162,0.1828196910350331,0.1124522325262449,0.5027805859966843,0.9826705185620768,0.4267683837405169
D.anicetus,1.817939366013266,0.1770377282490229,17.890358982287186,60.22117392955989,0.2538304723493523,0.005847912197612,1.2442760559756283,18.00698517245311,0.2109369965972599,0.1716133843176704,0.5724070872553466,1.1003166499118506,0.4778614494029889
D.bairdi,1.3958902960088928,0.1190160408902923,15.101245241350467,66.57161897296119,0.509552771434277,0.0032950836389874,0.87569499945817,15.113017625675491,0.1944629286368535,0.1162060399453728,0.510872814689814,0.998289918319162,0.43355180286566
D.tilleyi,1.790468937455197,0.1798355367704436,18.530523783548148,59.76727713458329,0.2154460929574637,0.0081751243439807,1.0727286237973612,18.030922068043186,0.2307467682982752,0.1738759302026666,0.5754859294303024,1.0999897487263788,0.4777194780220108
D.campi,1.542703514101561,0.1410744872896248,16.770744404953916,62.44755652849421,0.4020151002349578,0.0044755035023684,1.2911077487360874,17.0893539640559,0.1757762050021948,0.1351925436291771,0.5522721190984154,1.067878909853085,0.4637739178900549
D.catahoula,1.444297859004361,0.1382082454390961,15.021968941597882,65.40214471193907,0.3345040061230827,0.0067736269917783,0.9404848649226348,16.31501693254538,0.2664095617933207,0.1301912496433972,0.5227530666452992,1.0166281758834557,0.4415160069335534
D.lycos,1.6077812235410427,0.1520802906122269,16.52384251126893,62.411960165204384,0.340803705353288,0.0052968127711634,1.1868132787113972,17.434974762121254,0.1908809379087854,0.1455663125075245,0.5523541097102227,1.0664845375039675,0.4631683496731147
