species,ltr_history_n_pairs_attempted,ltr_history_n_pairs_estimated,ltr_history_n_pairs_high_confidence,ltr_history_median_p_distance,ltr_history_median_k2p_distance,ltr_history_median_comparable_sites,ltr_history_age_central_mya,ltr_history_age_high_mya,ltr_history_age_low_mya,ltr_history_age_central_high_conf_mya,ltr_history_age_high_high_conf_mya,ltr_history_age_low_high_conf_mya,has_ltr_history,ltr_history_source_id,ltr_history_source_path,ltr_history_source_sha256,ltr_history_calibration_source_id,ltr_history_calibration_source_path,ltr_history_calibration_source_sha256,ltr_history_rate_source_id,ltr_history_rate_source_path,ltr_history_rate_source_sha256,ltr_history_source_ids,ltr_history_rate_window_low,ltr_history_rate_window_high,ltr_history_rate_central
ocoee,38,38,5,0.0766080826930646,0.0817631700181885,501.5,33.31832519078584,26.71999020202237,40.88158500909422,29.98941113927624,24.05033167836075,36.797007467891945,True,repo_ltr_age_species_summary,results/data/ltr_age/ltr_age_species_summary.csv,a15c165c1f4aeacf50ed35ed964b078ccfd12a2ffe8f3088899b8590746dab0c,repo_ltr_age_species_summary_calibrated,results/data/ltr_age/ltr_age_species_summary_calibrated.csv,9d0e42dbb1f37ccb11b63051774309b9d7f3a085710f8c40a54339e41c27abc9,repo_ltr_substitution_rate_candidates,results/data/ltr_age/ltr_substitution_rate_candidates.csv,c9ab443998b828cdfc0c01c5706f161ef5fce4b77d563d2895d7c96d1d9be499,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,1e-09,1.53e-09,1.227e-09
orestes,40,40,7,0.0619535519125683,0.0647399474608316,265.5,26.38139668330544,21.15684557543515,32.36997373041577,18.141856023430037,14.549057085456631,22.26005734074865,True,repo_ltr_age_species_summary,results/data/ltr_age/ltr_age_species_summary.csv,a15c165c1f4aeacf50ed35ed964b078ccfd12a2ffe8f3088899b8590746dab0c,repo_ltr_age_species_summary_calibrated,results/data/ltr_age/ltr_age_species_summary_calibrated.csv,9d0e42dbb1f37ccb11b63051774309b9d7f3a085710f8c40a54339e41c27abc9,repo_ltr_substitution_rate_candidates,results/data/ltr_age/ltr_substitution_rate_candidates.csv,c9ab443998b828cdfc0c01c5706f161ef5fce4b77d563d2895d7c96d1d9be499,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,1e-09,1.53e-09,1.227e-09
organi,21,21,7,0.0697674418604651,0.073502813105776,308.0,29.952246579370826,24.02052715875033,36.751406552888,29.93734308944947,24.008575144283984,36.733119970754494,True,repo_ltr_age_species_summary,results/data/ltr_age/ltr_age_species_summary.csv,a15c165c1f4aeacf50ed35ed964b078ccfd12a2ffe8f3088899b8590746dab0c,repo_ltr_age_species_summary_calibrated,results/data/ltr_age/ltr_age_species_summary_calibrated.csv,9d0e42dbb1f37ccb11b63051774309b9d7f3a085710f8c40a54339e41c27abc9,repo_ltr_substitution_rate_candidates,results/data/ltr_age/ltr_substitution_rate_candidates.csv,c9ab443998b828cdfc0c01c5706f161ef5fce4b77d563d2895d7c96d1d9be499,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,1e-09,1.53e-09,1.227e-09
pascagoula,20,20,2,0.0651386653460443,0.0689967759145945,355.5,28.116045604969237,22.5479659851616,34.49838795729725,14.240344566890911,11.420197897761536,17.472902783575147,True,repo_ltr_age_species_summary,results/data/ltr_age/ltr_age_species_summary.csv,a15c165c1f4aeacf50ed35ed964b078ccfd12a2ffe8f3088899b8590746dab0c,repo_ltr_age_species_summary_calibrated,results/data/ltr_age/ltr_age_species_summary_calibrated.csv,9d0e42dbb1f37ccb11b63051774309b9d7f3a085710f8c40a54339e41c27abc9,repo_ltr_substitution_rate_candidates,results/data/ltr_age/ltr_substitution_rate_candidates.csv,c9ab443998b828cdfc0c01c5706f161ef5fce4b77d563d2895d7c96d1d9be499,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,1e-09,1.53e-09,1.227e-09
perlapsus,53,53,7,0.0656565656565656,0.0690149160264995,439.0,28.123437663610236,22.553894126307025,34.507458013249746,28.7826031791346,23.08251902012951,35.316254100798155,True,repo_ltr_age_species_summary,results/data/ltr_age/ltr_age_species_summary.csv,a15c165c1f4aeacf50ed35ed964b078ccfd12a2ffe8f3088899b8590746dab0c,repo_ltr_age_species_summary_calibrated,results/data/ltr_age/ltr_age_species_summary_calibrated.csv,9d0e42dbb1f37ccb11b63051774309b9d7f3a085710f8c40a54339e41c27abc9,repo_ltr_substitution_rate_candidates,results/data/ltr_age/ltr_substitution_rate_candidates.csv,c9ab443998b828cdfc0c01c5706f161ef5fce4b77d563d2895d7c96d1d9be499,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,1e-09,1.53e-09,1.227e-09
santeetlah,45,45,11,0.0676328502415458,0.0712702839600368,328.0,29.042495501237493,23.290942470600264,35.6351419800184,37.17446242135933,29.81246103987444,45.6130653910079,True,repo_ltr_age_species_summary,results/data/ltr_age/ltr_age_species_summary.csv,a15c165c1f4aeacf50ed35ed964b078ccfd12a2ffe8f3088899b8590746dab0c,repo_ltr_age_species_summary_calibrated,results/data/ltr_age/ltr_age_species_summary_calibrated.csv,9d0e42dbb1f37ccb11b63051774309b9d7f3a085710f8c40a54339e41c27abc9,repo_ltr_substitution_rate_candidates,results/data/ltr_age/ltr_substitution_rate_candidates.csv,c9ab443998b828cdfc0c01c5706f161ef5fce4b77d563d2895d7c96d1d9be499,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,1e-09,1.53e-09,1.227e-09
tilleyi,142,142,36,0.06419419226064,0.0673660529348708,340.5,27.451529313313284,22.015049978715943,33.6830264674354,23.982150979488303,19.232744609040616,29.42609925183215,True,repo_ltr_age_species_summary,results/data/ltr_age/ltr_age_species_summary.csv,a15c165c1f4aeacf50ed35ed964b078ccfd12a2ffe8f3088899b8590746dab0c,repo_ltr_age_species_summary_calibrated,results/data/ltr_age/ltr_age_species_summary_calibrated.csv,9d0e42dbb1f37ccb11b63051774309b9d7f3a085710f8c40a54339e41c27abc9,repo_ltr_substitution_rate_candidates,results/data/ltr_age/ltr_substitution_rate_candidates.csv,c9ab443998b828cdfc0c01c5706f161ef5fce4b77d563d2895d7c96d1d9be499,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,1e-09,1.53e-09,1.227e-09
valentinei,82,82,12,0.0691056910569105,0.0730903766594687,346.0,29.78417956783564,23.8857440063623,36.54518832973432,37.306267071004726,29.918163200080254,45.7747896961228,True,repo_ltr_age_species_summary,results/data/ltr_age/ltr_age_species_summary.csv,a15c165c1f4aeacf50ed35ed964b078ccfd12a2ffe8f3088899b8590746dab0c,repo_ltr_age_species_summary_calibrated,results/data/ltr_age/ltr_age_species_summary_calibrated.csv,9d0e42dbb1f37ccb11b63051774309b9d7f3a085710f8c40a54339e41c27abc9,repo_ltr_substitution_rate_candidates,results/data/ltr_age/ltr_substitution_rate_candidates.csv,c9ab443998b828cdfc0c01c5706f161ef5fce4b77d563d2895d7c96d1d9be499,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,1e-09,1.53e-09,1.227e-09
welteri,94,94,14,0.0684890529531568,0.0721291455468187,400.5,29.39247984792936,23.5716161917708,36.06457277340933,28.000605243659,22.45538734246379,34.3567426339696,True,repo_ltr_age_species_summary,results/data/ltr_age/ltr_age_species_summary.csv,a15c165c1f4aeacf50ed35ed964b078ccfd12a2ffe8f3088899b8590746dab0c,repo_ltr_age_species_summary_calibrated,results/data/ltr_age/ltr_age_species_summary_calibrated.csv,9d0e42dbb1f37ccb11b63051774309b9d7f3a085710f8c40a54339e41c27abc9,repo_ltr_substitution_rate_candidates,results/data/ltr_age/ltr_substitution_rate_candidates.csv,c9ab443998b828cdfc0c01c5706f161ef5fce4b77d563d2895d7c96d1d9be499,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,1e-09,1.53e-09,1.227e-09
wrighti,43,43,11,0.0640138408304498,0.0670680689136139,358.0,27.330101431790503,21.917669579612387,33.53403445680695,29.281004010499142,23.48221694175323,35.92779192088245,True,repo_ltr_age_species_summary,results/data/ltr_age/ltr_age_species_summary.csv,a15c165c1f4aeacf50ed35ed964b078ccfd12a2ffe8f3088899b8590746dab0c,repo_ltr_age_species_summary_calibrated,results/data/ltr_age/ltr_age_species_summary_calibrated.csv,9d0e42dbb1f37ccb11b63051774309b9d7f3a085710f8c40a54339e41c27abc9,repo_ltr_substitution_rate_candidates,results/data/ltr_age/ltr_substitution_rate_candidates.csv,c9ab443998b828cdfc0c01c5706f161ef5fce4b77d563d2895d7c96d1d9be499,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,1e-09,1.53e-09,1.227e-09
