analysis_type,replicate_id,tree_id,evolutionary_model,generating_class,residual_regime,n_species,rank,model,k,q,C,p,CICc,delta_CICc,l,w,globally_supported,delta_competitive,admissible_competitive,stored_warning_count,runtime_warning_count,path_trait_definition
measurement_bootstrap,measurement_0004,focal_primary,lambda,,,24,1,cell_bridge,1,5,0.617227147901439,0.7344645314235492,13.95056048123477,0.0,1.0,0.8498048644185311,True,True,True,2,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0004,focal_primary,lambda,,,24,2,iod_bridge,1,5,5.987169449439849,0.0501074928234344,19.320502782773183,5.369942301538412,0.0682231621536785,0.0579763750642102,True,False,False,2,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0004,focal_primary,lambda,,,24,3,cell_collider,1,5,6.095779502797444,0.0474589690174855,19.429112836130777,5.4785523548960064,0.0646171012853404,0.0549119269969072,False,False,False,2,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0004,focal_primary,lambda,,,24,4,iod_cell_only,2,4,12.082948952237292,0.0167449780219962,22.188212110132028,8.237651628897257,0.016263599718732,0.0138208861539343,False,False,False,2,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0004,focal_primary,lambda,,,24,5,iod_collider,1,5,9.166192208723563,0.0102231951675763,22.49952554205689,8.548965060822123,0.0139192496440386,0.0118286460565599,False,False,False,2,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0004,focal_primary,lambda,,,24,6,nucleus_bridge,1,5,9.93486305963935,0.0069610042251607,23.268196392972683,9.317635911737913,0.0094776587940452,0.0080541605464787,False,False,False,2,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0004,focal_primary,lambda,,,24,7,nucleus_cell_only,2,4,16.030642562436793,0.002978320325063,26.13590572033153,12.185345239096758,0.0022593624222497,0.0019200171769122,False,False,False,2,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0004,focal_primary,lambda,,,24,8,nucleus_collider,1,5,13.531505985322363,0.0011525792837001,26.864839318655697,12.914278837420929,0.0015692783441376,0.0013335803704748,False,False,False,2,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0004,focal_primary,lambda,,,24,9,iod_nucleus_only,2,4,19.51867543476221,0.0006213825053720257,29.62393859265695,15.673378111422178,0.0003949746170696609,0.00033565135090764443,False,False,False,2,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0004,focal_primary,lambda,,,24,10,independent,3,3,28.79347769684337,6.65627727501894e-05,35.99347769684337,22.0429172156086,1.6347123516615228e-05,1.3891865083670185e-05,False,False,False,2,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0005,focal_primary,lambda,,,24,1,cell_bridge,1,5,0.5770514757753044,0.7493675177623131,13.910384809108637,0.0,1.0,0.8999797963657304,True,True,True,5,1,relative_nuclear_iod_index; not_absolute_genome_size
