analysis_type,replicate_id,tree_id,evolutionary_model,generating_class,residual_regime,n_species,rank,model,k,q,C,p,CICc,delta_CICc,l,w,globally_supported,delta_competitive,admissible_competitive,stored_warning_count,runtime_warning_count,path_trait_definition
leave_one_species_out,apalachicolae,focal_primary_minus_one,lambda,,,23,8,nucleus_collider,1,5,18.77195011615529,8.389243981077321e-05,32.30136188086117,18.75646460672541,8.454451958380179e-05,7.675035836580591e-05,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,apalachicolae,focal_primary_minus_one,lambda,,,23,9,iod_nucleus_only,2,4,25.188250641108898,4.6109683174089255e-05,35.41047286333112,21.86557558919536,1.7862843322525056e-05,1.6216067383020677e-05,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,apalachicolae,focal_primary_minus_one,lambda,,,23,10,independent,3,3,36.1283627766845,2.6027073263268363e-06,43.39152067142134,29.84662339728558,3.302844121588715e-07,2.998354845544563e-07,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,auriculatus,focal_primary_minus_one,lambda,,,23,1,cell_bridge,1,5,0.09257423177013,0.9547677938333948,13.621985996476011,0.0,1.0,0.8756828166328993,True,True,True,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,auriculatus,focal_primary_minus_one,lambda,,,23,2,cell_collider,1,5,5.699579234706058,0.0578564915963857,19.22899099941194,5.607005002935928,0.0605974478507405,0.0530641438147017,True,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,auriculatus,focal_primary_minus_one,lambda,,,23,3,iod_bridge,1,5,5.856383305712054,0.0534936858866197,19.385795070417934,5.763809073941925,0.0560279538460785,0.0490627164341121,True,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,auriculatus,focal_primary_minus_one,lambda,,,23,4,iod_cell_only,2,4,11.555962540418111,0.0209775604964881,21.778184762640333,8.15619876616432,0.0169396308251153,0.0148337436336585,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,auriculatus,focal_primary_minus_one,lambda,,,23,5,iod_collider,1,5,10.194591446952977,0.0061132561673254,23.72400321165886,10.102017215182848,0.0064028722028638,0.0056068851651443,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,auriculatus,focal_primary_minus_one,lambda,,,23,6,nucleus_bridge,1,5,13.257385709951178,0.0013218898589553,26.786797474657064,13.16481147818105,0.0013845145044617,0.0012123955609361,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,auriculatus,focal_primary_minus_one,lambda,,,23,7,nucleus_cell_only,2,4,18.95696494465724,0.0008013933913486593,29.17918716687946,15.557201170403443,0.00041859755653455454,0.000366558687341828,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,auriculatus,focal_primary_minus_one,lambda,,,23,8,nucleus_collider,1,5,17.683460137097594,0.00014457241001575305,31.21287190180348,17.590885905327465,0.0001514215403467699,0.00013259724094975166,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
