analysis_type,replicate_id,tree_id,evolutionary_model,generating_class,residual_regime,n_species,rank,model,k,q,C,p,CICc,delta_CICc,l,w,globally_supported,delta_competitive,admissible_competitive,stored_warning_count,runtime_warning_count,path_trait_definition
published_bootstrap_tree_sensitivity,published_bootstrap_001,published_bootstrap_001,lambda,,,18,4,cell_collider,1,5,6.014663115454021,0.0494233864087484,21.01466311545402,4.168222576112395,0.1244176424921518,0.0539433792949739,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_001,published_bootstrap_001,lambda,,,18,5,nucleus_collider,1,5,6.494008221924636,0.0388905452358726,21.49400822192464,4.647567682583013,0.0979024365806137,0.0424472620167458,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_001,published_bootstrap_001,lambda,,,18,6,iod_bridge,1,5,8.072593521762084,0.0176627608786491,23.072593521762084,6.226152982420459,0.0444639517464377,0.0192781004845258,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_001,published_bootstrap_001,lambda,,,18,7,iod_cell_only,2,4,14.087256637216104,0.0070217131391125,25.16417971413918,8.317739174797556,0.0156252108758119,0.0067745752126033,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_001,published_bootstrap_001,lambda,,,18,8,iod_nucleus_only,2,4,14.56660174368672,0.0056899186562004,25.6435248206098,8.797084281268173,0.0122952515912234,0.0053308148814532,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_001,published_bootstrap_001,lambda,,,18,9,iod_collider,1,5,11.957231553107816,0.002532329176702,26.957231553107817,10.110791013766192,0.0063748449686078,0.002763922167308,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_001,published_bootstrap_001,lambda,,,18,10,independent,3,3,24.465902890486472,0.0004286010070496671,32.180188604772184,15.33374806543056,0.0004680787379499015,0.0002029434764666675,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_002,published_bootstrap_002,lambda,,,18,1,cell_bridge,1,5,1.846440526853348,0.3972377689158716,16.84644052685335,0.0,1.0,0.4335669639097229,True,True,True,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_002,published_bootstrap_002,lambda,,,18,2,nucleus_bridge,1,5,2.438963153427517,0.2953832607976343,17.438963153427515,0.5925226265741657,0.7435930918748871,0.3223973992284384,True,True,True,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_002,published_bootstrap_002,lambda,,,18,3,nucleus_cell_only,2,4,8.453626255304972,0.0763054144990917,19.53054933222805,2.684108805374698,0.2613082843259576,0.113294639479664,True,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_002,published_bootstrap_002,lambda,,,18,4,cell_collider,1,5,6.014663101877455,0.0494233867442484,21.014663101877453,4.168222575024103,0.1244176425598532,0.0539433795414806,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_002,published_bootstrap_002,lambda,,,18,5,nucleus_collider,1,5,6.494008223408686,0.0388905452070149,21.494008223408684,4.647567696555335,0.0979024358966515,0.0424472618910774,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_002,published_bootstrap_002,lambda,,,18,6,iod_bridge,1,5,8.07259353600773,0.0176627607528404,23.07259353600773,6.22615300915438,0.0444639511520898,0.0192781003044418,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_002,published_bootstrap_002,lambda,,,18,7,iod_cell_only,2,4,14.087256637885185,0.0070217131370556,25.164179714808263,8.317739187954913,0.0156252107730187,0.0067745751953072,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_002,published_bootstrap_002,lambda,,,18,8,iod_nucleus_only,2,4,14.566601759416416,0.0056899186168526,25.64352483633949,8.797084309486145,0.0122952514177498,0.0053308148277005,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_002,published_bootstrap_002,lambda,,,18,9,iod_collider,1,5,11.95723156406409,0.0025323291628297,26.957231564064088,10.110791037210738,0.0063748448938801,0.002763922146035,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_002,published_bootstrap_002,lambda,,,18,10,independent,3,3,24.465902889350232,0.0004286010072565016,32.18018860363595,15.333748076782598,0.0004680787352930774,0.00020294347613172245,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_003,published_bootstrap_003,lambda,,,18,1,cell_bridge,1,5,1.846440535266128,0.3972377672449345,16.84644053526613,0.0,1.0,0.4335669620348696,True,True,True,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_003,published_bootstrap_003,lambda,,,18,2,nucleus_bridge,1,5,2.438963148569336,0.295383261515147,17.438963148569336,0.5925226133032062,0.743593096808984,0.3223973999735719,True,True,True,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_003,published_bootstrap_003,lambda,,,18,3,nucleus_cell_only,2,4,8.453626248934155,0.0763054146956524,19.53054932585723,2.6841087905911003,0.2613082862574959,0.1132946398272006,True,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_003,published_bootstrap_003,lambda,,,18,4,cell_collider,1,5,6.014663100364819,0.0494233867816281,21.01466310036482,4.168222565098692,0.1244176431773013,0.0539433795759209,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_003,published_bootstrap_003,lambda,,,18,5,nucleus_collider,1,5,6.494008211424947,0.038890545440042,21.494008211424948,4.647567676158818,0.0979024368950858,0.0424472621404129,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_003,published_bootstrap_003,lambda,,,18,6,iod_bridge,1,5,8.072593509681612,0.0176627609853363,23.07259350968161,6.226152974415481,0.0444639519244041,0.0192781005559284,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_003,published_bootstrap_003,lambda,,,18,7,iod_cell_only,2,4,14.087256610046431,0.0070217132226425,25.164179686969508,8.317739151703378,0.0156252110562376,0.0067745752888066,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
