species,max_svl_mm,max_svl_source_taxon,max_svl_source_id,max_svl_source_path,development_mode,development_source_id,development_source_detail,development_confidence,reproductive_strategy,reproductive_strategy_source_id,reproductive_strategy_source_detail,reproductive_strategy_confidence,aquaticity_index,microhabitat_class,lifestyle_source_id,lifestyle_source_detail,lifestyle_confidence,elevation_min_m,elevation_max_m,elevation_mid_m,elevation_source_id,elevation_source_detail,organismal_source_ids
lycos,74.0,lycos,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_lycos.html,medium,terrestrial_eggs_aquatic_larvae,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_lycos.html,medium,,,,,,collaborator_desmog_svl;nc_biodiversity_amphibians;pyron_personal_communication_reproductive_strategy
marmoratus,76.0,marmoratus,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,amphibio_2017,AmphiBIO_v1.zip,medium,aquatic_eggs,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,2.0,stream_aquatic,nc_biodiversity_amphibians,Desmognathus_marmoratus.html,medium,450.0,1600.0,1025.0,nc_biodiversity_amphibians,Desmognathus_marmoratus.html,amphibio_2017;collaborator_desmog_svl;nc_biodiversity_amphibians;pyron_personal_communication_reproductive_strategy
mavrokoilius,80.0,mavrokoilius,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_mavrokoilius.html,medium,aquatic_eggs,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_mavrokoilius.html,medium,490.0,1676.0,1083.0,nc_biodiversity_amphibians,Desmognathus_mavrokoilius.html,collaborator_desmog_svl;nc_biodiversity_amphibians;pyron_personal_communication_reproductive_strategy
monticola,72.0,monticola,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_monticola.html,medium,terrestrial_eggs_aquatic_larvae,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_monticola.html,medium,,1555.0,,nc_biodiversity_amphibians,Desmognathus_monticola.html,collaborator_desmog_svl;nc_biodiversity_amphibians;pyron_personal_communication_reproductive_strategy
ochrophaeus,44.0,ochrophaeus,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,amphibio_2017,AmphiBIO_v1.zip,medium,,,,,1.0,streamside,amphibio_2017,AmphiBIO_v1.zip,low,,,,,,amphibio_2017;collaborator_desmog_svl
ocoee,54.0,ocoee,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_ocoee.html,medium,terrestrial_eggs_aquatic_larvae,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_ocoee.html,medium,,,,,,collaborator_desmog_svl;nc_biodiversity_amphibians;pyron_personal_communication_reproductive_strategy
orestes,52.0,orestes-ac;orestes-b,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_orestes.html,medium,terrestrial_eggs_aquatic_larvae,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_orestes.html,medium,,,,,,collaborator_desmog_svl;nc_biodiversity_amphibians;pyron_personal_communication_reproductive_strategy
organi,31.0,organi,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,direct_development,nc_biodiversity_amphibians,Desmognathus_organi.html,medium,direct_development,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_organi.html,medium,,,,,,collaborator_desmog_svl;nc_biodiversity_amphibians;pyron_personal_communication_reproductive_strategy
pascagoula,56.0,pascagoula,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,pyron_oconnell_lamb_beamer_2022_pascagoula_treatmentbank,Description; Desmognathus_pascagoula_plazi.xhtml,high,terrestrial_eggs_aquatic_larvae,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,3.0,swamp_coastal_plain,pyron_oconnell_lamb_beamer_2022_pascagoula_treatmentbank,Title and type-locality habitat text; Desmognathus_pascagoula_plazi.xhtml,high,,,,,,collaborator_desmog_svl;pyron_oconnell_lamb_beamer_2022_pascagoula_treatmentbank;pyron_personal_communication_reproductive_strategy
perlapsus,56.0,perlapsus,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_perlapsus.html,medium,terrestrial_eggs_aquatic_larvae,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_perlapsus.html,medium,,,,,,collaborator_desmog_svl;nc_biodiversity_amphibians;pyron_personal_communication_reproductive_strategy
santeetlah,55.0,santeetlah,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_santeetlah.html,medium,terrestrial_eggs_aquatic_larvae,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_santeetlah.html,medium,,,,,,collaborator_desmog_svl;nc_biodiversity_amphibians;pyron_personal_communication_reproductive_strategy
tilleyi,52.0,tilleyi,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_tilleyi.html,medium,terrestrial_eggs_aquatic_larvae,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_tilleyi.html,medium,400.0,1300.0,850.0,nc_biodiversity_amphibians,Desmognathus_tilleyi.html,collaborator_desmog_svl;nc_biodiversity_amphibians;pyron_personal_communication_reproductive_strategy
valentinei,61.0,valentinei,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,pyron_oconnell_lamb_beamer_2022_pascagoula_treatmentbank,https://treatment.plazi.org/GgServer/xhtml/03CE87E1FFC1FA62FF44FB7CFC539344,high,terrestrial_eggs_aquatic_larvae,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,3.0,swamp_coastal_plain,louisianaherps_valentinei,https://www.louisianaherps.com/southern-dusky-salamander-d.html,high,,,,,,collaborator_desmog_svl;louisianaherps_valentinei;pyron_oconnell_lamb_beamer_2022_pascagoula_treatmentbank;pyron_personal_communication_reproductive_strategy
valtos,62.0,valtos,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_valtos.html,medium,terrestrial_eggs_aquatic_larvae,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_valtos.html,medium,,,,,,collaborator_desmog_svl;nc_biodiversity_amphibians;pyron_personal_communication_reproductive_strategy
welteri,75.0,welteri,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,amphibio_2017,AmphiBIO_v1.zip,medium,terrestrial_eggs_aquatic_larvae,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,2.0,stream_aquatic,felix_2001_welteri_thesis,Abstract; Felix_2001_welteri_natural_history.pdf,high,,,,,,amphibio_2017;collaborator_desmog_svl;felix_2001_welteri_thesis;pyron_personal_communication_reproductive_strategy
wrighti,29.0,wrighti,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,direct_development,nc_biodiversity_amphibians,Desmognathus_wrighti.html,medium,direct_development,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_wrighti.html,medium,,,,,,collaborator_desmog_svl;nc_biodiversity_amphibians;pyron_personal_communication_reproductive_strategy
