bootstrap_replicate,species,tree_tip,nucleus_area_um2,cell_area_um2,relative_iod_index
125,D. monticola,monticola,39.8592,258.9552,1.0041939168704157
125,D. ochrophaeus,ochrophaeus,51.192,272.7216,0.8040376179706602
125,D. ocoee,ocoee,44.1072,293.112,1.074963097799511
125,D. orestes,orestes,46.0224,254.6136,0.9756471699266505
125,D. perlapsus,perlapsus,43.38,289.8576,1.0016322127139365
125,D. tilleyi,tilleyi,41.6952,266.5296,1.0404370782396088
125,D. valtos,valtos,49.9536,307.0368,1.3687045256723716
125,D. welteri,welteri,48.1104,302.8032,0.8474202933985331
125,D. wrighti,wrighti,42.0912,237.0312,0.8779275666259169
126,D. aeneus,aeneus,36.072,200.6064,0.5393969951100245
126,D. amphileucus,amphileucus,43.848,319.5504,1.0117235348410758
126,D. anicetus,anicetus,41.436,244.2744,0.92034854400978
126,D. apalachicolae,apalachicolae,44.3952,299.0448,0.9567466124694377
126,D. auriculatus,auriculatus,48.2976,312.6528,1.0036952768948655
126,D. bairdi,bairdi,44.316,305.3664,1.1103408960880197
126,D. brimleyorum,brimleyorum,45.0864,328.8168,1.1057954822738385
126,D. campi,campi,36.0144,257.4504,0.8599807720048901
126,D. folkertsi,folkertsi,45.576,268.8048,1.028241770782396
126,D. fuscus,fuscus,47.3112,272.1888,1.0
126,D. gvnigeusgwotli,gvnigeusgwotli,45.9504,273.4416,0.936933316625917
126,D. intermedius,intermedius,48.9384,326.16,1.073450316625917
126,D. kanawha,kanawha,41.724,288.756,0.9158320831295844
126,D. marmoratus,marmoratus,46.728,274.2048,1.042838445599022
126,D. mavrokoilius,mavrokoilius,42.0408,269.8344,0.8114067860635698
126,D. monticola,monticola,39.6144,258.2064,1.009027619804401
126,D. ochrophaeus,ochrophaeus,52.6032,267.7104,0.751604718215159
126,D. ocoee,ocoee,41.9904,292.5216,1.017762151589242
126,D. orestes,orestes,45.8928,255.7368,0.8955143685819071
126,D. perlapsus,perlapsus,41.8896,297.4176,0.8664238808068461
126,D. tilleyi,tilleyi,42.1632,264.2832,0.9809594113691933
126,D. valtos,valtos,50.8536,311.8752,1.3666627475550124
126,D. welteri,welteri,48.168,303.4368,0.9554992029339854
126,D. wrighti,wrighti,43.848,237.132,0.8720125935207824
127,D. aeneus,aeneus,38.6064,211.4784,0.527608805012225
127,D. amphileucus,amphileucus,45.5904,319.5216,0.9926248160146699
127,D. anicetus,anicetus,40.7952,244.2528,0.8470697145476772
127,D. apalachicolae,apalachicolae,45.8712,297.504,0.8959602304400979
127,D. auriculatus,auriculatus,49.176,313.6752,0.9916007695599023
127,D. bairdi,bairdi,44.9424,304.8624,1.0408366002444986
127,D. brimleyorum,brimleyorum,45.1008,330.4008,1.007379444987775
127,D. campi,campi,36.6696,256.0032,0.8319063887530562
127,D. folkertsi,folkertsi,44.28,268.7688,0.9474016436430318
127,D. fuscus,fuscus,47.2464,272.1888,1.0
127,D. gvnigeusgwotli,gvnigeusgwotli,46.6416,278.9712,0.8926949321515892
127,D. intermedius,intermedius,49.2912,326.16,0.9863533942542787
127,D. kanawha,kanawha,41.724,286.1352,0.969206129584352
127,D. marmoratus,marmoratus,48.2544,276.5448,1.0119249168704156
127,D. mavrokoilius,mavrokoilius,41.04,271.8288,0.87884413202934
127,D. monticola,monticola,39.6072,262.2096,0.9305374523227383
127,D. ochrophaeus,ochrophaeus,50.5656,273.4344,0.7663855275061124
127,D. ocoee,ocoee,43.1424,292.4496,0.9539397744498778
127,D. orestes,orestes,45.3384,255.7368,0.7809549645476773
127,D. perlapsus,perlapsus,43.2576,290.0232,0.77285681601467
127,D. tilleyi,tilleyi,42.5952,264.7512,0.8961709957212715
127,D. valtos,valtos,49.7952,314.7552,1.2808111057457214
127,D. welteri,welteri,48.7296,302.8032,0.7697311693154034
127,D. wrighti,wrighti,44.892,247.5216,0.8454093789731051
128,D. aeneus,aeneus,38.0232,207.936,0.5350863037897311
128,D. amphileucus,amphileucus,44.4096,318.8592,1.0728996607579462
128,D. anicetus,anicetus,41.9112,242.9712,0.8956535605134475
128,D. apalachicolae,apalachicolae,45.8064,297.504,0.8733533343520783
128,D. auriculatus,auriculatus,48.6792,316.8864,1.0489562310513447
128,D. bairdi,bairdi,44.0064,306.0,1.0990211124694378
128,D. brimleyorum,brimleyorum,45.1152,330.8832,0.9919109767726163
128,D. campi,campi,36.6624,258.8832,0.8635842121026895
128,D. folkertsi,folkertsi,44.8704,268.8048,1.0112904535452323
128,D. fuscus,fuscus,47.7072,273.1032,1.0
128,D. gvnigeusgwotli,gvnigeusgwotli,46.6704,272.3688,0.9240228783618583
128,D. intermedius,intermedius,48.168,325.7424,1.0614662689486554
128,D. kanawha,kanawha,43.1496,287.5104,0.9170487169926651
128,D. marmoratus,marmoratus,46.2672,274.1904,1.0801113435207823
128,D. mavrokoilius,mavrokoilius,43.3872,267.7032,0.91796797799511
128,D. monticola,monticola,39.7872,258.0984,0.9873623905867971
128,D. ochrophaeus,ochrophaeus,52.6104,272.304,0.7956995886308068
128,D. ocoee,ocoee,43.9992,294.2424,1.0007694113691932
128,D. orestes,orestes,46.8576,255.3264,0.9281669400977995
128,D. perlapsus,perlapsus,44.5464,293.5512,0.8449248374083129
128,D. tilleyi,tilleyi,42.5952,264.7512,0.9657628759168705
128,D. valtos,valtos,49.7664,318.4992,1.3730598441320294
128,D. welteri,welteri,48.6432,303.0624,0.8354470831295844
128,D. wrighti,wrighti,40.4784,226.5408,0.8886493673594132
129,D. aeneus,aeneus,38.2536,209.9232,0.5972695861858192
129,D. amphileucus,amphileucus,43.848,318.8592,1.1615297860635698
129,D. anicetus,anicetus,41.6952,243.8784,0.9646806717603913
129,D. apalachicolae,apalachicolae,45.5688,299.5488,0.9492921589242054
129,D. auriculatus,auriculatus,48.9024,312.912,1.1344734920537898
129,D. bairdi,bairdi,43.9272,307.008,1.182356991442543
129,D. brimleyorum,brimleyorum,45.288,326.3328,1.1523892646699265
129,D. campi,campi,36.2808,258.5232,0.930204500611247
129,D. folkertsi,folkertsi,44.3232,269.136,1.035364119193154
129,D. fuscus,fuscus,47.5776,273.6072,1.0
129,D. gvnigeusgwotli,gvnigeusgwotli,46.6416,272.5344,0.993724163814181
129,D. intermedius,intermedius,48.5136,324.8496,1.1505528826405869
129,D. kanawha,kanawha,41.4,292.5072,1.143468893643032
129,D. marmoratus,marmoratus,46.8432,275.5296,1.132298424816626
129,D. mavrokoilius,mavrokoilius,42.6744,267.7968,1.0675150715158925
129,D. monticola,monticola,38.9952,260.0784,1.0754481473105135
129,D. ochrophaeus,ochrophaeus,52.812,270.2088,0.8630117316625917
129,D. ocoee,ocoee,43.092,294.5304,1.0672795293398534
129,D. orestes,orestes,46.0512,255.6144,0.9207789382640588
