bootstrap_replicate,species,tree_tip,genome_size_pg,nucleus_area_um2,cell_area_um2
135,D. kanawha,kanawha,17.96522186,41.74560000,285.39360000
135,D. marmoratus,marmoratus,17.41366633,48.32640000,276.83280000
135,D. mavrokoilius,mavrokoilius,15.62600289,42.67440000,268.48800000
135,D. monticola,monticola,16.07369042,39.70080000,264.18960000
135,D. ochrophaeus,ochrophaeus,12.71659378,52.13520000,273.43440000
135,D. ocoee,ocoee,16.83855122,42.24240000,292.89600000
135,D. orestes,orestes,12.79366213,46.02240000,255.99600000
135,D. perlapsus,perlapsus,13.74966688,44.20800000,296.66160000
135,D. tilleyi,tilleyi,16.06120237,41.83200000,263.58480000
135,D. valtos,valtos,21.93117740,50.78880000,312.71040000
135,D. welteri,welteri,14.56575792,48.84480000,303.39360000
135,D. wrighti,wrighti,14.30746574,42.16320000,203.67360000
136,D. aeneus,aeneus,9.34753212,37.66320000,210.94560000
136,D. amphileucus,amphileucus,16.37121721,44.56080000,320.01840000
136,D. anicetus,anicetus,15.05013546,42.06240000,245.18160000
136,D. apalachicolae,apalachicolae,15.57276760,44.39520000,300.28320000
136,D. auriculatus,auriculatus,18.58965311,48.57120000,317.14560000
136,D. bairdi,bairdi,18.70590257,44.00640000,306.00000000
136,D. brimleyorum,brimleyorum,16.33558767,43.92000000,331.12080000
136,D. campi,campi,14.37621071,37.46880000,258.22800000
136,D. folkertsi,folkertsi,16.38865222,44.61840000,266.63040000
136,D. fuscus,fuscus,16.36000000,47.64240000,272.55600000
136,D. gvnigeusgwotli,gvnigeusgwotli,14.96985779,46.84320000,272.35440000
136,D. intermedius,intermedius,17.64423746,50.02560000,325.23840000
136,D. kanawha,kanawha,16.45567958,41.40000000,283.07520000
136,D. marmoratus,marmoratus,17.50284277,47.26080000,274.19040000
136,D. mavrokoilius,mavrokoilius,17.37169992,40.87440000,269.59680000
136,D. monticola,monticola,16.20552205,40.17600000,260.71200000
136,D. ochrophaeus,ochrophaeus,13.21924392,52.63200000,272.30400000
136,D. ocoee,ocoee,15.85282722,44.06400000,295.67520000
136,D. orestes,orestes,15.05140023,45.76320000,255.03840000
136,D. perlapsus,perlapsus,15.41078339,44.76960000,290.56320000
136,D. tilleyi,tilleyi,15.80460003,42.60240000,265.08960000
136,D. valtos,valtos,22.04940629,49.98240000,313.68960000
136,D. welteri,welteri,14.29486350,48.70800000,310.47840000
136,D. wrighti,wrighti,13.64202180,44.89200000,247.62240000
137,D. aeneus,aeneus,9.90463995,36.87120000,208.05120000
137,D. amphileucus,amphileucus,18.17943119,44.45280000,318.43440000
137,D. anicetus,anicetus,15.84201277,40.87440000,244.21680000
137,D. apalachicolae,apalachicolae,15.31729143,46.00080000,301.19760000
137,D. auriculatus,auriculatus,16.98614521,49.66560000,315.10080000
137,D. bairdi,bairdi,19.22308382,44.00640000,306.93600000
137,D. brimleyorum,brimleyorum,16.41184568,46.26000000,329.78880000
137,D. campi,campi,15.17395024,36.66240000,256.21200000
137,D. folkertsi,folkertsi,17.26826173,44.72640000,268.80480000
137,D. fuscus,fuscus,16.36000000,47.24640000,273.60720000
137,D. gvnigeusgwotli,gvnigeusgwotli,15.80053894,46.72080000,272.35440000
137,D. intermedius,intermedius,19.07462504,48.93840000,324.25920000
137,D. kanawha,kanawha,17.58666496,41.99040000,288.77040000
137,D. marmoratus,marmoratus,18.16565745,48.90960000,274.35600000
137,D. mavrokoilius,mavrokoilius,15.33921790,42.16320000,268.75440000
137,D. monticola,monticola,18.49430360,39.60000000,258.20640000
137,D. ochrophaeus,ochrophaeus,14.07905455,51.22080000,274.85280000
137,D. ocoee,ocoee,17.75945314,44.25120000,296.84160000
137,D. orestes,orestes,13.69239177,46.02240000,255.32640000
137,D. perlapsus,perlapsus,14.98877752,43.68240000,293.55120000
137,D. tilleyi,tilleyi,16.96424433,41.76720000,265.01040000
137,D. valtos,valtos,23.67464509,48.90240000,309.87360000
137,D. welteri,welteri,14.52229449,46.64880000,301.98960000
137,D. wrighti,wrighti,14.87017425,42.96960000,237.13200000
138,D. aeneus,aeneus,9.61504460,37.65600000,213.28560000
138,D. amphileucus,amphileucus,18.56274311,44.45280000,318.62160000
138,D. anicetus,anicetus,16.37651681,41.15520000,243.61920000
138,D. apalachicolae,apalachicolae,15.69341470,44.30880000,300.46320000
138,D. auriculatus,auriculatus,21.29986214,48.31920000,311.10480000
138,D. bairdi,bairdi,19.79242993,44.31600000,303.26400000
138,D. brimleyorum,brimleyorum,19.17448014,45.16560000,329.40000000
138,D. campi,campi,15.48718945,36.74880000,258.22800000
138,D. folkertsi,folkertsi,18.21054499,43.22880000,268.80480000
138,D. fuscus,fuscus,16.36000000,46.18080000,273.14640000
138,D. gvnigeusgwotli,gvnigeusgwotli,15.40323016,45.69120000,272.53440000
138,D. intermedius,intermedius,19.86937701,47.16000000,325.19520000
138,D. kanawha,kanawha,18.79085110,41.86800000,288.66240000
138,D. marmoratus,marmoratus,19.43569525,49.70160000,274.19040000
138,D. mavrokoilius,mavrokoilius,17.01883881,42.16320000,269.60400000
138,D. monticola,monticola,16.56776156,39.62160000,258.95520000
138,D. ochrophaeus,ochrophaeus,14.27833924,52.61040000,267.57360000
138,D. ocoee,ocoee,17.84983385,43.81200000,291.83040000
138,D. orestes,orestes,15.06597930,45.99360000,254.66400000
138,D. perlapsus,perlapsus,16.22745037,42.91920000,294.27840000
138,D. tilleyi,tilleyi,18.04046909,41.85360000,263.58480000
138,D. valtos,valtos,24.09177920,49.78080000,311.71680000
138,D. welteri,welteri,15.90554713,48.70080000,304.41600000
138,D. wrighti,wrighti,16.46032472,41.28480000,197.69760000
139,D. aeneus,aeneus,8.62688737,36.82080000,208.05120000
139,D. amphileucus,amphileucus,15.18136149,44.66880000,320.87520000
139,D. anicetus,anicetus,13.86144368,40.04640000,243.61920000
139,D. apalachicolae,apalachicolae,13.82979641,46.23840000,301.01040000
139,D. auriculatus,auriculatus,15.84159215,49.56480000,316.77120000
139,D. bairdi,bairdi,17.11437879,44.76240000,306.60480000
139,D. brimleyorum,brimleyorum,16.03621195,45.16560000,329.01120000
139,D. campi,campi,13.09001194,36.70560000,256.83840000
139,D. folkertsi,folkertsi,15.18882707,47.52000000,270.07920000
139,D. fuscus,fuscus,16.36000000,47.70720000,273.31200000
139,D. gvnigeusgwotli,gvnigeusgwotli,13.76218322,46.69200000,272.93760000
