component,path,publication_id,rows,columns,bytes,sha256
morphology,analyses/02_morphology/provenance/iod_pre_extension_frozen_objects.csv.gz,,721,189,381377,f22d014f9f395c5aadec8fe2538f6f651d1328884ef618e0baf0a97a1e00dcbe
morphology,analyses/02_morphology/provenance/iod_replacement_decisions.csv,,199,8,37028,5ad3dae5a848e93c11f1a9534ece30e18c6587f3c7dde35d7f68724f5d6b51f5
morphology,analyses/02_morphology/provenance/iod_review_decisions.csv,,800,8,149643,9f79b25be26df38bb74c5f28b6a643754d853c2ddbc9bdef04c9b49d6b4eb3bb
morphology,analyses/02_morphology/provenance/iod_source_manifest.json,,,,5811,bb692d5cea7c84e50a97164c5a05476853546cad1717ba2edf9c1d0838067c35
morphology,analyses/02_morphology/provenance/legacy_frozen_input_registry.csv,,34,9,13200,ddc0886d8502bd754b9c645b3b8980c478c1943c5c2b6d116c8ad34806d353ba
morphology,analyses/02_morphology/provenance/production_cell_nucleus_lineage.json,,,,7267,754be4859f416750f383c589e4e6c80f34575db98d51e1012b8cc78607f121c6
morphology,analyses/02_morphology/provenance/review_finalization.json,,,,5179,3e19bc437e16e6d8b95c3891352302c51fe1e2a9fe6ed52b57bb82cbe196e8b6
phylogenetic_path,analyses/03_phylogenetic_path/trees/path24_time_tree.nwk,,,,659,5c05e24b5b63d5a4e7cecf054ec7c34bc1607548845d1ea3bd745062db54beab
phylogenetic_path,analyses/03_phylogenetic_path/trees/published_bootstrap_200_analysis18.nex,,,,107635,0fc10b77e5a20fe01448abf5a9e2ab5c0b836e9fc02281fe06bc9a57504016e9
phylogenetic_path,analyses/03_phylogenetic_path/trees/published_main_analysis18.nwk,,,,509,008736b15dd69e4cea68d5e307b0d28ef62cdfe9708309ef320a240ca74ebc32
phylogenetic_path,analyses/03_phylogenetic_path/trees/source_time_tree_46.tre,,,,1322,1cf561526405c794b70d5767182eefe84dfa1552f9f9c0be6b36c465b19301aa
