species,te_level,composition_mode,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28
orestes,order,classified_conditional,-0.34511836876074764,0.10474958595558723,-0.13271100107841907,0.05504212292277187,0.027000735650398455,-0.037858971307251604,0.018708500712995235,0.01742031912315337,-0.022282300755424058,,,,,,,,,,,,,,,,,,,
organi,order,classified_conditional,-0.240133496762937,-0.6906785282149623,-0.0006306179431698805,-0.3826897770944439,-0.13987480668571134,-0.2259933425733117,-0.023399350485713562,0.0037963547521633555,-0.025926201797435933,,,,,,,,,,,,,,,,,,,
pascagoula,order,classified_conditional,0.6519700862437923,0.015649785711412206,-0.0895429839184112,0.14786016182210318,0.16400876677468268,-0.12622570824553803,-0.02136550798770949,-0.0011563516439909223,0.010154005412976867,,,,,,,,,,,,,,,,,,,
perlapsus,order,classified_conditional,0.17950500640957523,-0.00451797956063818,-0.17352821869459764,-0.27646361262941865,-0.03716732196996627,0.01087338250995138,0.1257127849382331,-0.07022337185747912,-0.002491878719006679,,,,,,,,,,,,,,,,,,,
santeetlah,order,classified_conditional,-0.0647124171991243,-0.08487542809587395,-0.10721501583774268,0.0012514561946270117,0.09633941094522393,0.03469104569490782,0.012600589835135716,0.05699196381931975,-0.018181464388880863,,,,,,,,,,,,,,,,,,,
tilleyi,order,classified_conditional,-0.6189017435978071,-0.011067137712267004,-0.3235491086614824,0.08464335939441694,-0.035988997029817275,-0.04029342530838899,0.03676310038924899,0.004558071234090063,0.01673975516835779,,,,,,,,,,,,,,,,,,,
valentinei,order,classified_conditional,0.6935682881016721,-0.04027930925764965,-0.037854227028215955,0.3096055185271026,0.08165414402471635,-0.14769049896283745,-0.029340938343017285,-0.017353457578958585,0.04977532915044289,,,,,,,,,,,,,,,,,,,
valtos,order,classified_conditional,0.6614184729440435,0.16026662631076538,-0.004258023774571988,0.048607983981687704,-0.07469757360896381,0.011413083968488492,-0.060293068603171615,-0.07158826468827914,-0.04329978894560657,,,,,,,,,,,,,,,,,,,
welteri,order,classified_conditional,0.3148529433079928,0.07016473798483185,0.10837355422953017,0.2590459802208932,-0.00518999668879,-0.05730989410035829,0.016410380342900086,0.13575011917086066,-0.02165793666727208,,,,,,,,,,,,,,,,,,,
wrighti,order,classified_conditional,0.07727985182857272,-0.7852506377704307,0.2475220009240126,-0.3444570726402622,-0.14858524138515994,-0.0968588125400397,-0.035248259313841505,0.032596064249416315,0.0296101323086885,,,,,,,,,,,,,,,,,,,
abditus,superfamily,classified_conditional,-1.83634075004639,-1.4732985359581885,2.4050469406114545,2.849002485501623,-0.1944089508604978,0.18391554053477083,-0.08422481767616738,0.3406557806746038,0.09886687524335236,-0.12967482369661515,-0.052690085403968356,-0.01682597921950916,0.08140711887538964,-0.12628903133916475,-0.1638251714005947,-0.12947781521117868,0.08493760608391776,0.07689541114039669,0.018666922924534302,-0.05290183839403555,-0.050101936098963476,-0.006620085381684238,0.015735319836247225,0.021007728695645357,0.0011399649079839097,-0.005053666367166526,-0.01674023395924384,0.004582308889195902
adatsihi,superfamily,classified_conditional,-1.778670622224613,-1.729148412124129,0.8693168444827789,2.648743459057323,-0.21791945365186502,0.10034970271767475,-0.27919155549377844,0.02462150370925777,0.48448269714161996,0.10086720535040439,0.024789136992477583,0.11940183180828032,0.14679323727749727,0.1816960567037012,0.04778134408178855,0.008573818668692671,0.020210257829672333,-0.08017675631810832,-0.03179844938490819,-0.01678496384804915,0.0771237269675332,0.0068218446232775525,-0.042142244029066266,-0.012508049871678743,-0.0012472822352577663,0.009576712943188638,0.0024312412221616066,-0.009923929149487996
aeneus,superfamily,classified_conditional,-1.5044331422336354,-1.4892407073548992,0.8439862869308917,1.30508628859599,0.23389432804365384,0.05493352074199517,0.5190632750660298,-0.4904527176653261,-0.5692373563902221,0.17270613692267947,0.08211990847882485,0.2448408941914372,-0.4655806046952845,0.006128566293349691,0.10536713517689625,0.11744347294009946,-0.20856912519094856,0.006250285435998096,0.002055063960961265,-0.011928166045113,-0.05119020168076692,0.0010155094557550365,-0.017327083651610502,-0.01627538712980712,-0.017849159254904847,0.009023088783988708,-0.0039010976546146286,0.0011319298632025774
amphileucus,superfamily,classified_conditional,1.6032452450446937,4.732429656460165,1.7292088379311643,-0.09758021987476197,-0.20569448010832753,-0.8578076191100359,-0.4932480970985726,-0.21150690687452428,0.26197823309759166,-0.23965315477938073,-0.31549766394003453,0.11017312590289924,-0.060566202749980376,-0.013913023343873865,0.11269365604891009,-0.11784604275633409,0.06406626757781468,0.035945585708585845,-0.1458381499296956,0.051980136417832334,-0.06578151893723601,0.009370395683059486,-0.03993890635478973,-0.0021817189892151265,-0.023506714778953542,0.01749178656777184,0.009893039217237876,-0.00038794225634471575
anicetus,superfamily,classified_conditional,-2.0167206701247187,1.151490521671681,-0.2843658883231934,-0.7729896894488515,-0.30514945055934395,-0.06944216750085619,0.19428520952626957,0.6028773076398829,-0.06246494058367775,0.8221327653286273,-0.19142010243524937,0.040288248041420324,-0.040027769881137994,0.08708257039322424,0.23782747166837342,-0.06580599344074704,-0.0011325622173124915,0.007690058065128942,0.0507448777812572,-0.04442302879625718,-0.019512818493109506,0.05322516191672858,0.014686274601947323,0.00518725929033456,-0.007437669955985361,0.007443310077975396,0.006982524268305081,-0.006487213114371542
apalachicolae,superfamily,classified_conditional,-1.183675438468958,-1.5370294034318839,-1.3619926330421412,-0.26158490315125155,-0.23690160478991149,0.3033804488261004,-0.7151029319104089,0.028812539178831323,-0.25869387725351906,-0.2428465745467682,0.16467692887715787,0.06777787224528846,7.390088317417701e-05,-0.050453248868976945,0.02446683369854339,-0.002987834712950553,-0.04671593398495942,-0.013473755457121239,-0.022943410283201966,-0.019571575483089118,0.015166381738717613,-0.02256838028962868,0.028064780601750654,0.025852650594732806,-0.07268037940823455,-0.012930553995119616,0.022812301514533957,-0.004574740878276872
aureatus,superfamily,classified_conditional,3.3124199859076855,-0.6068849603805206,-1.4287370506553456,0.24342166649676508,-0.5171872226119874,-0.48979507668305855,-0.47698380507384003,0.8072772085714183,-0.047720094856414125,-0.5751655353871239,-0.5447474809771202,-0.2778777203721361,-0.467135925352004,0.0036657572258561887,-0.07300164327062726,0.06641692513790885,-0.011591875257929827,0.0011883267320206023,0.057220747260880986,-0.05329600578974167,0.04353234604718504,0.04116982856221527,-0.006326449704407484,0.01133933606061213,0.005553529809877977,-0.007397272372944487,-0.003962786361381662,-0.0015587276697980525
auriculatus,superfamily,classified_conditional,-1.1125165416318832,-1.4538878069907744,-1.2732420608254413,-0.24819257488857452,0.10701394567629416,-0.10225259786190896,0.5520295142955122,0.015315788208460097,-0.220333717434885,-0.7359825869208542,0.0014715539963608697,0.020619181949053118,0.22953881378404772,-0.14061596896536357,-0.014730431562515247,-0.11078724590270583,-0.04910366124113657,0.06998278821274052,0.021515881953101362,0.17205715240412633,-0.0007166966423417183,0.04359817264963834,0.0004880070527486525,-0.0014518526575356412,-0.01987262445436328,-0.0005814003871666972,-0.019420296539166434,-0.004188846074102222
