fit_id,family,phase,tree_id,morphology_estimator,iod_subset,omitted_species,n_species,rank,model,k,q,C,p,CICc,delta_CICc,l,w,global_fit_pass,finite_ranking_row,release_gate_status,winner_claim_allowed_by_ranking_gate,absolute_genome_size_used,publication_claim_allowed,warning_count
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__campi,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,campi,17,3,evenness_only,2,4,23.798493295224908,8.765711827862788e-5,35.131826628558244,15.619743457867312,4.057100853479049e-4,4.045749612795154e-4,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__campi,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,campi,17,4,additive_composition,1,5,19.74095557907943,5.167803149208616e-5,35.19550103362488,15.683417862933947,3.929968617613495e-4,3.918973076395822e-4,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__campi,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,campi,17,5,proxy_null,3,3,32.602535218169145,1.2503273547181948e-5,40.44868906432299,20.93660589363206,2.8423253948847694e-5,2.83437293798895e-5,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__fuscus,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,fuscus,17,1,mediated_evenness,1,5,4.278775614569945,0.117726892511401,19.733321069115398,0,1,0.9965329250623295,TRUE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__fuscus,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,fuscus,17,2,ltr_only,2,4,20.296853838835755,4.363226720064395e-4,31.630187172169087,11.89686610305369,0.002609926936997665,0.0026008781247252493,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__fuscus,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,fuscus,17,3,additive_composition,1,5,19.81701054031332,4.97497425047122e-5,35.27155599485877,15.538234925743375,4.2258605016647636e-4,4.21120912662935e-4,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__fuscus,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,fuscus,17,4,evenness_only,2,4,24.095786154883264,7.641997777962928e-5,35.4291194882166,15.695798419101202,3.905716161180508e-4,3.8921747505644245e-4,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__fuscus,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,fuscus,17,5,proxy_null,3,3,31.465601403202626,2.065318874078237e-5,39.31175524935647,19.578434180241075,5.605276436031432e-5,5.585842522581352e-5,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__gvnigeusgwotli,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,gvnigeusgwotli,17,1,mediated_evenness,1,5,4.035993328165306,0.1329214849125222,19.490538782710757,0,1,0.9980660857184598,TRUE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__gvnigeusgwotli,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,gvnigeusgwotli,17,2,ltr_only,2,4,21.21104282973069,2.8757109367238964e-4,32.54437616306402,13.053837380353265,0.0014635084322074101,0.0014606781323492097,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__gvnigeusgwotli,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,gvnigeusgwotli,17,3,evenness_only,2,4,24.87852664751191,5.321965354054825e-5,36.21185998084525,16.72132119813449,2.3388977535676814e-4,2.3343745257989947e-4,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__gvnigeusgwotli,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,gvnigeusgwotli,17,4,additive_composition,1,5,20.842533319346607,2.979211908471502e-5,36.29707877389206,16.806539991181303,2.2413320994959713e-4,2.2369975553390817e-4,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__gvnigeusgwotli,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,gvnigeusgwotli,17,5,proxy_null,3,3,33.714027482630236,7.639051832430965e-6,41.56018132878408,22.069642546073325,1.613013537627876e-5,1.6098941077111398e-5,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__intermedius,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,intermedius,17,1,mediated_evenness,1,5,3.6972696239016862,0.157451971205136,19.15181507844714,0,1,0.9979725916630217,TRUE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__intermedius,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,intermedius,17,2,ltr_only,2,4,21.16778805692261,2.93310629685406e-4,32.501121390255946,13.349306311808807,0.0012625104041921941,0.001259950780073213,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__intermedius,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,intermedius,17,3,evenness_only,2,4,23.376148012243192,1.0649510796389983e-4,34.70948134557653,15.557666267129388,4.185002236757757e-4,4.176517528332681e-4,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__intermedius,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,intermedius,17,4,additive_composition,1,5,19.678878388341506,5.3307197724672406e-5,35.133423842886955,15.981608764439816,3.3856164083992065e-4,3.378752381467007e-4,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__intermedius,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,intermedius,17,5,proxy_null,3,3,33.974416071358704,6.804356490253127e-6,41.82056991751255,22.66875483906541,1.1954803192686883e-5,1.1930565925027094e-5,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__kanawha,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,kanawha,17,1,mediated_evenness,1,5,5.636828603195502,0.05970053473444881,21.091374057740957,0,1,0.9872418847925886,TRUE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__kanawha,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,kanawha,17,2,ltr_only,2,4,18.846432100722172,8.424633319551456e-4,30.179765434055504,9.088391376314547,0.01062871808304893,0.010493115673238294,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__kanawha,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,kanawha,17,3,additive_composition,1,5,18.603360567834596,9.127074180159678e-5,34.05790602238005,12.966531964639096,0.001528809452169512,0.001509304725048554,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__kanawha,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,kanawha,17,4,evenness_only,2,4,24.240189171030096,7.149024202424137e-5,35.57352250436343,14.482148446622475,7.165416208200271e-4,7.073999002706999e-4,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__kanawha,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,kanawha,17,5,proxy_null,3,3,33.09590863308798,1.004953176642065e-5,40.94206247924183,19.85068842150087,4.891902339018529e-5,4.8294908853939247e-5,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
