superfamily,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28
Helitron,0.21312395723856223,-0.2955183424530557,-0.17592860712041478,0.04763062768788993,0.04081294464870698,0.01778674996966036,0.022612410675313485,-0.044337357880260615,0.02736897569975267,0.14477855146357774,-0.04418093852890643,-0.08546913820451273,-0.020560393262081117,0.07788857910680201,0.41463828694133714,0.030267792661096245,0.1268032272475435,0.2244574628154075,-0.16970951906555454,0.009000337786716151,0.17200032077323754,-0.2890180335390316,0.001580309760951207,-0.33265722439381223,-0.4508008838504036,-0.3105703990676082,-0.00871038070211469,0.019961037386940685
IS3EU,0.08751994620502702,-0.003981032184421215,0.1015026148169653,0.1444142684281407,-0.28441676280314654,0.5942440715840711,-0.004513614711214727,0.11325803226691322,0.0788546052284209,0.5417064993090724,-0.11908863895015707,-0.28587693872089964,-0.17382455224479748,-0.11166083310375426,-0.05906437288983236,0.05521077420644883,-0.14653085074751981,-0.09139092002133686,0.023319988103630125,-0.003953560917251756,-0.13277618680828476,0.02235612207128997,0.07601897868994945,-0.007691198060521363,0.09106720473984052,-0.08284932621770347,3.159375272117129e-4,2.948191352821812e-4
Jockey,0.29297165730772146,0.11382391187355873,-0.08360444730667421,0.17590553079050097,0.2076057399180344,0.08477611146163626,0.03308495898351213,0.17826855288401253,-0.05551867674893063,0.015229963471900105,-0.02523060057503442,0.04174093028479739,-0.015047115237237335,-0.12903658005434435,0.015604810212491613,-0.04810104313581101,0.4168421475609556,-0.5333827743300641,-0.3093448342339804,-0.2957670786220081,-0.008711115288231307,-0.08506477408032309,-0.18057077725495263,0.03625813315038893,-0.08291183650258459,0.2557653295301929,3.8601167728872685e-4,0.006392913417890008
Kolobok,-0.006228667758917614,0.08601680271609982,0.013731861713091193,0.005620486805178844,0.13182702285720663,-0.22874206964100027,0.8045215537975148,-0.02352700916230703,0.31673320662243337,0.10680244976162868,0.16993089251049165,-0.16500675219122604,-0.019548961018437994,0.03713698359964551,0.004401108926286516,0.005159637048801058,-0.11296809558007781,-0.13234968842132006,0.03430921412656215,-0.09096468740801276,-0.1943618969631914,0.05567785221204242,0.06449870086676879,-0.04368651703842899,-0.038388344924548755,-0.12976647375357772,-0.0016597175926234549,0.01427684905686688
L1,-0.0071916466914973215,0.08411243376915105,0.4328201100743686,2.8372554831109633e-5,-0.24723788707683045,-0.028028355430972297,0.09760287840718854,-0.25974845698919824,-0.12217329938022835,-0.08534995478063453,-0.06847417356640628,0.0015008680694926133,0.11648947910320356,-0.2541747396780018,-0.3488115450411647,-0.013131103734892634,0.22232648562044433,-0.09859557432866374,-0.03927574371700333,0.1754834951574913,0.04168591244253427,-0.13173078707338162,0.022967275535721778,0.027404718985054817,-0.3481318186968211,-0.20593221720966226,0.0034016145022354957,0.4052679821397933
L2,0.14118298520605277,-0.17696388415608405,0.25387285327551673,-0.2693466640746224,0.3100533317819032,0.0784793718128374,0.04894111769309009,0.16237878870984646,0.17309431942693956,-0.06138297421123763,-0.17873782429191645,-0.0037798556975908886,-0.16316610659007974,-0.0021907059238956634,0.005788824779221389,-0.3053403683400898,-0.11714324224232933,-0.12311159843188042,-0.03413720747461358,0.07435305789451895,0.479312797554937,-0.10661219115124523,0.28519201465644733,-0.024275675747175582,0.2793098809995193,-0.0071810823631851955,0.017175073553896154,0.241140356833584
MITE,-0.0056751090495693384,-0.1236078106449042,-0.3421790938353868,-0.06690542857923548,0.07655155875822889,-0.11319368306355511,0.14600722672353603,-0.18962293175360467,-0.4954195236176856,0.39427541688465334,-0.04490768101047347,0.08626275654467769,0.15842297879700717,-0.11914996187171706,-0.00970982914271107,-0.13767701153977976,0.2073367042149942,-0.12126019375462557,0.03949445070276233,0.18012060377696282,0.09972416194258242,0.32803112104715165,0.22319181803184973,-0.014035713842322411,0.19599120314546864,-0.14116620998938784,-3.16886126407265e-4,0.02975733047262475
MULE,0.10756112286619454,0.2267237752362721,-0.25064610821608097,-0.27583293282616395,-0.16250910399814178,0.08949271635399832,0.22527302156859969,-0.0737462448240225,0.14074013799119528,0.14672704098511102,-0.10774932969474484,0.21808853093456954,0.10443001628138204,-0.3984930230322377,0.13191040263258108,-4.328932795022754e-4,-0.07413509130832026,0.18367321598135333,0.170658716016752,0.14598663910248455,0.21050483562074995,-0.22739693308196945,-0.1572092275012701,0.10765201293047671,-0.09348615841355248,0.4347625993738456,0.012233201685831032,0.0012350035483722677
Maverick,-0.0024598416906041606,0.085777794279873,0.07307358592795216,0.48859359201380326,0.1549214398774238,-0.26758593389638424,-0.0838439938744754,-0.14681857700892523,0.1203479452183506,0.053885981167537886,-0.43496750882574814,-0.437429981863534,0.1287413480117234,-0.01912528364953496,0.17005192157994195,-0.17227135739518196,-0.0048226088294618325,0.05954893795086929,0.11148929034232714,0.23252044432616847,0.05149238645864589,0.10012205459193377,-0.11757202214678147,0.07006660693639202,0.01289609157518494,0.21595161878026484,0.00745665980668331,0.05088883653691008
Merlin,-0.004164387532261569,0.06873945927032192,0.02823106408233979,-0.16574536703079368,0.4785605335478642,0.17561944664959409,-0.2797207782019175,-0.45343162766203543,0.15484616677643892,0.12190114427894702,0.4334092459448424,-0.2583730099990383,0.24499262327425766,-0.20325441759689095,0.007165652491420703,0.08530944013420802,-0.10252784761896344,-0.05365894534357576,-0.05392403807884905,-0.014892624337156673,-0.01609365792319876,-0.03487388479039193,0.004041880586466397,0.050267861927427264,-0.023486665422058472,-0.00956409297647527,4.1958373536576135e-4,6.303681855460817e-6
