species,has_tree_tip,has_te,has_genome,has_ectopic,has_morphology,genome_size_pg,genome_size_se_pg,genome_result_status,genome_flag_summary,morph_cell_area_um2,morph_nucleus_area_um2,morph_nc_ratio,ltr_line_logratio,order_pielou,weighted_te_divergence_p90,weighted_te_deletions_p90,ectopic_log10_mean_ratio,body_size_proxy_mm,body_size_proxy_measurement,body_size_proxy_source_id,body_size_proxy_confidence,development_mode,development_source_id,development_confidence,aquaticity_index,microhabitat_class,lifestyle_source_id,lifestyle_confidence,elevation_mid_m,elevation_source_id,has_core_organismal_complete,has_core_organismal_mediumplus,has_elevation,uses_total_length_body_proxy,uses_mixed_stage_body_proxy,is_low_confidence_body_proxy,is_low_confidence_lifestyle_proxy,organismal_source_ids,te_feature_source_ids,genome_source_id,morphology_source_id
gvnigeusgwotli,True,True,True,True,True,16.9464,3.1478,stable,,246.7512,50.7096,0.204206,1.3574617440156784,0.5050007028599041,14.753146766954536,0.687805999246936,-0.1292633999070879,100.0,adult_svl_max_mm,nc_biodiversity_amphibians,medium,aquatic_larva,nc_biodiversity_amphibians,medium,1.0,streamside,nc_biodiversity_amphibians,medium,1083.0,nc_biodiversity_amphibians,True,True,True,False,False,False,False,nc_biodiversity_amphibians,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
intermedius,True,True,True,True,True,13.9225,3.164,stable,,257.7456,52.2648,0.207789,1.3223591937199697,0.4944719987426275,14.12848762727508,0.5907264918722782,0.5031703365139655,56.5,adult_svl_range_mid_mm,nc_biodiversity_amphibians,high,aquatic_larva,nc_biodiversity_amphibians,high,2.0,stream_aquatic,nc_biodiversity_amphibians,medium,900.0,nc_biodiversity_amphibians,True,True,True,False,False,False,False,nc_biodiversity_amphibians,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
marmoratus,True,True,True,True,True,16.7645,1.8257,minor_caution,tier_instability_warn,121.6386,43.6302,0.574967,1.271926112580415,0.4996556306918895,14.207317623098469,0.6058700460408416,0.0874808546199834,52.5,adult_svl_range_mid_mm,nc_biodiversity_amphibians,high,aquatic_larva,amphibio_2017,medium,2.0,stream_aquatic,nc_biodiversity_amphibians,medium,1025.0,nc_biodiversity_amphibians,True,True,True,False,False,False,False,amphibio_2017;nc_biodiversity_amphibians,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
mavrokoilius,True,True,True,True,True,16.8488,1.7619,stable,,176.0616,37.746,0.365498,1.374329859919484,0.4875831612824404,14.155138341963386,0.590905611602678,-0.128946712029589,83.0,adult_svl_max_mm,nc_biodiversity_amphibians,medium,aquatic_larva,nc_biodiversity_amphibians,medium,1.0,streamside,nc_biodiversity_amphibians,medium,1083.0,nc_biodiversity_amphibians,True,True,True,False,False,False,False,nc_biodiversity_amphibians,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
monticola,True,True,True,True,True,16.363,1.8258,sensitivity_limited,preservation_shift; tier_instability_warn,123.4638,35.5374,0.555508,1.2536912672924958,0.4786011886944919,13.519012728992688,0.5325056246702857,-0.161988774544403,112.5,adult_total_length_range_mid_mm,nc_biodiversity_amphibians,low,aquatic_larva,nc_biodiversity_amphibians,medium,1.0,streamside,nc_biodiversity_amphibians,medium,,nc_biodiversity_amphibians,True,False,False,True,False,True,False,nc_biodiversity_amphibians,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
ocoee,True,True,True,True,True,14.6415,2.3643,stable,,241.2576,54.7056,0.236147,1.2439555145360093,0.4827312240594046,13.001241718084772,0.4996314418710403,0.0677608864555128,110.0,amphibio_body_size_mm_measurement,amphibio_2017,low,aquatic_larva,nc_biodiversity_amphibians,medium,1.0,streamside,nc_biodiversity_amphibians,medium,,,True,False,False,False,False,True,False,amphibio_2017;nc_biodiversity_amphibians,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
orestes,True,True,True,True,False,15.6916,2.3112,minor_caution,tier_instability_warn,,,,1.2898431743950491,0.4803077535213144,12.9097417939543,0.4747686900983235,-0.0037901792314025,90.0,adult_total_length_range_mid_mm,nc_biodiversity_amphibians,low,aquatic_larva,nc_biodiversity_amphibians,medium,1.0,streamside,nc_biodiversity_amphibians,medium,,,True,False,False,True,False,True,False,nc_biodiversity_amphibians,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,
organi,True,True,True,True,False,13.744,4.6072,caution,high_standard_error; low_image_count; low_specimen_count,,,,0.6647281215140753,0.541685188839575,17.936835365930865,0.9611027175242738,-0.2369870007581695,50.0,adult_total_length_range_mid_mm,nc_biodiversity_amphibians,low,direct_development,nc_biodiversity_amphibians,medium,1.0,streamside,nc_biodiversity_amphibians,medium,,,True,False,False,True,False,True,False,nc_biodiversity_amphibians,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,
perlapsus,True,True,True,True,True,14.0418,2.4287,stable,,237.1248,41.4288,0.205005,1.2159832012368497,0.4858324551858264,13.18925741449704,0.5172610322448646,-0.031832895444907,39.0,manual_adult_svl_range_mid_mm,pyron_beamer_2022_ocoee_treatmentbank,high,aquatic_larva,nc_biodiversity_amphibians,medium,1.0,streamside,nc_biodiversity_amphibians,medium,,,True,True,False,False,False,False,False,nc_biodiversity_amphibians;pyron_beamer_2022_ocoee_treatmentbank,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
santeetlah,True,True,True,True,False,15.6268,3.2098,stable,,,,,1.22553154974885,0.4859172820026624,12.88553411181062,0.3175093473052658,-0.0709023410663871,49.12199999999999,svl_q90_all_specimens_mixed_life_stages_mm,pyron_beamer_2023_conanti_fuscus_appendix_s1,medium,aquatic_larva,nc_biodiversity_amphibians,medium,1.0,streamside,nc_biodiversity_amphibians,medium,,,True,True,False,False,True,False,False,nc_biodiversity_amphibians;pyron_beamer_2023_conanti_fuscus_appendix_s1,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,
