Specimen,Museum,Species,Clade,State,County,LatDD,LongDD,SVL,TL,AG,CW,FL,HL,SG,TW,TO,FI,HW,ED,IN,ES,ON,IO,IC
RAP2410,AMNH A-193894,conanti,conanti C,Alabama,Covington,31.0962,-86.53986,39.45,43.95,21.91,5.50,3.49,2.29,8.93,4.37,1.90,1.05,5.86,2.11,2.06,2.29,1.41,1.57,2.82
RAP2411,,conanti,conanti C,Alabama,Covington,31.0962,-86.53986,39.04,42.46,21.82,5.78,3.78,2.78,8.41,4.89,2.19,1.23,6.15,2.29,2.31,2.28,1.34,1.42,2.89
RAP2412,,conanti,conanti C,Alabama,Baldwin,31.093782,-87.834034,41.50,41.17,23.07,6.03,3.61,3.04,8.51,5.62,2.57,1.31,6.43,2.20,2.28,2.24,1.39,1.48,2.69
RAP2413,,conanti,conanti C,Alabama,Baldwin,31.093782,-87.834034,36.96,43.99,20.44,5.58,3.20,2.88,8.35,4.95,2.32,1.35,6.18,2.38,2.56,2.58,1.51,1.52,2.80
RAP2414,,conanti,conanti C,Alabama,Baldwin,31.093782,-87.834034,38.31,43.89,21.64,5.66,3.31,2.92,8.26,5.14,2.34,1.07,5.95,2.03,2.27,2.20,1.14,1.56,2.91
RAP2415,,conanti,conanti C,Alabama,Baldwin,31.093782,-87.834034,45.90,51.87,24.96,6.83,3.87,3.56,9.80,5.61,2.80,1.45,7.27,2.62,2.69,2.77,1.63,1.59,3.36
RAP2416,,conanti,conanti C,Alabama,Baldwin,31.093782,-87.834034,44.90,47.97,24.66,6.72,3.50,2.98,9.65,5.62,2.74,1.57,7.26,2.23,2.45,2.81,1.80,1.46,3.04
RAP2418,,conanti,conanti C,Alabama,Baldwin,31.076869,-87.835115,35.63,42.86,20.26,5.04,3.18,2.68,7.24,4.01,2.19,1.32,5.71,2.24,1.96,1.70,1.04,1.30,2.12
RAP2419,,conanti,conanti C,Alabama,Baldwin,31.076869,-87.835115,40.25,33.79,22.91,5.42,3.69,2.62,8.74,4.36,2.58,1.30,6.17,2.60,2.08,2.40,1.50,1.50,2.68
RAP2420,,conanti,conanti C,Alabama,Baldwin,30.968292,-87.865396,18.57,16.63,9.59,2.71,1.64,1.65,4.52,1.86,1.27,0.58,3.42,1.33,1.33,1.13,0.58,0.85,1.61
RAP2421,,conanti,conanti C,Alabama,Baldwin,30.958255,-87.859144,35.49,34.93,18.96,5.23,2.97,2.85,8.26,4.57,2.57,1.30,5.83,2.00,2.09,2.31,1.45,1.52,2.67
RAP2423,,conanti,conanti C,Alabama,Mobile,30.736992,-88.144039,16.02,14.20,8.46,2.35,1.11,1.52,3.90,1.57,1.00,0.46,2.91,1.20,1.07,1.28,0.70,0.74,1.45
RAP2424,,conanti,conanti C,Alabama,Mobile,30.736992,-88.144039,38.76,33.86,21.96,5.67,3.36,3.13,8.18,4.17,2.37,1.17,5.93,2.24,2.16,2.10,1.39,1.41,2.52
RAP2425,,conanti,conanti C,Alabama,Mobile,30.736992,-88.144039,41.55,54.81,22.85,6.65,3.51,3.00,9.41,6.13,2.56,1.28,7.28,2.21,2.57,2.06,1.22,1.67,3.04
RAP2428,,conanti,conanti C,Alabama,Mobile,30.697151,-88.189031,36.57,43.23,20.23,5.24,3.00,2.66,7.69,4.05,2.23,1.13,5.98,2.19,2.03,2.43,1.58,1.31,2.46
RAP2429,,conanti,conanti C,Alabama,Mobile,30.697151,-88.189031,36.80,38.75,19.47,5.53,3.40,3.07,8.27,4.03,2.35,1.18,6.14,2.09,2.28,2.51,1.64,1.60,2.83
RAP2430,,conanti,conanti C,Alabama,Mobile,30.697151,-88.189031,43.28,47.01,24.55,6.20,3.80,3.40,8.95,5.02,2.89,1.58,7.27,2.32,2.64,3.29,2.27,1.81,2.91
RAP2431,,conanti,conanti C,Alabama,Mobile,30.697151,-88.189031,42.56,49.70,23.78,6.09,2.97,2.93,8.71,5.43,2.34,1.30,6.40,1.83,1.99,2.53,1.53,1.74,2.81
RAP2432,,conanti,conanti C,Alabama,Mobile,31.85914,-86.624028,34.52,37.26,18.54,5.18,2.78,2.42,7.75,3.95,2.28,1.26,5.58,2.22,2.11,1.85,0.98,1.45,2.70
RAP2433,,conanti,conanti C,Alabama,Mobile,31.85914,-86.624028,35.92,40.33,19.12,5.01,3.39,2.71,8.34,3.88,2.50,1.40,6.01,2.01,2.57,2.64,1.50,1.69,3.13
RAP2434,,conanti,conanti C,Alabama,Mobile,31.85914,-86.624028,40.46,42.70,21.65,5.67,3.33,2.79,9.03,4.26,2.52,1.23,6.43,2.13,2.57,2.61,1.44,1.65,3.29
RAP2435,,conanti,conanti C,Alabama,Mobile,31.85914,-86.624028,43.65,41.60,24.64,6.09,3.48,2.41,9.18,4.80,2.99,1.70,6.76,2.30,2.49,2.24,1.16,1.53,3.13
RAP2436,,conanti,conanti C,Alabama,Mobile,31.85914,-86.624028,40.45,48.00,21.93,6.36,3.58,3.07,8.93,4.79,2.81,1.23,6.76,2.31,2.74,3.45,2.02,2.00,3.92
RAP0573,MNHN-RA 2021.0111,conanti,conanti D,Alabama,Jackson,34.888833,-85.953833,65.35,42.61,35.43,9.10,4.50,3.66,14.55,6.10,3.86,1.71,10.08,3.03,3.82,4.41,2.98,3.24,5.01
RAP0574,BMNH 2021.7572,conanti,conanti D,Alabama,Jackson,34.888833,-85.953833,61.78,44.40,31.77,8.55,4.64,2.62,13.88,6.47,3.74,1.70,9.88,3.18,3.93,4.06,3.00,3.40,4.86
RAP0575,,conanti,conanti D,Alabama,Jackson,34.888833,-85.953833,61.43,43.67,30.94,8.36,3.55,2.70,14.00,6.02,3.57,1.48,10.15,3.37,3.88,3.85,2.70,2.76,5.38
RAP0576,,conanti,conanti D,Alabama,Jackson,34.888833,-85.953833,64.11,38.79,34.27,8.68,4.48,2.93,14.40,6.36,2.90,2.11,10.24,2.84,3.87,3.58,2.18,3.69,5.07
RAP0577,,conanti,conanti D,Alabama,Jackson,34.888833,-85.953833,47.80,30.00,25.35,6.32,3.81,2.33,10.50,4.35,3.01,1.53,7.14,2.46,2.18,2.44,1.77,2.20,3.54
RAP0580,,conanti,conanti D,Alabama,Jackson,34.8214,-86.022167,51.15,29.44,28.25,8.33,3.89,2.29,10.28,7.43,3.62,1.78,7.53,2.31,2.66,2.66,1.71,1.83,3.44
RAP0587,,conanti,conanti D,Alabama,Jackson,34.89477,-86.02156,20.47,10.42,9.77,3.10,1.79,1.63,4.82,1.91,1.26,0.61,3.77,1.60,1.44,1.44,0.78,0.94,1.98
RAP0588,,conanti,conanti D,Alabama,Jackson,34.88741,-85.9961,21.18,9.06,10.65,3.78,1.47,1.27,5.26,2.00,1.12,0.70,3.97,1.50,1.43,1.58,1.04,1.19,2.07
RAP0589,,conanti,conanti D,Alabama,Jackson,34.88741,-85.9961,55.32,17.87,27.07,9.07,4.75,3.65,12.41,6.56,3.68,1.68,9.02,2.76,3.48,4.00,2.49,2.34,4.26
RAP0590,,conanti,conanti D,Alabama,Jackson,34.88741,-85.9961,60.16,49.26,31.83,9.46,3.38,3.22,12.87,7.94,3.67,1.57,9.87,2.77,3.31,4.23,3.04,2.25,4.50
RAP0613,,conanti,conanti D,Tennessee,Coffee,35.46947,-86.19535,63.96,42.99,34.69,10.65,4.77,4.30,12.48,8.31,2.59,2.81,11.18,3.28,4.15,3.34,2.22,3.36,4.86
RAP0614,,conanti,conanti D,Alabama,Jackson,34.97208,-86.08099,20.59,12.27,10.22,2.95,2.10,1.60,5.31,1.58,1.14,0.51,3.90,1.46,1.30,0.85,0.58,1.01,1.55
RAP0615,,conanti,conanti D,Alabama,Jackson,34.93077,-86.0061,48.15,36.17,26.87,6.15,3.97,2.28,10.29,4.71,3.05,1.58,7.03,2.36,1.94,2.49,1.78,2.32,3.27
RAP0616,,conanti,conanti D,Alabama,Jackson,34.93077,-86.0061,46.97,31.29,26.02,6.61,4.05,2.25,10.35,4.98,2.13,1.71,7.22,2.48,2.48,2.64,1.82,2.14,3.38
RAP0617,,conanti,conanti D,Alabama,Jackson,34.86747,-86.06198,47.09,31.81,25.51,6.85,4.53,2.50,9.97,5.10,2.59,1.86,7.15,2.82,2.38,2.57,1.82,2.31,3.15
RAP0618,,conanti,conanti D,Alabama,Jackson,34.86747,-86.06198,44.36,32.54,23.53,6.51,4.37,3.07,10.88,4.13,2.11,1.88,7.40,2.52,2.63,2.97,2.31,2.00,3.38
RAP0619,,conanti,conanti D,Alabama,Jackson,34.86747,-86.06198,49.04,26.92,27.28,6.62,2.75,1.79,9.59,4.55,3.42,1.40,7.56,2.84,2.36,2.37,1.60,2.08,3.11
RAP1170,,conanti,conanti D,Alabama,Jackson,34.796934,-86.315591,37.53,22.72,19.59,5.38,3.98,2.36,8.18,4.08,2.77,1.58,6.40,2.43,2.23,2.17,1.25,1.51,2.83
RAP1171,,conanti,conanti D,Alabama,Jackson,34.796934,-86.315591,57.91,35.33,30.35,8.83,4.96,4.56,13.60,6.13,3.82,2.36,9.32,3.38,3.68,3.94,2.58,2.62,4.54
RAP1172,,conanti,conanti D,Alabama,Jackson,34.796934,-86.315591,28.83,16.56,15.56,4.09,3.08,2.19,7.09,3.04,2.26,1.24,5.13,2.01,1.72,1.47,0.86,1.45,2.10
RAP1173,,conanti,conanti D,Alabama,Jackson,34.796934,-86.315591,53.40,39.98,27.24,8.65,5.14,3.52,12.66,6.58,3.80,2.49,8.79,2.97,3.15,3.06,1.69,2.29,3.80
RAP1388,,conanti,conanti D,Georgia,Walker,34.711401,-85.379739,26.68,14.34,14.17,4.28,2.77,1.97,6.03,3.06,2.14,1.20,4.94,1.85,1.69,1.70,1.03,1.23,2.22
RAP1389,,conanti,conanti D,Georgia,Walker,34.711401,-85.379739,48.65,36.65,25.27,7.19,4.52,3.17,11.30,5.64,3.51,2.02,7.50,2.66,2.93,2.68,1.60,1.95,3.58
RAP1390,,conanti,conanti D,Georgia,Walker,34.711401,-85.379739,55.70,43.14,30.85,8.54,5.60,3.47,11.78,7.59,3.66,2.55,8.74,2.76,3.38,3.03,1.95,2.01,3.98
RAP1391,,conanti,conanti D,Georgia,Chattooga,34.391272,-85.315646,24.76,12.19,12.34,3.69,2.67,1.91,5.87,2.65,1.76,1.05,4.48,2.07,1.59,1.38,0.81,0.88,1.86
RAP1392,,conanti,conanti D,Georgia,Chattooga,34.391272,-85.315646,28.41,16.13,15.07,4.05,2.96,1.95,6.54,3.03,1.90,0.92,4.88,1.96,1.77,1.62,0.94,1.22,2.13
RAP1393,,conanti,conanti D,Georgia,Chattooga,34.391272,-85.315646,42.54,30.31,22.31,6.23,3.82,3.32,9.50,4.82,3.37,1.86,6.86,2.52,2.48,2.27,1.30,1.68,3.04
RAP1394,,conanti,conanti D,Georgia,Chattooga,34.391272,-85.315646,22.55,13.39,11.82,3.25,2.20,1.60,5.41,2.28,1.44,0.76,4.19,1.76,1.44,1.33,0.69,0.95,1.79
RAP1398,,conanti,conanti D,Alabama,Cleburne,33.609398,-85.720671,58.48,17.17,31.65,9.29,5.02,4.03,11.95,6.24,3.68,1.83,8.99,2.66,3.31,3.44,2.11,2.33,4.16
RAP1399,,conanti,conanti D,Alabama,Clay,33.39204,-85.77391,46.54,44.55,24.67,8.13,4.68,3.66,9.91,6.48,3.20,1.31,7.71,2.44,2.77,2.37,1.48,2.19,3.25
RAP1603,,conanti,conanti D,Alabama,Winston,34.176296,-87.277527,52.52,19.75,28.98,7.78,4.20,3.13,11.67,6.78,1.97,1.43,8.76,2.85,3.18,3.46,2.00,2.12,3.89
RAP1604,,conanti,conanti D,Alabama,Winston,34.176296,-87.277527,46.47,17.12,25.54,6.97,4.32,3.35,9.41,5.12,3.17,1.76,7.21,2.81,2.43,2.20,1.46,1.61,2.90
RAP1605,,conanti,conanti D,Alabama,Winston,34.176296,-87.277527,50.26,10.90,27.20,8.11,4.26,3.14,10.44,6.27,2.28,1.54,7.76,2.90,2.61,3.07,1.90,1.87,3.51
RAP1606,,conanti,conanti D,Alabama,Winston,34.176296,-87.277527,64.53,34.16,34.93,10.31,5.35,3.58,13.93,7.79,2.26,0.85,9.79,3.24,3.57,3.96,2.38,3.03,4.44
RAP1607,,conanti,conanti D,Alabama,Winston,34.176296,-87.277527,50.49,41.96,27.16,8.24,4.38,3.21,10.23,6.63,3.19,2.10,7.89,2.86,2.55,2.39,1.45,2.01,3.22
RAP1608,,conanti,conanti D,Alabama,Blount,33.930138,-86.792765,44.72,34.56,23.94,7.73,3.74,3.12,9.93,5.57,2.71,1.60,7.33,2.61,2.57,2.52,1.69,1.91,3.20
RAP1609,,conanti,conanti D,Alabama,Blount,33.930138,-86.792765,51.23,29.86,26.27,8.38,4.11,2.86,11.22,6.72,3.11,1.86,8.19,2.82,3.11,3.26,2.00,2.41,3.67
RAP1610,,conanti,conanti D,Alabama,Clay,33.464205,-85.855409,27.03,19.07,14.16,4.04,2.31,1.79,6.29,2.95,1.98,1.00,4.77,1.98,1.81,1.81,0.99,1.17,2.44
RAP1611,,conanti,conanti D,Alabama,Talladega,33.504951,-85.901801,51.75,39.67,27.18,9.01,4.72,3.09,11.85,7.17,3.23,1.90,8.58,2.88,3.21,3.05,1.67,1.95,3.89
RAP2185,,conanti,conanti D,Georgia,Haralson,33.81199,-85.13778,32.07,33.46,16.79,5.16,2.82,2.59,7.53,3.90,2.16,1.46,5.45,1.74,2.52,2.32,1.17,1.46,2.85
RAP2186,,conanti,conanti D,Georgia,Haralson,33.81199,-85.13778,35.90,32.98,18.94,5.51,3.10,2.37,7.84,3.96,2.41,1.57,5.80,2.18,2.39,1.82,1.09,1.27,2.53
RAP2187,,conanti,conanti D,Georgia,Haralson,33.81199,-85.13778,47.56,47.86,25.82,7.54,3.88,3.75,10.63,6.27,2.85,1.44,7.78,2.66,3.39,2.42,1.17,2.05,3.36
RAP2188,,conanti,conanti D,Georgia,Haralson,33.81199,-85.13778,54.79,53.60,31.14,8.89,4.55,3.59,10.99,8.39,2.87,1.86,8.42,2.74,2.70,3.01,2.02,2.18,3.86
RAP2189,,conanti,conanti D,Georgia,Haralson,33.81199,-85.13778,54.60,55.53,30.89,9.05,3.99,3.53,10.91,7.98,2.83,1.65,8.47,2.86,3.04,2.84,1.79,1.98,3.51
RAP2232,,conanti,conanti D,Alabama,Lamar,33.974124,-87.980904,50.40,41.15,27.43,7.00,4.71,2.83,10.71,5.59,3.26,1.87,7.66,2.62,3.05,2.84,1.67,2.10,3.70
RAP2233,,conanti,conanti D,Alabama,Lamar,33.974124,-87.980904,59.24,46.12,31.85,9.24,5.41,3.00,13.77,6.97,3.94,1.98,9.55,3.19,3.80,3.86,2.25,2.51,4.47
RAP2401,,conanti,conanti D,Alabama,Dekalb,34.243557,-85.96671,47.63,41.19,25.45,7.07,5.14,4.26,11.02,6.04,3.59,1.85,7.96,2.53,2.77,3.07,2.07,2.17,3.75
RAP2402,,conanti,conanti D,Alabama,Dekalb,34.243557,-85.96671,52.82,41.70,30.68,8.11,4.43,3.61,11.50,6.90,3.38,1.76,8.37,2.98,3.00,2.51,1.30,2.07,3.50
RAP2403,,conanti,conanti D,Alabama,Dekalb,34.243557,-85.96671,51.15,54.07,28.58,8.61,4.15,3.29,10.98,7.13,3.62,1.99,8.22,2.64,2.91,2.77,1.43,1.83,3.95
RAP2404,,conanti,conanti D,Alabama,Dekalb,34.243557,-85.96671,61.26,61.22,32.72,9.88,5.09,4.04,14.20,8.27,3.95,2.63,10.01,3.11,3.58,3.96,2.52,2.95,4.60
RAP2437,,conanti,conanti D,Tennessee,Bradley,35.148908,-85.012456,21.87,21.36,11.83,3.13,2.29,1.78,5.36,2.34,1.42,0.89,3.77,1.46,1.55,1.28,0.67,1.01,1.93
RAP2438,,conanti,conanti D,Tennessee,Bradley,35.148908,-85.012456,21.91,22.54,11.96,3.29,2.08,2.00,5.39,2.25,1.46,0.94,3.94,1.75,1.46,1.26,0.57,0.90,1.84
RAP2439,,conanti,conanti D,Tennessee,Bradley,35.148908,-85.012456,45.88,52.29,24.94,6.85,4.41,3.43,10.30,5.95,3.31,1.78,7.38,2.61,2.82,2.85,1.75,1.93,3.53
RAP2440,,conanti,conanti D,Tennessee,Bradley,35.148908,-85.012456,61.38,54.03,34.53,9.96,5.19,4.26,13.66,9.42,3.26,1.94,11.08,2.90,3.85,3.39,1.93,2.32,4.55
RAP2441,,conanti,conanti D,Tennessee,Polk,35.119751,-84.563763,40.18,45.10,20.95,6.24,3.71,2.98,9.80,5.39,2.58,1.62,6.61,2.37,2.54,2.88,1.74,1.81,3.60
RAP2442,,conanti,conanti D,Tennessee,Polk,35.119751,-84.563763,59.49,54.09,33.09,9.12,5.86,3.69,13.58,7.31,4.03,2.46,9.63,2.90,3.28,4.20,2.68,2.60,4.53
RAP2443,,conanti,conanti D,Tennessee,Polk,35.119751,-84.563763,55.94,64.02,31.20,8.53,5.05,3.97,12.16,7.16,3.91,2.33,9.13,2.94,3.47,4.13,2.63,2.53,4.36
RAP2444,,conanti,conanti D,Tennessee,Polk,35.119751,-84.563763,60.51,58.45,32.11,9.55,5.59,3.65,13.83,8.80,4.18,2.48,9.74,3.09,4.02,4.53,3.07,2.67,4.78
RAP2445,,conanti,conanti D,Tennessee,Monroe,35.32205,-84.11603,42.80,50.71,23.73,6.33,4.07,3.35,9.40,5.36,2.72,1.69,6.59,2.35,2.56,2.69,1.48,1.49,3.21
RAP2446,,conanti,conanti D,Tennessee,Monroe,35.32205,-84.11603,54.56,27.64,31.85,7.74,4.51,3.86,11.56,6.71,3.78,1.98,8.19,2.53,2.90,3.58,2.34,2.14,3.77
RAP2447,,conanti,conanti D,Tennessee,Monroe,35.32205,-84.11603,61.83,48.81,34.62,9.93,4.85,3.54,13.21,8.72,3.96,2.61,10.43,2.98,3.89,2.92,1.43,2.92,4.65
RAP2470,,conanti,conanti D,Tennessee,Monroe,35.462301,-84.032117,56.02,43.35,30.32,8.19,5.67,4.07,12.09,6.81,3.45,1.92,8.98,2.75,3.71,4.38,2.68,2.46,4.64
RAP2471,,conanti,conanti D,Tennessee,Monroe,35.462301,-84.032117,52.24,31.66,27.58,8.16,4.72,3.72,12.29,7.04,3.55,1.93,8.46,2.61,3.28,4.33,2.70,2.46,4.22
RAP2472,,conanti,conanti D,Tennessee,Monroe,35.536774,-84.041934,30.46,34.59,16.50,4.53,3.30,2.60,6.90,3.14,2.10,1.06,4.95,2.19,1.88,1.74,0.97,1.32,2.21
RAP2473,,conanti,conanti D,Tennessee,Monroe,35.536774,-84.041934,48.07,48.09,26.66,7.57,4.39,3.23,9.99,6.05,3.28,1.55,7.27,2.60,2.79,2.63,1.60,1.60,3.43
RAP2474,,conanti,conanti D,Tennessee,Monroe,35.536774,-84.041934,51.97,55.13,28.37,8.49,5.29,4.02,11.37,6.80,3.58,1.50,8.73,3.42,3.21,3.40,2.08,2.28,3.75
RAP2717,,conanti,conanti D,Georgia,Murray,34.695386,-84.704703,26.72,23.82,14.39,4.48,2.44,2.23,6.73,2.70,1.96,1.29,4.98,1.73,1.90,1.71,0.93,1.12,2.50
RAP2718,,conanti,conanti D,Georgia,Murray,34.695386,-84.704703,50.95,51.08,26.91,8.12,4.03,4.12,12.39,5.60,3.40,1.99,8.31,3.23,3.26,3.66,2.34,2.32,4.05
RAP2719,,conanti,conanti D,Georgia,Murray,34.695386,-84.704703,58.29,54.68,31.27,9.53,3.79,4.16,13.23,6.91,3.94,2.17,9.16,3.20,3.15,3.45,2.13,2.37,4.61
RAP2720,,conanti,conanti D,Georgia,Murray,34.94083,-84.66549,24.54,23.87,12.68,3.81,1.96,2.05,6.28,2.44,1.74,0.90,4.38,1.62,1.53,1.62,0.88,1.13,2.10
RAP2721,,conanti,conanti D,Georgia,Murray,34.94083,-84.66549,41.19,44.59,22.46,6.02,3.86,3.50,9.64,4.37,2.94,1.64,6.60,2.07,2.44,2.79,1.74,1.44,3.24
RAP2722,,conanti,conanti D,Georgia,Murray,34.94083,-84.66549,41.94,43.77,22.77,7.07,4.42,3.67,9.38,5.50,3.13,1.79,7.04,2.46,2.40,2.69,1.84,1.79,3.44
RAP2723,,conanti,conanti D,Georgia,Murray,34.94083,-84.66549,43.26,47.79,23.67,6.78,4.03,3.55,10.02,5.04,3.29,1.85,7.09,2.40,2.53,2.94,1.90,1.96,3.37
RAP2731,,conanti,conanti D,Georgia,Bartow,34.2523092,-84.6878894,22.14,17.08,11.52,3.31,1.89,1.99,5.72,1.77,1.39,0.96,4.14,1.62,1.54,1.55,0.85,1.12,2.36
RAP2732,,conanti,conanti D,Georgia,Bartow,34.2523092,-84.6878894,49.38,7.80,26.49,7.06,4.16,3.10,11.83,4.58,2.97,1.85,7.70,2.87,2.83,3.21,2.16,1.94,4.00
RAP2733,,conanti,conanti D,Georgia,Bartow,34.2523092,-84.6878894,49.62,44.11,26.14,7.57,4.25,3.40,11.91,5.47,3.00,1.78,8.06,2.68,2.86,3.24,2.10,2.02,4.10
RAP2765,,conanti,conanti D,Georgia,Cherokee,34.339238,-84.362206,36.13,38.85,18.76,5.26,3.22,3.05,8.53,4.15,2.85,1.55,5.93,2.47,2.11,2.12,1.31,1.47,2.58
RAP2766,,conanti,conanti D,Georgia,Cherokee,34.339238,-84.362206,49.54,12.04,28.45,7.33,3.52,3.66,10.69,5.70,3.36,2.04,7.29,2.38,2.75,3.32,2.11,2.24,3.78
RAP2767,,conanti,conanti D,Georgia,Fulton,34.173373,-84.337726,22.15,21.21,11.62,3.10,1.76,1.98,5.46,1.96,1.48,0.82,3.68,1.61,1.41,1.31,0.69,0.93,1.86
RAP2768,,conanti,conanti D,Georgia,Fulton,34.173373,-84.337726,46.71,49.26,25.41,6.62,4.28,3.70,10.09,5.16,3.42,1.95,7.13,2.76,2.82,2.90,1.71,1.73,3.32
RAP2769,,conanti,conanti D,Georgia,Fulton,34.173373,-84.337726,51.30,59.15,27.24,8.15,3.92,3.90,11.98,6.27,3.38,1.88,8.22,2.44,3.19,3.86,2.42,2.01,4.40
RAP2770,,conanti,conanti D,Georgia,Fulton,34.173373,-84.337726,58.34,54.07,31.61,9.72,4.07,3.45,13.87,7.39,3.20,1.89,9.39,2.91,3.64,3.99,2.52,2.24,4.53
RAP1511,,catahoula,conanti E,Texas,Newton,30.545113,-93.787667,45.88,32.28,24.38,6.10,3.43,3.59,10.80,4.24,2.46,1.26,6.83,2.52,2.70,2.59,1.73,2.04,3.01
RAP1512,,catahoula,conanti E,Texas,Newton,30.545113,-93.787668,53.56,33.25,30.74,7.26,3.81,3.55,11.41,5.63,3.11,1.74,7.62,2.53,2.70,2.54,1.79,1.86,3.06
RAP1515,,catahoula,conanti E,Louisiana,Vernon,30.931945,-93.467222,32.10,22.04,16.47,3.59,1.79,1.71,7.55,2.96,2.09,0.86,4.92,2.02,1.76,1.69,0.89,1.34,2.08
RAP1516,MNHN-RA 2021.0151,catahoula,conanti E,Louisiana,Vernon,30.931945,-93.467222,46.59,31.52,25.61,6.67,4.18,3.50,10.06,4.87,2.82,1.51,6.95,2.55,2.29,2.19,1.42,1.96,2.87
RAP1517,LSUMZ 129465,catahoula,conanti E,Louisiana,Vernon,30.931945,-93.467222,54.77,38.47,32.10,7.42,4.59,3.40,11.41,5.51,2.76,1.28,7.60,2.47,2.61,2.48,1.56,2.07,3.19
RAP1520,,catahoula,conanti E,Texas,Newton,31.037458,-93.854325,38.90,24.74,21.06,4.71,3.45,2.99,9.10,3.43,2.62,1.19,5.80,2.24,2.04,2.16,1.35,1.45,2.48
RAP1524,,catahoula,conanti E,Texas,Tyler,30.722079,-94.153523,50.84,38.19,28.06,6.59,4.42,3.07,10.53,4.64,2.83,1.46,7.10,2.62,2.28,2.51,1.73,1.90,3.13
RAP1526,,catahoula,conanti E,Texas,Jasper,31.054673,-93.907847,41.02,27.48,22.81,5.66,3.66,2.94,9.07,3.84,2.22,0.97,6.26,2.57,2.27,2.21,1.36,1.66,2.80
RAP1527,,catahoula,conanti E,Texas,Jasper,31.055343,-93.906532,20.36,9.18,10.62,2.62,1.83,1.41,5.11,1.55,1.04,0.47,3.62,1.62,1.27,1.23,0.70,0.94,1.70
RAP1533,,catahoula,conanti E,Louisiana,Grant,31.5674,-92.5112,18.93,8.64,9.63,2.59,1.73,0.63,4.38,1.88,1.18,0.81,3.41,1.35,1.13,1.02,0.60,0.76,1.34
RAP1534,,catahoula,conanti E,Louisiana,Grant,31.5674,-92.5112,26.37,14.86,14.27,3.74,2.78,1.98,6.05,2.27,1.59,0.59,4.50,1.87,1.56,1.41,0.90,1.19,1.92
RAP1535,,catahoula,conanti E,Louisiana,Grant,31.5674,-92.5112,47.32,28.04,27.52,7.46,3.67,3.56,9.93,3.79,2.40,1.36,6.92,2.66,2.30,2.17,1.36,2.02,3.09
RAP1536,,catahoula,conanti E,Louisiana,Union,32.75053,-92.276144,48.23,40.60,26.61,7.89,4.03,3.47,10.22,5.96,2.41,1.33,7.78,2.76,2.88,2.51,1.49,2.16,3.50
RAP1537,,catahoula,conanti E,Louisiana,Union,32.75053,-92.276144,49.66,35.53,27.46,7.64,3.70,3.43,10.69,5.41,2.69,1.65,7.83,2.65,2.84,2.90,1.78,2.37,3.68
RAP1538,,catahoula,conanti E,Louisiana,Union,32.75053,-92.276144,52.20,40.08,28.22,7.88,3.78,3.48,10.50,5.59,2.92,1.71,7.59,2.86,2.64,2.70,1.76,2.01,3.34
RAP1539,BMNH 2021.7573,catahoula,conanti E,Louisiana,Union,32.75053,-92.276144,43.96,27.59,23.58,6.47,3.79,2.81,9.89,4.95,2.92,1.46,6.97,2.37,2.44,2.37,1.59,1.77,3.26
RAP1580,,catahoula,conanti E,Louisiana,Rapides,31.211422,-92.551898,54.38,23.87,29.68,7.99,4.24,3.81,12.02,5.44,2.98,1.28,8.58,2.90,2.85,3.13,2.20,2.41,3.65
RAP1581,,catahoula,conanti E,Louisiana,Rapides,31.211422,-92.551898,47.00,24.92,26.72,6.15,3.74,3.31,10.31,4.57,2.56,1.34,7.07,2.46,2.34,2.22,1.45,1.70,2.75
RAP1582,,catahoula,conanti E,Louisiana,Rapides,31.211422,-92.551898,44.00,31.19,23.99,6.17,3.76,2.81,9.41,4.47,2.70,1.17,6.64,2.30,2.20,2.69,1.81,1.70,3.29
RAP1585,,catahoula,conanti E,Louisiana,Rapides,31.203847,-92.577216,34.57,25.03,18.97,4.60,2.71,2.80,8.24,3.46,2.00,1.03,5.50,2.10,1.89,2.07,1.27,1.45,2.70
RAP1586,LSUMZ 129466,catahoula,conanti E,Louisiana,Rapides,31.203847,-92.577216,39.79,31.17,21.54,5.46,3.40,2.74,8.86,3.86,2.50,1.16,6.24,2.35,2.07,2.13,1.20,1.67,2.85
RAP1587,AMNH A-193895,catahoula,conanti E,Louisiana,Rapides,31.203847,-92.577216,49.64,39.73,26.80,7.11,3.84,2.97,11.08,5.03,2.71,1.55,7.58,2.63,2.84,2.42,1.38,2.11,3.44
RAP1588,,catahoula,conanti E,Louisiana,Rapides,31.203635,-92.600781,31.24,8.90,16.74,4.20,2.89,2.18,7.13,2.87,1.89,0.96,4.95,1.89,1.62,1.69,1.12,1.29,2.23
RAP1589,,catahoula,conanti E,Louisiana,Rapides,31.203635,-92.600781,42.22,14.82,23.06,5.63,3.45,2.81,9.07,4.39,2.73,1.54,6.50,2.22,2.21,2.46,1.75,1.64,2.72
RAP1590,,catahoula,conanti E,Louisiana,Rapides,31.203635,-92.600781,43.07,29.42,23.76,5.40,3.45,3.31,9.34,3.76,2.53,1.41,6.36,2.53,2.31,2.32,1.46,1.85,2.83
RAP1592,,catahoula,conanti E,Louisiana,Catahoula,31.86817,-91.751795,58.01,40.21,32.80,8.93,5.03,4.46,12.57,6.10,3.42,1.57,9.12,3.35,3.17,3.48,2.18,2.68,4.36
