Specimen,Museum,Species,Clade,State,County,LatDD,LongDD,SVL,TL,AG,CW,FL,HL,SG,TW,TO,FI,HW,ED,IN,ES,ON,IO,IC
RAP1892,,carolinensis,carolinensis,North Carolina,Buncombe,35.770847,-82.36237,30.18,34.99,15.81,4.43,3.17,2.27,7.13,2.97,2.11,1.25,5.23,1.95,1.92,1.72,1.23,1.38,2.35
RAP1900,,carolinensis,carolinensis,North Carolina,Buncombe,35.8036,-82.35425,39.44,36.39,21.19,5.17,3.86,3.10,8.67,3.48,2.47,1.44,5.95,2.22,2.11,1.97,1.38,1.49,2.79
RAP2541,,carolinensis,carolinensis,North Carolina,Caldwell,36.05656,-81.52494,24.93,27.72,12.53,3.33,1.83,2.38,5.74,2.47,1.62,0.77,4.03,1.68,1.43,1.77,1.07,1.17,2.19
RAP2542,,carolinensis,carolinensis,North Carolina,Caldwell,36.05656,-81.52494,27.50,32.44,14.56,3.82,2.11,2.32,6.34,2.86,1.70,0.93,4.34,1.63,1.70,1.94,1.08,1.28,2.42
RAP2543,,carolinensis,carolinensis,North Carolina,Caldwell,36.05656,-81.52494,29.31,35.32,16.01,4.04,2.43,2.33,6.64,2.72,1.67,1.03,4.26,1.65,1.60,1.76,1.03,1.19,2.46
RAP2680,,carolinensis,carolinensis,North Carolina,Madison,35.740087,-82.948837,45.16,32.40,24.06,6.29,4.44,3.74,10.36,4.72,3.06,1.90,6.78,2.29,2.85,2.89,1.68,2.15,3.63
RAP2681,,carolinensis,carolinensis,North Carolina,Madison,35.740087,-82.948837,47.27,31.47,25.30,6.88,3.61,3.01,10.48,4.60,2.69,1.51,6.96,2.19,2.92,3.10,1.83,2.01,3.83
RAP2691,,carolinensis,carolinensis,North Carolina,Madison,35.860552,-82.908509,22.41,11.51,12.18,3.00,2.15,2.14,5.64,1.91,1.47,0.75,3.67,1.73,1.51,1.32,0.69,1.09,1.77
RAP2692,,carolinensis,carolinensis,North Carolina,Madison,35.860552,-82.908509,23.95,20.06,12.44,3.20,1.97,2.24,5.84,2.05,1.78,0.88,3.86,1.55,1.44,1.40,0.79,1.17,2.09
RAP2693,,carolinensis,carolinensis,North Carolina,Madison,35.860552,-82.908509,33.75,19.97,18.24,4.59,2.91,2.54,7.71,3.23,2.19,1.40,5.19,2.17,2.03,1.89,1.07,1.67,2.60
RAP2699,,carolinensis,carolinensis,North Carolina,Madison,35.907434,-82.790798,35.91,42.34,19.71,5.07,3.44,2.77,8.16,3.49,2.15,1.27,5.07,1.92,1.97,2.03,1.31,1.64,2.52
RAP2700,,carolinensis,carolinensis,North Carolina,Madison,35.907434,-82.790798,42.11,51.27,22.63,5.97,3.74,3.49,9.61,4.86,2.53,1.40,6.47,2.30,2.73,2.81,1.52,1.99,3.57
RAP2701,,carolinensis,carolinensis,North Carolina,Madison,35.99544,-82.70445,24.96,25.90,13.08,3.40,2.40,2.22,6.09,2.23,1.61,0.86,3.86,1.40,1.54,1.70,1.02,1.18,2.15
RAP2702,,carolinensis,carolinensis,North Carolina,Madison,35.99544,-82.70445,24.11,25.94,13.02,3.19,2.18,2.06,6.05,2.43,1.82,1.02,3.76,1.51,1.45,1.36,0.79,1.17,1.99
RAP2703,,carolinensis,carolinensis,North Carolina,Madison,35.99544,-82.70445,31.71,31.36,17.84,4.21,2.80,1.98,6.85,3.15,2.06,0.94,4.54,1.75,1.80,2.27,1.39,1.39,2.76
RAP2704,,carolinensis,carolinensis,North Carolina,Yancey,36.038047,-82.39037,20.28,22.38,10.82,2.62,1.94,1.99,5.24,1.71,1.28,0.70,3.28,1.45,1.15,1.55,1.01,1.07,1.96
RAP2705,,carolinensis,carolinensis,North Carolina,Yancey,36.038047,-82.39037,32.98,26.58,17.28,4.46,3.02,2.62,7.72,3.20,2.17,1.10,5.05,2.03,1.94,2.15,1.26,1.62,2.69
