,Academ,CACTA,CR1,Chapaev,Copia,Cyrypton,DIRS,Dada,EnSpm,Ginger,Gypsy,Helitron,IS3EU,Jockey,Kolobok,L1,L2,MITE,MULE,Maverick,Merlin,Mutator,P,PIF-Harbinger,Penelope,PiggyBac,Tc1-mariner,hAT,tRNA
D.kanawha,0.03475883397713558,1.0516775704609636,0.0,0.002118833882685708,0.8319397005363052,0.16591440749099853,8.136574916899036,0.0,0.028268742233271058,0.0,56.45011205238231,0.25803421070393273,0.0016184805843638874,0.13585548097673508,0.01683684357351145,3.627224935185544,9.507473271858919,0.2386472207482076,0.009134687992086128,0.6467883192490425,0.0,2.2977559359896063,0.008037863257344758,4.818948044469743,0.010334047296039893,0.07639800703852978,1.3349135976539783,10.222369184160472,0.0882648113992416
D.mavrokoilius,0.03852670109239595,0.9685210025640236,0.00010517460303498469,0.00015493463027734303,0.8999046894427694,0.16334872417677626,8.193397749112707,0.0,0.034475908167618405,0.0,55.51846304344138,0.29447695111768435,0.002140183797959211,0.1013724845897845,0.00812634020654181,3.9621216871413676,9.992279405066098,0.2428879915609004,0.01049597301900745,0.6165262349062821,0.0,2.341661645636982,0.0072758961045815045,4.776306813291205,0.009413943739755059,0.06037901810649274,1.3225262763729715,10.340108278321907,0.09500294978949372
D.perlapsus,0.03773578228554289,0.9660110706427246,0.0,0.0,0.7445718882275844,0.18745506431088788,8.117022260181777,0.0,0.04012535834305064,0.0,54.80108486623572,0.18933607396733673,0.0017432864060730404,0.10997033271621624,0.022873191328865977,6.510003302419741,9.885217805896804,0.23086714142606551,0.012849165054800904,0.47482601686483067,0.0,2.2902577897975775,0.006620423953921726,4.667112050369297,0.005213032129357412,0.04061140233286385,1.256255442778522,9.343454147296676,0.05878310503376836
D.valtos,0.021881008858721206,0.7448609892799023,0.00019860219607093014,0.0005919964741394871,0.6665206384883909,0.13130629438334165,6.858394408856676,0.0,0.033393625729401244,0.0,61.13848992274895,0.13142536044813238,0.0025592059966118535,0.0845690538389086,0.017215166977767045,5.35002013591708,7.88278941789919,0.21347176157231984,0.01208889662426715,0.6562772658683801,0.0,2.1235812476172575,0.007576292768698654,4.267079747486643,0.0050323272283800125,0.03878981885178172,0.9725947222249849,8.577382143417225,0.06190994824678
D.anicetus,0.045460066100562455,0.9678397048014397,1.4666128791281957e-05,0.0,0.7867123475868897,0.20052037931526207,8.002376515508752,4.839822501123045e-05,0.040598911048470264,0.0,53.73284589912093,0.20685841353663637,0.0020848568719025085,0.09603101142799954,0.020126328540276225,6.112496092909958,10.024428224103024,0.24646776087702574,0.01582395299513189,0.2965863227954736,0.0,2.3939751350932457,0.008234897987861261,5.079987693144683,0.006832949403858263,0.04217845311929134,1.5483133494573464,9.860828624063823,0.26232904583635364
D.bairdi,0.02481259127356036,0.8439811895008155,0.0,8.004563457862676e-05,0.6115918417144647,0.13669473182276348,7.217463246681952,0.0,0.04200960019241966,0.0,59.794285853954484,0.14000017382705218,0.0033422941051111507,0.09312406228154363,0.01757581979939133,5.280708386588608,8.632444167440019,0.22874936528238815,0.011255325559307685,0.5993937963422347,0.0,2.068062484814063,0.006243559497132887,4.4074566981114955,0.003876051318646658,0.04444937677641484,1.1188692653632293,8.543314729308014,0.13021534281030253
D.tilleyi,0.041001777349245594,1.0503847123856138,0.0,0.0002316432721521478,0.8293298725671071,0.204216630028335,7.870735357181452,0.0,0.038363326375666626,0.0,53.45388762771851,0.21121616566358703,0.0012335069826267257,0.10210470788507113,0.016278121017754072,6.209348228945392,10.360777628091101,0.2710112167732353,0.015398637359894418,0.25304063078346584,0.0,2.5822755125571075,0.006865481601197942,5.058841155657738,0.009601652981205758,0.041199316855395726,1.3176126409942488,9.977882055026726,0.07716239394617438
D.campi,0.031756989867783345,1.0013203618232989,0.0,0.0,0.7235045852599111,0.15981163709350624,7.899349925722624,0.0,0.03375547998726102,0.0,55.453850507475345,0.16676470580893987,0.0008732017276105874,0.0894834569526297,0.022325528630458124,5.870473847895786,9.456809323672951,0.20778574268516037,0.011175934050697604,0.4752236297963475,0.0,2.614542764098253,0.005785857814849938,4.826882220696184,0.005290510277645701,0.04439648834285416,1.3626772176317252,9.3572597759267,0.17890030676147609
D.catahoula,0.02877569578327342,0.9388997480120377,6.030786295605841e-06,0.0,0.6715322085573807,0.15417798976947597,7.24224555400316,0.0,0.03420916620066781,0.0,58.53656687797979,0.1636720556084384,0.001777071695105188,0.07387927640074332,0.018816053242290225,4.826666638147748,8.94257951402096,0.3154934821285381,0.014914804596399423,0.3961338060365485,0.0,2.8041849604203115,0.01057223641114351,4.467524871143606,0.008021615860521946,0.0698547316794757,1.1110513571870444,9.047564916047072,0.12087933828197142
D.lycos,0.03305765433919914,0.9521115548731692,0.0005386157089669024,0.0,0.7342827755959987,0.17032079353895607,7.516589712731713,0.0,0.044336591165348396,0.0,55.76062771936255,0.17794251521876392,0.002031493617540774,0.09790996118525337,0.01717263817347348,5.57562698166574,9.589862319687068,0.22334146036985025,0.01274508802024738,0.3987595518282301,0.0,2.4137972811147717,0.00889788938135179,4.902893854627006,0.006197569608457346,0.0462068028851907,1.4181157836397629,9.655966832352723,0.2406665593086583
