id,decision,decision_source,species,rank,review_key,filename,tile_name
"marmoratus-0113","keep","implicit_default","D. marmoratus","7","Process_334_raw_green.ome.tiff::tile_y028672_x036864.tiff::299","Process_334_raw_green.ome.tiff","tile_y028672_x036864.tiff"
"mavrokoilius-0114","keep","implicit_default","D. mavrokoilius","1","Process_340_raw_green.ome.tiff::tile_y036864_x040960.tiff::6","Process_340_raw_green.ome.tiff","tile_y036864_x040960.tiff"
"mavrokoilius-0115","keep","implicit_default","D. mavrokoilius","2","Process_340_raw_green.ome.tiff::tile_y036864_x040960.tiff::41","Process_340_raw_green.ome.tiff","tile_y036864_x040960.tiff"
"mavrokoilius-0116","keep","implicit_default","D. mavrokoilius","3","Process_317_raw_green.ome.tiff::tile_y053248_x106496.tiff::2","Process_317_raw_green.ome.tiff","tile_y053248_x106496.tiff"
"mavrokoilius-0117","keep","implicit_default","D. mavrokoilius","4","Process_340_raw_green.ome.tiff::tile_y028672_x020480.tiff::34","Process_340_raw_green.ome.tiff","tile_y028672_x020480.tiff"
"mavrokoilius-0118","keep","implicit_default","D. mavrokoilius","5","Process_340_raw_green.ome.tiff::tile_y028672_x020480.tiff::53","Process_340_raw_green.ome.tiff","tile_y028672_x020480.tiff"
"mavrokoilius-0119","keep","implicit_default","D. mavrokoilius","6","Process_340_raw_green.ome.tiff::tile_y036864_x040960.tiff::77","Process_340_raw_green.ome.tiff","tile_y036864_x040960.tiff"
"mavrokoilius-0120","keep","implicit_default","D. mavrokoilius","7","Process_317_raw_green.ome.tiff::tile_y053248_x106496.tiff::35","Process_317_raw_green.ome.tiff","tile_y053248_x106496.tiff"
"mavrokoilius-0121","keep","implicit_default","D. mavrokoilius","8","Process_340_raw_green.ome.tiff::tile_y028672_x098304.tiff::99","Process_340_raw_green.ome.tiff","tile_y028672_x098304.tiff"
"mavrokoilius-0122","keep","implicit_default","D. mavrokoilius","9","Process_340_raw_green.ome.tiff::tile_y036864_x016384.tiff::11","Process_340_raw_green.ome.tiff","tile_y036864_x016384.tiff"
"mavrokoilius-0123","keep","implicit_default","D. mavrokoilius","10","Process_340_raw_green.ome.tiff::tile_y028672_x020480.tiff::8","Process_340_raw_green.ome.tiff","tile_y028672_x020480.tiff"
"mavrokoilius-0124","keep","implicit_default","D. mavrokoilius","11","Process_317_raw_green.ome.tiff::tile_y053248_x114688.tiff::72","Process_317_raw_green.ome.tiff","tile_y053248_x114688.tiff"
"monticola-0125","keep","implicit_default","D. monticola","1","Process_313_raw_green.ome.tiff::tile_y032768_x053248.tiff::241","Process_313_raw_green.ome.tiff","tile_y032768_x053248.tiff"
"monticola-0126","keep","implicit_default","D. monticola","2","Process_312_raw_green.ome.tiff::tile_y040960_x028672.tiff::67","Process_312_raw_green.ome.tiff","tile_y040960_x028672.tiff"
"monticola-0127","keep","implicit_default","D. monticola","3","Process_313_raw_green.ome.tiff::tile_y032768_x053248.tiff::257","Process_313_raw_green.ome.tiff","tile_y032768_x053248.tiff"
"monticola-0128","keep","implicit_default","D. monticola","4","Process_313_raw_green.ome.tiff::tile_y012288_x049152.tiff::110","Process_313_raw_green.ome.tiff","tile_y012288_x049152.tiff"
"monticola-0129","keep","implicit_default","D. monticola","5","Process_312_raw_green.ome.tiff::tile_y008192_x004096.tiff::83","Process_312_raw_green.ome.tiff","tile_y008192_x004096.tiff"
"monticola-0130","keep","implicit_default","D. monticola","6","Process_312_raw_green.ome.tiff::tile_y040960_x028672.tiff::143","Process_312_raw_green.ome.tiff","tile_y040960_x028672.tiff"
"monticola-0131","keep","implicit_default","D. monticola","7","Process_313_raw_green.ome.tiff::tile_y012288_x049152.tiff::109","Process_313_raw_green.ome.tiff","tile_y012288_x049152.tiff"
"monticola-0132","problem","explicit","D. monticola","8","Process_312_raw_green.ome.tiff::tile_y040960_x028672.tiff::203","Process_312_raw_green.ome.tiff","tile_y040960_x028672.tiff"
"monticola-0133","problem","explicit","D. monticola","9","Process_368_raw_green.ome.tiff::tile_y020480_x040960.tiff::23","Process_368_raw_green.ome.tiff","tile_y020480_x040960.tiff"
"monticola-0134","problem","explicit","D. monticola","10","Process_312_raw_green.ome.tiff::tile_y040960_x028672.tiff::103","Process_312_raw_green.ome.tiff","tile_y040960_x028672.tiff"
"monticola-0135","keep","implicit_default","D. monticola","11","Process_313_raw_green.ome.tiff::tile_y012288_x049152.tiff::70","Process_313_raw_green.ome.tiff","tile_y012288_x049152.tiff"
"monticola-0136","keep","implicit_default","D. monticola","12","Process_313_raw_green.ome.tiff::tile_y012288_x049152.tiff::12","Process_313_raw_green.ome.tiff","tile_y012288_x049152.tiff"
"monticola-0137","problem","explicit","D. monticola","13","Process_312_raw_green.ome.tiff::tile_y040960_x028672.tiff::207","Process_312_raw_green.ome.tiff","tile_y040960_x028672.tiff"
"monticola-0138","keep","implicit_default","D. monticola","14","Process_313_raw_green.ome.tiff::tile_y032768_x053248.tiff::161","Process_313_raw_green.ome.tiff","tile_y032768_x053248.tiff"
"monticola-0139","keep","implicit_default","D. monticola","15","Process_313_raw_green.ome.tiff::tile_y032768_x053248.tiff::135","Process_313_raw_green.ome.tiff","tile_y032768_x053248.tiff"
"monticola-0140","problem","explicit","D. monticola","16","Process_312_raw_green.ome.tiff::tile_y040960_x028672.tiff::220","Process_312_raw_green.ome.tiff","tile_y040960_x028672.tiff"
"monticola-0141","keep","implicit_default","D. monticola","17","Process_313_raw_green.ome.tiff::tile_y032768_x053248.tiff::242","Process_313_raw_green.ome.tiff","tile_y032768_x053248.tiff"
"ocoee-0142","keep","implicit_default","D. ocoee","1","Process_365_raw_green.ome.tiff::tile_y061440_x036864.tiff::99","Process_365_raw_green.ome.tiff","tile_y061440_x036864.tiff"
"ocoee-0143","problem","explicit","D. ocoee","2","Process_365_raw_green.ome.tiff::tile_y061440_x036864.tiff::41","Process_365_raw_green.ome.tiff","tile_y061440_x036864.tiff"
"ocoee-0144","keep","implicit_default","D. ocoee","3","Process_364_raw_green.ome.tiff::tile_y040960_x032768.tiff::174","Process_364_raw_green.ome.tiff","tile_y040960_x032768.tiff"
"ocoee-0145","keep","implicit_default","D. ocoee","4","Process_365_raw_green.ome.tiff::tile_y040960_x024576.tiff::172","Process_365_raw_green.ome.tiff","tile_y040960_x024576.tiff"
"ocoee-0146","keep","implicit_default","D. ocoee","5","Process_353_raw_green.ome.tiff::tile_y004096_x024576.tiff::21","Process_353_raw_green.ome.tiff","tile_y004096_x024576.tiff"
"ocoee-0147","keep","implicit_default","D. ocoee","6","Process_365_raw_green.ome.tiff::tile_y061440_x036864.tiff::122","Process_365_raw_green.ome.tiff","tile_y061440_x036864.tiff"
"ocoee-0148","keep","implicit_default","D. ocoee","7","Process_365_raw_green.ome.tiff::tile_y040960_x024576.tiff::18","Process_365_raw_green.ome.tiff","tile_y040960_x024576.tiff"
"ocoee-0149","keep","implicit_default","D. ocoee","8","Process_353_raw_green.ome.tiff::tile_y012288_x008192.tiff::18","Process_353_raw_green.ome.tiff","tile_y012288_x008192.tiff"
"ocoee-0150","keep","implicit_default","D. ocoee","9","Process_365_raw_green.ome.tiff::tile_y061440_x036864.tiff::49","Process_365_raw_green.ome.tiff","tile_y061440_x036864.tiff"
"ocoee-0151","keep","implicit_default","D. ocoee","10","Process_365_raw_green.ome.tiff::tile_y036864_x024576.tiff::24","Process_365_raw_green.ome.tiff","tile_y036864_x024576.tiff"
"ocoee-0152","keep","implicit_default","D. ocoee","11","Process_364_raw_green.ome.tiff::tile_y040960_x032768.tiff::21","Process_364_raw_green.ome.tiff","tile_y040960_x032768.tiff"
"ocoee-0153","problem","explicit","D. ocoee","12","Process_365_raw_green.ome.tiff::tile_y061440_x036864.tiff::100","Process_365_raw_green.ome.tiff","tile_y061440_x036864.tiff"
"perlapsus-0154","keep","implicit_default","D. perlapsus","1","Process_358_raw_green.ome.tiff::tile_y024576_x032768.tiff::7","Process_358_raw_green.ome.tiff","tile_y024576_x032768.tiff"
"perlapsus-0155","problem","explicit","D. perlapsus","2","Process_355_raw_green.ome.tiff::tile_y040960_x016384.tiff::53","Process_355_raw_green.ome.tiff","tile_y040960_x016384.tiff"
"perlapsus-0156","problem","explicit","D. perlapsus","3","Process_354_raw_green.ome.tiff::tile_y036864_x036864.tiff::13","Process_354_raw_green.ome.tiff","tile_y036864_x036864.tiff"
"perlapsus-0157","keep","implicit_default","D. perlapsus","4","Process_358_raw_green.ome.tiff::tile_y024576_x016384.tiff::27","Process_358_raw_green.ome.tiff","tile_y024576_x016384.tiff"
"perlapsus-0158","problem","explicit","D. perlapsus","5","Process_355_raw_green.ome.tiff::tile_y040960_x008192.tiff::87","Process_355_raw_green.ome.tiff","tile_y040960_x008192.tiff"
"perlapsus-0159","keep","implicit_default","D. perlapsus","6","Process_354_raw_green.ome.tiff::tile_y016384_x032768.tiff::14","Process_354_raw_green.ome.tiff","tile_y016384_x032768.tiff"
"perlapsus-0160","problem","explicit","D. perlapsus","7","Process_354_raw_green.ome.tiff::tile_y016384_x032768.tiff::17","Process_354_raw_green.ome.tiff","tile_y016384_x032768.tiff"
"perlapsus-0161","problem","explicit","D. perlapsus","8","Process_354_raw_green.ome.tiff::tile_y016384_x008192.tiff::42","Process_354_raw_green.ome.tiff","tile_y016384_x008192.tiff"
"perlapsus-0162","keep","implicit_default","D. perlapsus","9","Process_355_raw_green.ome.tiff::tile_y020480_x032768.tiff::10","Process_355_raw_green.ome.tiff","tile_y020480_x032768.tiff"
"perlapsus-0163","problem","explicit","D. perlapsus","10","Process_354_raw_green.ome.tiff::tile_y045056_x024576.tiff::11","Process_354_raw_green.ome.tiff","tile_y045056_x024576.tiff"
"perlapsus-0164","problem","explicit","D. perlapsus","11","Process_354_raw_green.ome.tiff::tile_y016384_x008192.tiff::24","Process_354_raw_green.ome.tiff","tile_y016384_x008192.tiff"
"perlapsus-0165","problem","explicit","D. perlapsus","12","Process_354_raw_green.ome.tiff::tile_y045056_x032768.tiff::14","Process_354_raw_green.ome.tiff","tile_y045056_x032768.tiff"
"tilleyi-0166","keep","implicit_default","D. tilleyi","1","Process_351_raw_green.ome.tiff::tile_y073728_x053248.tiff::34","Process_351_raw_green.ome.tiff","tile_y073728_x053248.tiff"
"tilleyi-0167","keep","implicit_default","D. tilleyi","2","Process_351_raw_green.ome.tiff::tile_y073728_x053248.tiff::70","Process_351_raw_green.ome.tiff","tile_y073728_x053248.tiff"
"tilleyi-0168","keep","implicit_default","D. tilleyi","3","Process_351_raw_green.ome.tiff::tile_y073728_x053248.tiff::113","Process_351_raw_green.ome.tiff","tile_y073728_x053248.tiff"
