id,decision,decision_source,species,rank,review_key,filename,tile_name
"intermedius-0404","keep","implicit_default","D. intermedius","4","Process_335_raw_green.ome.tiff::tile_y016384_x032768.tiff::36","Process_335_raw_green.ome.tiff","tile_y016384_x032768.tiff"
"intermedius-0436","keep","implicit_default","D. intermedius","36","Process_335_raw_green.ome.tiff::tile_y045056_x049152.tiff::14","Process_335_raw_green.ome.tiff","tile_y045056_x049152.tiff"
"intermedius-0425","keep","implicit_default","D. intermedius","25","Process_336_raw_green.ome.tiff::tile_y040960_x077824.tiff::132","Process_336_raw_green.ome.tiff","tile_y040960_x077824.tiff"
"intermedius-0414","keep","implicit_default","D. intermedius","14","Process_336_raw_green.ome.tiff::tile_y008192_x040960.tiff::104","Process_336_raw_green.ome.tiff","tile_y008192_x040960.tiff"
"intermedius-0427","keep","implicit_default","D. intermedius","27","Process_336_raw_green.ome.tiff::tile_y040960_x077824.tiff::179","Process_336_raw_green.ome.tiff","tile_y040960_x077824.tiff"
"intermedius-0409","keep","implicit_default","D. intermedius","9","Process_335_raw_green.ome.tiff::tile_y045056_x049152.tiff::113","Process_335_raw_green.ome.tiff","tile_y045056_x049152.tiff"
"intermedius-0428","problem","explicit","D. intermedius","28","Process_336_raw_green.ome.tiff::tile_y040960_x073728.tiff::135","Process_336_raw_green.ome.tiff","tile_y040960_x073728.tiff"
"intermedius-0437","keep","implicit_default","D. intermedius","37","Process_335_raw_green.ome.tiff::tile_y045056_x049152.tiff::30","Process_335_raw_green.ome.tiff","tile_y045056_x049152.tiff"
"intermedius-0426","keep","implicit_default","D. intermedius","26","Process_335_raw_green.ome.tiff::tile_y000000_x069632.tiff::18","Process_335_raw_green.ome.tiff","tile_y000000_x069632.tiff"
"intermedius-0415","keep","implicit_default","D. intermedius","15","Process_335_raw_green.ome.tiff::tile_y045056_x049152.tiff::423","Process_335_raw_green.ome.tiff","tile_y045056_x049152.tiff"
"intermedius-0438","keep","implicit_default","D. intermedius","38","Process_335_raw_green.ome.tiff::tile_y000000_x069632.tiff::21","Process_335_raw_green.ome.tiff","tile_y000000_x069632.tiff"
"intermedius-0411","keep","implicit_default","D. intermedius","11","Process_335_raw_green.ome.tiff::tile_y045056_x049152.tiff::12","Process_335_raw_green.ome.tiff","tile_y045056_x049152.tiff"
"intermedius-0413","keep","implicit_default","D. intermedius","13","Process_336_raw_green.ome.tiff::tile_y040960_x077824.tiff::39","Process_336_raw_green.ome.tiff","tile_y040960_x077824.tiff"
"intermedius-0402","problem","explicit","D. intermedius","2","Process_335_raw_green.ome.tiff::tile_y045056_x049152.tiff::443","Process_335_raw_green.ome.tiff","tile_y045056_x049152.tiff"
"intermedius-0439","keep","implicit_default","D. intermedius","39","Process_336_raw_green.ome.tiff::tile_y040960_x077824.tiff::180","Process_336_raw_green.ome.tiff","tile_y040960_x077824.tiff"
"intermedius-0421","keep","implicit_default","D. intermedius","21","Process_336_raw_green.ome.tiff::tile_y040960_x077824.tiff::135","Process_336_raw_green.ome.tiff","tile_y040960_x077824.tiff"
"intermedius-0420","keep","implicit_default","D. intermedius","20","Process_335_raw_green.ome.tiff::tile_y016384_x032768.tiff::61","Process_335_raw_green.ome.tiff","tile_y016384_x032768.tiff"
"intermedius-0408","keep","implicit_default","D. intermedius","8","Process_335_raw_green.ome.tiff::tile_y000000_x069632.tiff::1","Process_335_raw_green.ome.tiff","tile_y000000_x069632.tiff"
"intermedius-0419","keep","implicit_default","D. intermedius","19","Process_336_raw_green.ome.tiff::tile_y040960_x077824.tiff::185","Process_336_raw_green.ome.tiff","tile_y040960_x077824.tiff"
"intermedius-0440","keep","implicit_default","D. intermedius","40","Process_335_raw_green.ome.tiff::tile_y045056_x049152.tiff::405","Process_335_raw_green.ome.tiff","tile_y045056_x049152.tiff"
"intermedius-0407","keep","implicit_default","D. intermedius","7","Process_335_raw_green.ome.tiff::tile_y045056_x049152.tiff::48","Process_335_raw_green.ome.tiff","tile_y045056_x049152.tiff"
"intermedius-0433","keep","implicit_default","D. intermedius","33","Process_336_raw_green.ome.tiff::tile_y040960_x077824.tiff::48","Process_336_raw_green.ome.tiff","tile_y040960_x077824.tiff"
"intermedius-0412","keep","implicit_default","D. intermedius","12","Process_335_raw_green.ome.tiff::tile_y045056_x049152.tiff::308","Process_335_raw_green.ome.tiff","tile_y045056_x049152.tiff"
"intermedius-0429","keep","implicit_default","D. intermedius","29","Process_335_raw_green.ome.tiff::tile_y016384_x032768.tiff::47","Process_335_raw_green.ome.tiff","tile_y016384_x032768.tiff"
"intermedius-0406","keep","implicit_default","D. intermedius","6","Process_335_raw_green.ome.tiff::tile_y032768_x016384.tiff::41","Process_335_raw_green.ome.tiff","tile_y032768_x016384.tiff"
"intermedius-0410","keep","implicit_default","D. intermedius","10","Process_336_raw_green.ome.tiff::tile_y040960_x073728.tiff::3","Process_336_raw_green.ome.tiff","tile_y040960_x073728.tiff"
"intermedius-0423","keep","implicit_default","D. intermedius","23","Process_336_raw_green.ome.tiff::tile_y040960_x077824.tiff::108","Process_336_raw_green.ome.tiff","tile_y040960_x077824.tiff"
"kanawha-0456","problem","explicit","D. kanawha","16","Process_339_raw_green.ome.tiff::tile_y028672_x020480.tiff::38","Process_339_raw_green.ome.tiff","tile_y028672_x020480.tiff"
"kanawha-0471","keep","implicit_default","D. kanawha","31","Process_341_raw_green.ome.tiff::tile_y045056_x081920.tiff::128","Process_341_raw_green.ome.tiff","tile_y045056_x081920.tiff"
"kanawha-0457","keep","implicit_default","D. kanawha","17","Process_341_raw_green.ome.tiff::tile_y045056_x020480.tiff::228","Process_341_raw_green.ome.tiff","tile_y045056_x020480.tiff"
"kanawha-0450","keep","implicit_default","D. kanawha","10","Process_341_raw_green.ome.tiff::tile_y028672_x057344.tiff::13","Process_341_raw_green.ome.tiff","tile_y028672_x057344.tiff"
"kanawha-0462","keep","implicit_default","D. kanawha","22","Process_341_raw_green.ome.tiff::tile_y045056_x020480.tiff::139","Process_341_raw_green.ome.tiff","tile_y045056_x020480.tiff"
"kanawha-0455","keep","implicit_default","D. kanawha","15","Process_341_raw_green.ome.tiff::tile_y045056_x020480.tiff::183","Process_341_raw_green.ome.tiff","tile_y045056_x020480.tiff"
"kanawha-0448","problem","explicit","D. kanawha","8","Process_339_raw_green.ome.tiff::tile_y036864_x028672.tiff::94","Process_339_raw_green.ome.tiff","tile_y036864_x028672.tiff"
"kanawha-0475","keep","implicit_default","D. kanawha","35","Process_341_raw_green.ome.tiff::tile_y045056_x081920.tiff::116","Process_341_raw_green.ome.tiff","tile_y045056_x081920.tiff"
"kanawha-0444","keep","implicit_default","D. kanawha","4","Process_341_raw_green.ome.tiff::tile_y045056_x020480.tiff::28","Process_341_raw_green.ome.tiff","tile_y045056_x020480.tiff"
"kanawha-0458","problem","explicit","D. kanawha","18","Process_339_raw_green.ome.tiff::tile_y028672_x020480.tiff::65","Process_339_raw_green.ome.tiff","tile_y028672_x020480.tiff"
"kanawha-0443","problem","explicit","D. kanawha","3","Process_339_raw_green.ome.tiff::tile_y028672_x020480.tiff::55","Process_339_raw_green.ome.tiff","tile_y028672_x020480.tiff"
"kanawha-0447","problem","explicit","D. kanawha","7","Process_339_raw_green.ome.tiff::tile_y036864_x028672.tiff::147","Process_339_raw_green.ome.tiff","tile_y036864_x028672.tiff"
"kanawha-0476","keep","implicit_default","D. kanawha","36","Process_339_raw_green.ome.tiff::tile_y028672_x020480.tiff::29","Process_339_raw_green.ome.tiff","tile_y028672_x020480.tiff"
"kanawha-0453","keep","implicit_default","D. kanawha","13","Process_341_raw_green.ome.tiff::tile_y028672_x057344.tiff::8","Process_341_raw_green.ome.tiff","tile_y028672_x057344.tiff"
"kanawha-0463","keep","implicit_default","D. kanawha","23","Process_341_raw_green.ome.tiff::tile_y045056_x020480.tiff::180","Process_341_raw_green.ome.tiff","tile_y045056_x020480.tiff"
"kanawha-0465","keep","implicit_default","D. kanawha","25","Process_341_raw_green.ome.tiff::tile_y036864_x008192.tiff::82","Process_341_raw_green.ome.tiff","tile_y036864_x008192.tiff"
"kanawha-0478","keep","implicit_default","D. kanawha","38","Process_341_raw_green.ome.tiff::tile_y045056_x020480.tiff::125","Process_341_raw_green.ome.tiff","tile_y045056_x020480.tiff"
"kanawha-0470","keep","implicit_default","D. kanawha","30","Process_341_raw_green.ome.tiff::tile_y045056_x020480.tiff::172","Process_341_raw_green.ome.tiff","tile_y045056_x020480.tiff"
"kanawha-0467","keep","implicit_default","D. kanawha","27","Process_341_raw_green.ome.tiff::tile_y045056_x020480.tiff::106","Process_341_raw_green.ome.tiff","tile_y045056_x020480.tiff"
"kanawha-0472","keep","implicit_default","D. kanawha","32","Process_339_raw_green.ome.tiff::tile_y036864_x028672.tiff::19","Process_339_raw_green.ome.tiff","tile_y036864_x028672.tiff"
"kanawha-0460","keep","implicit_default","D. kanawha","20","Process_341_raw_green.ome.tiff::tile_y036864_x008192.tiff::10","Process_341_raw_green.ome.tiff","tile_y036864_x008192.tiff"
"kanawha-0473","keep","implicit_default","D. kanawha","33","Process_341_raw_green.ome.tiff::tile_y045056_x020480.tiff::132","Process_341_raw_green.ome.tiff","tile_y045056_x020480.tiff"
"kanawha-0464","keep","implicit_default","D. kanawha","24","Process_341_raw_green.ome.tiff::tile_y036864_x008192.tiff::79","Process_341_raw_green.ome.tiff","tile_y036864_x008192.tiff"
"kanawha-0479","keep","implicit_default","D. kanawha","39","Process_341_raw_green.ome.tiff::tile_y036864_x008192.tiff::59","Process_341_raw_green.ome.tiff","tile_y036864_x008192.tiff"
"kanawha-0480","problem","explicit","D. kanawha","40","Process_339_raw_green.ome.tiff::tile_y036864_x028672.tiff::124","Process_339_raw_green.ome.tiff","tile_y036864_x028672.tiff"
"kanawha-0469","keep","implicit_default","D. kanawha","29","Process_341_raw_green.ome.tiff::tile_y045056_x020480.tiff::142","Process_341_raw_green.ome.tiff","tile_y045056_x020480.tiff"
"kanawha-0459","keep","implicit_default","D. kanawha","19","Process_341_raw_green.ome.tiff::tile_y045056_x081920.tiff::80","Process_341_raw_green.ome.tiff","tile_y045056_x081920.tiff"
"kanawha-0449","keep","implicit_default","D. kanawha","9","Process_341_raw_green.ome.tiff::tile_y036864_x008192.tiff::4","Process_341_raw_green.ome.tiff","tile_y036864_x008192.tiff"
"kanawha-0468","keep","implicit_default","D. kanawha","28","Process_341_raw_green.ome.tiff::tile_y045056_x020480.tiff::121","Process_341_raw_green.ome.tiff","tile_y045056_x020480.tiff"
"kanawha-0451","keep","implicit_default","D. kanawha","11","Process_341_raw_green.ome.tiff::tile_y045056_x020480.tiff::94","Process_341_raw_green.ome.tiff","tile_y045056_x020480.tiff"
"kanawha-0441","problem","explicit","D. kanawha","1","Process_341_raw_green.ome.tiff::tile_y045056_x020480.tiff::145","Process_341_raw_green.ome.tiff","tile_y045056_x020480.tiff"
"kanawha-0466","keep","implicit_default","D. kanawha","26","Process_341_raw_green.ome.tiff::tile_y036864_x008192.tiff::98","Process_341_raw_green.ome.tiff","tile_y036864_x008192.tiff"
"kanawha-0445","keep","implicit_default","D. kanawha","5","Process_341_raw_green.ome.tiff::tile_y028672_x057344.tiff::29","Process_341_raw_green.ome.tiff","tile_y028672_x057344.tiff"
"kanawha-0461","keep","implicit_default","D. kanawha","21","Process_341_raw_green.ome.tiff::tile_y045056_x020480.tiff::39","Process_341_raw_green.ome.tiff","tile_y045056_x020480.tiff"
"kanawha-0477","keep","implicit_default","D. kanawha","37","Process_341_raw_green.ome.tiff::tile_y045056_x081920.tiff::14","Process_341_raw_green.ome.tiff","tile_y045056_x081920.tiff"
"kanawha-0442","keep","implicit_default","D. kanawha","2","Process_341_raw_green.ome.tiff::tile_y045056_x020480.tiff::3","Process_341_raw_green.ome.tiff","tile_y045056_x020480.tiff"
"kanawha-0452","keep","implicit_default","D. kanawha","12","Process_339_raw_green.ome.tiff::tile_y036864_x028672.tiff::63","Process_339_raw_green.ome.tiff","tile_y036864_x028672.tiff"
"kanawha-0446","keep","implicit_default","D. kanawha","6","Process_341_raw_green.ome.tiff::tile_y028672_x057344.tiff::20","Process_341_raw_green.ome.tiff","tile_y028672_x057344.tiff"
"kanawha-0474","keep","implicit_default","D. kanawha","34","Process_341_raw_green.ome.tiff::tile_y045056_x081920.tiff::44","Process_341_raw_green.ome.tiff","tile_y045056_x081920.tiff"
"kanawha-0454","problem","explicit","D. kanawha","14","Process_339_raw_green.ome.tiff::tile_y036864_x028672.tiff::108","Process_339_raw_green.ome.tiff","tile_y036864_x028672.tiff"
"marmoratus-0483","keep","implicit_default","D. marmoratus","3","Process_334_raw_green.ome.tiff::tile_y028672_x036864.tiff::198","Process_334_raw_green.ome.tiff","tile_y028672_x036864.tiff"
"marmoratus-0502","keep","implicit_default","D. marmoratus","22","Process_334_raw_green.ome.tiff::tile_y028672_x036864.tiff::214","Process_334_raw_green.ome.tiff","tile_y028672_x036864.tiff"
"marmoratus-0494","keep","implicit_default","D. marmoratus","14","Process_334_raw_green.ome.tiff::tile_y028672_x036864.tiff::22","Process_334_raw_green.ome.tiff","tile_y028672_x036864.tiff"
"marmoratus-0508","keep","implicit_default","D. marmoratus","28","Process_333_raw_green.ome.tiff::tile_y024576_x057344.tiff::6","Process_333_raw_green.ome.tiff","tile_y024576_x057344.tiff"
"marmoratus-0519","keep","implicit_default","D. marmoratus","39","Process_334_raw_green.ome.tiff::tile_y008192_x016384.tiff::103","Process_334_raw_green.ome.tiff","tile_y008192_x016384.tiff"
"marmoratus-0489","keep","implicit_default","D. marmoratus","9","Process_334_raw_green.ome.tiff::tile_y028672_x036864.tiff::320","Process_334_raw_green.ome.tiff","tile_y028672_x036864.tiff"
"marmoratus-0498","keep","implicit_default","D. marmoratus","18","Process_334_raw_green.ome.tiff::tile_y028672_x036864.tiff::206","Process_334_raw_green.ome.tiff","tile_y028672_x036864.tiff"
"marmoratus-0509","keep","implicit_default","D. marmoratus","29","Process_334_raw_green.ome.tiff::tile_y028672_x036864.tiff::212","Process_334_raw_green.ome.tiff","tile_y028672_x036864.tiff"
"marmoratus-0518","keep","implicit_default","D. marmoratus","38","Process_334_raw_green.ome.tiff::tile_y028672_x036864.tiff::241","Process_334_raw_green.ome.tiff","tile_y028672_x036864.tiff"
"marmoratus-0510","keep","implicit_default","D. marmoratus","30","Process_333_raw_green.ome.tiff::tile_y053248_x036864.tiff::151","Process_333_raw_green.ome.tiff","tile_y053248_x036864.tiff"
"marmoratus-0499","keep","implicit_default","D. marmoratus","19","Process_334_raw_green.ome.tiff::tile_y028672_x036864.tiff::263","Process_334_raw_green.ome.tiff","tile_y028672_x036864.tiff"
"marmoratus-0505","problem","explicit","D. marmoratus","25","Process_334_raw_green.ome.tiff::tile_y028672_x036864.tiff::280","Process_334_raw_green.ome.tiff","tile_y028672_x036864.tiff"
"marmoratus-0482","keep","implicit_default","D. marmoratus","2","Process_334_raw_green.ome.tiff::tile_y028672_x036864.tiff::191","Process_334_raw_green.ome.tiff","tile_y028672_x036864.tiff"
"marmoratus-0504","keep","implicit_default","D. marmoratus","24","Process_334_raw_green.ome.tiff::tile_y028672_x036864.tiff::205","Process_334_raw_green.ome.tiff","tile_y028672_x036864.tiff"
"marmoratus-0516","keep","implicit_default","D. marmoratus","36","Process_334_raw_green.ome.tiff::tile_y028672_x036864.tiff::4","Process_334_raw_green.ome.tiff","tile_y028672_x036864.tiff"
"marmoratus-0495","keep","implicit_default","D. marmoratus","15","Process_334_raw_green.ome.tiff::tile_y028672_x036864.tiff::46","Process_334_raw_green.ome.tiff","tile_y028672_x036864.tiff"
