species,Academ,CACTA,CR1,Chapaev,Copia,Cyrypton,DIRS,Dada,EnSpm,Gypsy,Helitron,IS3EU,Jockey,Kolobok,L1,L2,MITE,MULE,Maverick,Merlin,Mutator,P,PIF-Harbinger,Penelope,PiggyBac,Tc1-mariner,hAT,tRNA
campi,3.1756989867783345e-4,0.01001320361823299,0,0,0.00723504585259911,0.00159811637093506,0.07899349925722624,0,3.375547998726102e-4,0.5545385050747534,0.00166764705808939,8.732017276105875e-6,8.94834569526297e-4,2.2325528630458123e-4,0.05870473847895786,0.09456809323672952,0.0020778574268516,1.1175934050697603e-4,0.00475223629796347,0,0.02614542764098253,5.785857814849938e-5,0.04826882220696184,5.2905102776457005e-5,4.439648834285416e-4,0.01362677217631725,0.093572597759267,0.00178900306761476
carolinensis,4.875180258638662e-4,0.01004197182757729,0,0,0.00897018948427695,0.00218252675252937,0.07936877395786347,0,4.258495731406971e-4,0.5388745380030583,0.00235123606581225,1.965291294237315e-5,0.00107794658433056,3.4888250025189206e-4,0.05447149428313456,0.10274054851304762,0.00246264033399602,1.608627318616469e-4,0.00248763064110462,0,0.02358800217178686,7.404511326231028e-5,0.05192877741119264,9.283081358826386e-5,4.213598597752096e-4,0.01388961060756346,0.10276457264634031,7.685391856993587e-4
catahoula,2.877569578327342e-4,0.00938899748012037,6.030786295605841e-8,0,0.0067153220855738,0.00154177989769475,0.0724224555400316,0,3.420916620066781e-4,0.5853656687797979,0.00163672055608438,1.777071695105188e-5,7.387927640074332e-4,1.8816053242290225e-4,0.04826666638147748,0.0894257951402096,0.00315493482128538,1.4914804596399424e-4,0.00396133806036548,0,0.02804184960420311,1.0572236411143512e-4,0.04467524871143606,8.021615860521946e-5,6.98547316794757e-4,0.01111051357187044,0.09047564916047073,0.00120879338281971
cheaha,3.254759254542259e-4,0.00871034552042199,1.818009086942367e-7,0,0.00732652307627449,0.00178940283848049,0.07995793112030275,1.0164663134733248e-5,4.749884946796849e-4,0.5707295887381778,0.0016262315420806,9.964184050488235e-6,8.371110005645367e-4,1.975503463186525e-4,0.04733509790291481,0.0911325431304538,0.00226897122180523,2.097608922820476e-4,0.00309143604231455,0,0.02495906073900371,6.388060559536328e-5,0.04903713917870921,6.842189267760904e-5,6.243105465145258e-4,0.0124171988072655,0.09593700695142174,8.597128381926811e-4
conanti,3.734693606169046e-4,0.01020231641271504,8.262479856136705e-7,0,0.00817948344364879,0.00181529449777074,0.06876481145876866,0,3.1722519750051364e-4,0.5491824792093176,0.00205169893736747,5.502126338648738e-5,0.00102668494112851,2.2924098816164932e-4,0.06932038482119092,0.09475608907109838,0.0023727193409263,1.7313387415292006e-4,0.00363850358150894,0,0.02392823259018371,7.38641979100757e-5,0.04846122731242126,7.656960000651088e-5,5.393159120258954e-4,0.01455489064965687,0.09889214153129348,0.00101437555925672
fuscus,2.885280226032342e-4,0.0088283786824778,0,0,0.00706304185234898,0.001387931298642,0.07308673156948031,2.0199717222662325e-6,3.943633187848611e-4,0.5796541116384131,0.00177295536545169,2.5588802274288655e-5,8.691776224415367e-4,1.7680862360841329e-4,0.05585778052427431,0.09457731546194524,0.00264745598745024,1.349652834505057e-4,0.00588220379039588,0,0.02397833243665915,6.990723124003476e-5,0.04508205184363411,5.406167528536855e-5,4.183910071108304e-4,0.01132924208011326,0.08549102753810615,9.276283720863972e-4
gvnigeusgwotli,4.7315964281531927e-4,0.01283546983184236,0,6.288326194525676e-6,0.00924026854790555,0.00190017711785046,0.08365180505081313,5.7209777197389135e-6,2.5779698569269985e-4,0.540314584383503,0.0037979320941355,2.2527071793003796e-5,9.550348877659372e-4,1.6657582266629527e-4,0.03826752369779601,0.0964712748855102,0.00302511747068902,1.5534309302181798e-4,0.00589630380157403,0,0.02764925042182648,8.707772212909314e-5,0.0526214888864668,1.5654196966310947e-4,6.749816685792835e-4,0.01375134740609734,0.1069225153794084,6.913911321577316e-4
intermedius,4.204788075945063e-4,0.00992584241881021,0,1.3398380011835533e-5,0.00942992133388191,0.00181421588789428,0.0813471087663889,0,3.12336574444168e-4,0.5473435590045186,0.00291360072751816,1.2272433358866989e-5,0.00111803036213365,2.1449091159805744e-4,0.04036691943826662,0.1007288103756716,0.0021841066955265,1.021684249675987e-4,0.00678961109693478,0,0.02334035800366114,1.0227883706811784e-4,0.04870819800281585,8.728975249182619e-5,6.460045099363092e-4,0.01616547543671949,0.10511743074739612,7.960930703908531e-4
kanawha,3.4758833977135576e-4,0.01051677570460963,0,2.118833882685708e-5,0.00831939700536305,0.00165914407490998,0.08136574916899036,0,2.826874223327106e-4,0.5645011205238231,0.00258034210703932,1.6184805843638874e-5,0.00135855480976735,1.683684357351145e-4,0.03627224935185544,0.09507473271858918,0.00238647220748207,9.134687992086127e-5,0.00646788319249042,0,0.02297755935989606,8.037863257344757e-5,0.04818948044469743,1.0334047296039892e-4,7.639800703852978e-4,0.01334913597653978,0.10222369184160472,8.82648113992416e-4
lycos,3.305765433919914e-4,0.00952111554873169,5.386157089669025e-6,0,0.00734282775595998,0.00170320793538956,0.07516589712731714,0,4.43365911653484e-4,0.5576062771936255,0.00177942515218763,2.031493617540774e-5,9.790996118525337e-4,1.7172638173473478e-4,0.0557562698166574,0.09589862319687067,0.0022334146036985,1.274508802024738e-4,0.0039875955182823,0,0.02413797281114771,8.89788938135179e-5,0.04902893854627006,6.197569608457346e-5,4.6206802885190697e-4,0.01418115783639762,0.09655966832352723,0.00240666559308658
marmoratus,4.5731364009476375e-4,0.00991398399720859,1.1154798730362849e-6,1.0688742071080562e-5,0.00992679928196,0.00187684964167412,0.0731448752838874,0,3.074878845451641e-4,0.5393073943701492,0.00324527858308873,3.735711533706105e-5,0.00135591035393537,1.5788879043095318e-4,0.05043216173370184,0.09689307759447864,0.00261190758312411,1.4592921626707558e-4,0.00635739229950779,0,0.02272290822126264,1.2558953588807036e-4,0.05002405272576917,7.657973069010174e-5,8.227300753067848e-4,0.01546232867715819,0.1133820807036394,0.00120031873895071
