species,display_species,rank,superfamily,classified_conditional_proportion,top10_renormalized_proportion,shannon_component,gini_simpson_squared_component
amphileucus,D. amphileucus,6,L1,0.04114101231236558,0.04183506532395333,0.1327853510985871,0.001750172690659442
amphileucus,D. amphileucus,7,Mutator,0.0273110436325009,0.02777178368281425,0.0995267062302631,7.712719689250279e-4
amphileucus,D. amphileucus,8,Tc1-mariner,0.0142869970905498,0.014528020167034991,0.061477875270424205,2.110633699737754e-4
amphileucus,D. amphileucus,9,CACTA,0.01174296710463798,0.0119410721396349,0.05287233747964112,1.425892038439648e-4
amphileucus,D. amphileucus,10,Copia,0.01003031268927761,0.010199525072198666,0.04676904629686902,1.0403031169840921e-4
anicetus,D. anicetus,1,Gypsy,0.5373284589912093,0.5454568372205324,0.3306186265707888,0.2975231612706264
anicetus,D. anicetus,2,L2,0.10024428224103024,0.10176071679376524,0.2325365823112694,0.010355243482380894
anicetus,D. anicetus,3,hAT,0.09860828624063822,0.10009997244057274,0.23038868195440507,0.010020004482603422
anicetus,D. anicetus,4,DIRS,0.08002376515508752,0.08123431601951833,0.20393204934921488,0.006599014099158973
anicetus,D. anicetus,5,L1,0.06112496092909958,0.06204962217376381,0.1724868338510559,0.0038501556119068412
anicetus,D. anicetus,6,PIF-Harbinger,0.05079987693144683,0.051568346583095455,0.15289226967918293,0.0026592943693142528
anicetus,D. anicetus,7,Mutator,0.02393975135093245,0.024301897353885014,0.09033503353150667,5.905822149987635e-4
anicetus,D. anicetus,8,Tc1-mariner,0.01548313349457346,0.015717352924259492,0.06527400787377517,2.470351829457284e-4
anicetus,D. anicetus,9,CACTA,0.00967839704801439,0.009824805954044644,0.045418553819575457,9.65268120346311e-5
anicetus,D. anicetus,10,Copia,0.00786712347586889,0.0079861325365628,0.03857340887153052,6.377831289154697e-5
apalachicolae,D. apalachicolae,1,Gypsy,0.5552111465899545,0.5628121143331843,0.32350970999607676,0.3167574760401894
apalachicolae,D. apalachicolae,2,L2,0.099440567195449,0.10080193133279278,0.23129988619077882,0.01016102936042107
apalachicolae,D. apalachicolae,3,hAT,0.09830153192855189,0.0996473024122465,0.22979846796879388,0.009929584878037707
apalachicolae,D. apalachicolae,4,DIRS,0.0744333254941065,0.0754523347657627,0.19498800922328818,0.005693054821604722
apalachicolae,D. apalachicolae,5,L1,0.05655276927545502,0.05732698963773193,0.16389693139862818,0.003286383740924624
apalachicolae,D. apalachicolae,6,PIF-Harbinger,0.04750230250904872,0.048152619908686745,0.1460651812170289,0.002318674804070455
apalachicolae,D. apalachicolae,7,Mutator,0.02338023340619837,0.023700314155731567,0.08869290297190285,5.617048910803701e-4
apalachicolae,D. apalachicolae,8,Tc1-mariner,0.01337060427754353,0.01355365091204519,0.058295598829005896,1.837014530455834e-4
apalachicolae,D. apalachicolae,9,CACTA,0.01028182901486,0.01042258960866896,0.04756640340515679,1.086303741507342e-4
apalachicolae,D. apalachicolae,10,Copia,0.0080203524711148,0.008130152933149292,0.039123723119034344,6.609938671639604e-5
aureatus,D. aureatus,1,Gypsy,0.5705050369573362,0.5824156893579262,0.31483694035768667,0.3392080352102684
aureatus,D. aureatus,2,hAT,0.0981939608781019,0.10024399384905297,0.23057603462677115,0.01004885830280897
aureatus,D. aureatus,3,DIRS,0.08816753666890471,0.09000824413729142,0.2167267116979888,0.008101484012678255
aureatus,D. aureatus,4,L2,0.08004530465731223,0.08171644117375261,0.20465883174134833,0.006677576758103371
aureatus,D. aureatus,5,PIF-Harbinger,0.04580223919086821,0.04675847010003003,0.1432099653863867,0.002186354526095402
aureatus,D. aureatus,6,L1,0.03738751495622722,0.038168068441154265,0.12464759919242416,0.0014568014485286363
aureatus,D. aureatus,7,Mutator,0.02796438369388675,0.028548206854416565,0.1015220241764606,8.150001146025569e-4
aureatus,D. aureatus,8,Tc1-mariner,0.01317555045671066,0.013450621475387838,0.057955095834563694,1.809192180741645e-4
aureatus,D. aureatus,9,CACTA,0.01027285665456699,0.010487327021780917,0.04779691265163445,1.0998402806177619e-4
aureatus,D. aureatus,10,Copia,0.00803518397254809,0.008202937589207164,0.03940086617287997,6.728818509242785e-5
auriculatus,D. auriculatus,1,Gypsy,0.5836217139405835,0.591864908264163,0.3104194519677537,0.35030406963454613
auriculatus,D. auriculatus,2,hAT,0.09463748848520118,0.09597416803163501,0.22493237407620328,0.009211040929364513
auriculatus,D. auriculatus,3,L2,0.07926864498259933,0.08038825179082877,0.20264971782194752,0.006462271025985685
auriculatus,D. auriculatus,4,DIRS,0.06092308532524644,0.061783575637947785,0.17201274750483625,0.003817210218610015
auriculatus,D. auriculatus,5,L1,0.06053929005313761,0.0613943595616898,0.1713171116589892,0.0037692673859900517
auriculatus,D. auriculatus,6,PIF-Harbinger,0.05289821694036464,0.05364536234499002,0.15693201094524453,0.002877824901125273
auriculatus,D. auriculatus,7,Mutator,0.02718203175562171,0.02756595641866828,0.09899413855213537,7.598819532759189e-4
auriculatus,D. auriculatus,8,Tc1-mariner,0.0104217484801553,0.0105689474206014,0.04808696758324052,1.1170264957943697e-4
auriculatus,D. auriculatus,9,CACTA,0.0096204107031434,0.00975629138236489,0.04517009669998828,9.518522153760742e-5
auriculatus,D. auriculatus,10,Maverick,0.00695987640696217,0.007058179147110949,0.03496317157480917,4.981789287271184e-5
bairdi,D. bairdi,1,Gypsy,0.5979428585395449,0.6069365791236537,0.3030622343507275,0.3683720110783232
bairdi,D. bairdi,2,L2,0.0863244416744002,0.08762285655955333,0.21333654261259458,0.007677764991656059
bairdi,D. bairdi,3,hAT,0.08543314729308014,0.08671815612695379,0.2120338701381458,0.0075200386020587325
bairdi,D. bairdi,4,DIRS,0.07217463246681953,0.07326021860334898,0.19148298338347766,0.00536705962981048
bairdi,D. bairdi,5,L1,0.05280708386588609,0.05360136069412915,0.1568472738647399,0.0028731058682621336
bairdi,D. bairdi,6,PIF-Harbinger,0.04407456698111496,0.04473749711671674,0.1389968654643769,0.002001443648268239
bairdi,D. bairdi,7,Mutator,0.02068062484814063,0.020991684272519812,0.08110407815573531,4.4065080859715565e-4
bairdi,D. bairdi,8,Tc1-mariner,0.01118869265363229,0.011356982940891545,0.05085568929722575,1.2898106151970157e-4
bairdi,D. bairdi,9,CACTA,0.00843981189500815,0.00856675598152427,0.04077661181129243,7.338930804698187e-5
bairdi,D. bairdi,10,Copia,0.00611591841714464,0.006207908580708682,0.031548164441209954,3.8538128946436485e-5
balsameus,D. balsameus,1,Gypsy,0.5395780171621887,0.5470005473399213,0.3300084255519295,0.2992095987901735
balsameus,D. balsameus,2,L2,0.10290168278759484,0.10431721644822729,0.235790172175781,0.010882081647506302
balsameus,D. balsameus,3,hAT,0.0963020477069884,0.0976267956258194,0.22713882271363703,0.00953099122416551
balsameus,D. balsameus,4,DIRS,0.0845179053437119,0.08568054852601167,0.21052819914671972,0.007341156395718241
balsameus,D. balsameus,5,L1,0.05585694517083525,0.05662532314024733,0.16258823305744743,0.00320642722073743
balsameus,D. balsameus,6,PIF-Harbinger,0.04960457472655251,0.05028694398762409,0.15035845525654978,0.002528776735614442
balsameus,D. balsameus,7,Mutator,0.02654290541025863,0.02690803428902303,0.09728143341448062,7.24042309299239e-4
balsameus,D. balsameus,8,Tc1-mariner,0.01348727085656368,0.013672804128424173,0.05868841320814955,1.8694557273425308e-4
balsameus,D. balsameus,9,CACTA,0.00965874612143851,0.009791613533166082,0.04529824669543116,9.587569558288116e-5
balsameus,D. balsameus,10,Copia,0.0079803932868159,0.008090172981535674,0.038971214063168724,6.54508988711698e-5
campi,D. campi,1,Gypsy,0.5545385050747534,0.562602451814411,0.32359881746489083,0.3165215187875867
campi,D. campi,2,L2,0.09456809323672952,0.09594327649299261,0.22489086087862345,0.009205112304210828
campi,D. campi,3,hAT,0.093572597759267,0.094933304793525,0.22352812618533738,0.009012332359020318
campi,D. campi,4,DIRS,0.07899349925722624,0.0801422010425127,0.20227512544118492,0.0064227723879385235
campi,D. campi,5,L1,0.05870473847895786,0.05955840667355155,0.16800222389465005,0.0035472038054921496
campi,D. campi,6,PIF-Harbinger,0.04826882220696184,0.04897073417141681,0.14772180731369763,0.0023981328052875704
campi,D. campi,7,Mutator,0.02614542764098253,0.026525627273745696,0.09627858245766242,7.036089022656815e-4
campi,D. campi,8,Tc1-mariner,0.01362677217631725,0.013824928957239899,0.059188417702868736,1.9112866067273027e-4
