species,display_species,cluster,selected_k,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28
catahoula,D. catahoula,2,2,-2.0360139842860785,0.6261452675443678,-2.4646647280088603,-0.5116672632384647,-0.3409600186680554,0.5175075556843948,0.15682793828989064,-0.286402159725567,-0.6939852146043356,-0.6216785203296918,-0.28879973323758024,-0.2959814542589309,-0.28007696171701835,0.4394447120777581,-1.0666179260337316,-0.552105436073347,-0.8232424675789665,0.23206365485941902,0.1260709002606873,-0.33956024103817833,-0.05996878695647772,0.015553240948622312,0.2105247862970998,0.04127279035125182,-0.04710806677469578,-0.08432546824505044,-0.006081521452503627,-3.1491260238765335e-6
cheaha,D. cheaha,2,2,-0.24039864162795954,1.5326378199242974,-1.97329175973348,-2.251255761135979,-1.746638855782888,-2.0062927134234023,-1.4081030711806024,1.4181295760795776,2.2909488434938665,0.7363817935601595,0.5282785944680045,1.006743652821261,1.311436358809145,-0.02317609987600961,-0.5851247806316457,-0.3682402862753075,-0.13410775371549247,-0.22516626000867473,-0.0015445605845529722,0.057887773491979884,0.056650541849861236,0.08294897241512598,-0.03824915126662242,-0.008039157390129016,-0.030029718187046476,0.026583463908017527,0.0018105060338233512,3.4734765505731e-7
conanti,D. conanti,2,2,0.8836539836985282,0.627317969473294,0.704706144561592,0.1329989263215096,-1.9876874353091798,2.700884063161677,0.7078381733195617,0.20285578184896624,-0.17240550681732467,1.4769479001018093,0.2690288048026195,-0.7960960788762957,-0.7592288671662349,-0.782839315554326,-0.4997677068991735,-0.15551938311744942,-0.016134267998076223,-0.018078819958307797,-0.3386989888499961,-0.044865202066355775,0.2259826742047143,0.09501957703115516,-0.18940671844581536,-0.0404906465480155,0.11838170081783199,0.0027914338593136943,0.003745255106546747,-1.8273033524314989e-6
fuscus,D. fuscus,2,2,-1.9613468895101709,1.60628441167733,-0.08181723084221053,0.007092954412922939,-0.07468559142131118,-0.2544082509861196,-0.4714494010779162,0.687696474389554,0.03870995141239285,1.1538016481035287,-0.3974881527809098,-0.4640194989743029,-0.5323730337785396,0.4360366081997018,-0.13650965076397253,-0.06834534168683258,0.2043423252235085,-0.018456889153273495,-0.34702764273702424,0.4608318703310433,0.39381477557183153,-0.06603158153377237,0.3557938219161023,-0.024315569664278888,-0.02013583463702432,0.03754706079173717,8.339043404117659e-4,3.5003317833650017e-6
gvnigeusgwotli,D. gvnigeusgwotli,2,2,3.3106513149367265,-2.9714620865078074,-2.4815773215751427,-0.18127798424028446,-0.9248892108570966,-1.1955580796935925,-0.6991533149127376,-0.1627332029385115,1.204938062031722,0.3807037360736947,0.0975800197419001,-1.3821489525019421,-0.8516436656944685,-0.21132748504194457,0.4334292876575703,-0.05324263175519225,0.44709883458535143,0.7059457086737673,0.4420743130133739,0.045666106890327886,0.08525295056490363,0.047542063811939865,-0.055228264176248876,-0.08876041774918626,-0.14712409075750624,0.01816270109057668,-0.005305617574174986,-5.058304550632954e-6
intermedius,D. intermedius,2,2,2.326994128250139,-1.698404896418505,-0.8002979620400135,2.1165191669157646,1.7805899800549116,-0.3262553460892828,-0.11838394769603909,0.8142591680034761,0.49367479361250005,-1.0120922912334278,-0.2021929600797872,0.44937330418964133,0.0889302997379397,0.27700267941003104,0.051706488476407186,0.22651814913457302,-0.4357516218738068,0.4054107712668259,-0.23899144255548088,0.5148002291519211,0.08096515619111057,0.11610957699093274,-0.18421714168343004,-0.04167433361699158,0.1409824831948457,-0.13225752913956054,0.0016507956787773373,-1.8546680220079607e-6
kanawha,D. kanawha,2,2,1.6707768407537489,-1.5257158889540507,-1.781793445375583,3.6919163169463123,1.854984341498841,-0.43202364987741115,-0.597232926256198,1.6926174512184748,0.33506273325165387,-0.7204123487755538,0.924474958223757,0.518948982015627,-0.6475918969525255,-0.9316321998898812,-0.5031485727016461,0.12377721330329465,0.030226465730326002,-0.366131586384707,0.32386599765699586,-0.20165125794413094,-0.0010188904270082568,-0.18692458320436273,0.1609113383912976,-0.017640383228393397,0.09541488061977108,0.05426631058011292,0.0019919462564032177,1.2688529735088898e-8
lycos,D. lycos,2,2,-0.5662153669912366,0.653284532893076,0.12416367056624389,-0.8415284507275249,0.04868202388646281,0.9345537154573209,0.25312103957378523,1.7542758358753312,-0.853031035816281,-0.9370464021121885,0.15421927035495542,-0.8300076951874521,0.9594329736827939,0.3622155712453731,0.12748001187311106,0.258738835825302,0.19398116523462217,-0.2221693775487281,0.1891315345239723,0.05000498600170139,0.02940845384052387,0.2118276896604176,-0.015981565094543394,0.08559409355765973,-0.09338434737938997,-0.08634538061025979,0.008020865584318458,-7.81550712956724e-6
marmoratus,D. marmoratus,2,2,3.38700214893565,-1.8821591990241242,-1.2954317609858814,2.667201560703394,0.15475289462229647,2.496457423394587,0.6283060850505886,0.23147175958759145,0.7358130573144337,-0.22169309255343558,-0.6056667145214688,0.11706134068179155,1.1577133716452925,-0.2744773664321239,-0.02236188752376573,-0.5137259170790831,0.21718011066810897,-0.11645226284596238,-0.3452767852344714,0.022113739853801308,-0.050216259393450355,0.03478174331801449,-0.058376856059053454,0.11203029348257278,-0.22546169667026789,0.05158405872652459,-0.005823170851963558,3.063761869719836e-6
mavrokoilius,D. mavrokoilius,2,2,1.085308922149248,-1.1115815942616296,-0.17626914447751832,0.9180229217232257,0.47798116878259284,-0.21892619881179784,-0.5537374836593477,0.6658382058523968,-0.27317465726510476,0.3247892513652794,-0.013132117526243759,-0.21150784458574606,-0.03653818683392753,0.944510509533283,1.211870973991801,-0.595410844719956,-0.7727645890511176,-0.022522641327193324,-0.3172374998969305,-0.180853909174511,0.11415800000221958,-0.17839479204221223,0.03358619569926827,-0.03785837024272733,-0.019276580039772704,0.044077829356300204,5.8219413794703004e-5,6.457148855291472e-7
