species,estimator,estimator_label,metric,metric_label,estimate,n_pairs,n_images,n_specimens,estimand
auriculatus,eligible_candidate_pool,All eligible candidates,nc_area_ratio,Nucleus/cell area ratio,0.195691,444,3,2,median among all eligible candidates
auriculatus,manual_keep_pool,Manual keeps,cell_area_um2,Cell area (um2),295.0128,43,2,2,median among manual keeps
auriculatus,manual_keep_pool,Manual keeps,nuc_area_um2,Nucleus area (um2),46.9872,43,2,2,median among manual keeps
auriculatus,manual_keep_pool,Manual keeps,nc_area_ratio,Nucleus/cell area ratio,0.16004,43,2,2,median among manual keeps
bairdi,composite_selected50,Frozen composite top 50,cell_area_um2,Cell area (um2),286.1064,50,1,1,median among frozen composite top 50
bairdi,composite_selected50,Frozen composite top 50,nuc_area_um2,Nucleus area (um2),42.4872,50,1,1,median among frozen composite top 50
bairdi,composite_selected50,Frozen composite top 50,nc_area_ratio,Nucleus/cell area ratio,0.1465485,50,1,1,median among frozen composite top 50
bairdi,image_balanced_selected50,Equal-image frozen top 50,cell_area_um2,Cell area (um2),286.1064,50,1,1,equal-image median of within-image medians among frozen composite top-50 rows
bairdi,image_balanced_selected50,Equal-image frozen top 50,nuc_area_um2,Nucleus area (um2),42.4872,50,1,1,equal-image median of within-image medians among frozen composite top-50 rows
bairdi,image_balanced_selected50,Equal-image frozen top 50,nc_area_ratio,Nucleus/cell area ratio,0.1465485,50,1,1,equal-image median of within-image medians among frozen composite top-50 rows
bairdi,literal_largest50_eligible,Literal largest 50,cell_area_um2,Cell area (um2),291.5856,50,1,1,median among literal largest 50
bairdi,literal_largest50_eligible,Literal largest 50,nuc_area_um2,Nucleus area (um2),44.6112,50,1,1,median among literal largest 50
bairdi,literal_largest50_eligible,Literal largest 50,nc_area_ratio,Nucleus/cell area ratio,0.1485745,50,1,1,median among literal largest 50
bairdi,literal_largest100_eligible,Literal largest 100,cell_area_um2,Cell area (um2),281.2824,100,1,1,median among literal largest 100
bairdi,literal_largest100_eligible,Literal largest 100,nuc_area_um2,Nucleus area (um2),44.568,100,1,1,median among literal largest 100
bairdi,literal_largest100_eligible,Literal largest 100,nc_area_ratio,Nucleus/cell area ratio,0.154322,100,1,1,median among literal largest 100
bairdi,eligible_candidate_pool,All eligible candidates,cell_area_um2,Cell area (um2),265.7664,201,1,1,median among all eligible candidates
bairdi,eligible_candidate_pool,All eligible candidates,nuc_area_um2,Nucleus area (um2),44.0064,201,1,1,median among all eligible candidates
bairdi,eligible_candidate_pool,All eligible candidates,nc_area_ratio,Nucleus/cell area ratio,0.167254,201,1,1,median among all eligible candidates
bairdi,manual_keep_pool,Manual keeps,cell_area_um2,Cell area (um2),291.7008,49,1,1,median among manual keeps
bairdi,manual_keep_pool,Manual keeps,nuc_area_um2,Nucleus area (um2),44.3664,49,1,1,median among manual keeps
bairdi,manual_keep_pool,Manual keeps,nc_area_ratio,Nucleus/cell area ratio,0.150257,49,1,1,median among manual keeps
campi,composite_selected50,Frozen composite top 50,cell_area_um2,Cell area (um2),234.9648,50,2,2,median among frozen composite top 50
campi,composite_selected50,Frozen composite top 50,nuc_area_um2,Nucleus area (um2),37.4472,50,2,2,median among frozen composite top 50
campi,composite_selected50,Frozen composite top 50,nc_area_ratio,Nucleus/cell area ratio,0.1622545,50,2,2,median among frozen composite top 50
campi,image_balanced_selected50,Equal-image frozen top 50,cell_area_um2,Cell area (um2),236.7288,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
campi,image_balanced_selected50,Equal-image frozen top 50,nuc_area_um2,Nucleus area (um2),38.3292,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
campi,image_balanced_selected50,Equal-image frozen top 50,nc_area_ratio,Nucleus/cell area ratio,0.159333,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
campi,literal_largest50_eligible,Literal largest 50,cell_area_um2,Cell area (um2),237.5856,50,2,2,median among literal largest 50
campi,literal_largest50_eligible,Literal largest 50,nuc_area_um2,Nucleus area (um2),37.6416,50,2,2,median among literal largest 50
campi,literal_largest50_eligible,Literal largest 50,nc_area_ratio,Nucleus/cell area ratio,0.1587635,50,2,2,median among literal largest 50
campi,literal_largest100_eligible,Literal largest 100,cell_area_um2,Cell area (um2),224.5896,100,2,2,median among literal largest 100
campi,literal_largest100_eligible,Literal largest 100,nuc_area_um2,Nucleus area (um2),37.2744,100,2,2,median among literal largest 100
campi,literal_largest100_eligible,Literal largest 100,nc_area_ratio,Nucleus/cell area ratio,0.1666095,100,2,2,median among literal largest 100
campi,eligible_candidate_pool,All eligible candidates,cell_area_um2,Cell area (um2),214.1928,150,2,2,median among all eligible candidates
campi,eligible_candidate_pool,All eligible candidates,nuc_area_um2,Nucleus area (um2),37.1304,150,2,2,median among all eligible candidates
campi,eligible_candidate_pool,All eligible candidates,nc_area_ratio,Nucleus/cell area ratio,0.173562,150,2,2,median among all eligible candidates
campi,manual_keep_pool,Manual keeps,cell_area_um2,Cell area (um2),238.5216,46,2,2,median among manual keeps
campi,manual_keep_pool,Manual keeps,nuc_area_um2,Nucleus area (um2),37.4832,46,2,2,median among manual keeps
campi,manual_keep_pool,Manual keeps,nc_area_ratio,Nucleus/cell area ratio,0.1587635,46,2,2,median among manual keeps
