species,Academ,CACTA,CR1,Chapaev,Copia,Cyrypton,DIRS,Dada,EnSpm,Ginger,Gypsy,Helitron,IS3EU,Jockey,Kolobok,L1,L2,MITE,MULE,Maverick,Merlin,Mutator,P,PIF-Harbinger,Penelope,PiggyBac,Tc1-mariner,hAT,tRNA
campi,3.1756989867783345e-4,0.01001320361823299,0,0,0.007235045852599111,0.0015981163709350623,0.07899349925722624,0,3.375547998726102e-4,0,0.5545385050747534,0.0016676470580893987,8.732017276105875e-6,8.94834569526297e-4,2.2325528630458123e-4,0.05870473847895786,0.09456809323672952,0.0020778574268516038,1.1175934050697605e-4,0.004752236297963475,0,0.02614542764098253,5.785857814849938e-5,0.048268822206961846,5.2905102776457005e-5,4.439648834285416e-4,0.013626772176317253,0.093572597759267,0.001789003067614761
carolinensis,4.875180258638662e-4,0.010041971827577293,0,0,0.008970189484276952,0.0021825267525293706,0.07936877395786347,0,4.258495731406971e-4,0,0.5388745380030583,0.002351236065812255,1.965291294237315e-5,0.0010779465843305668,3.4888250025189206e-4,0.05447149428313456,0.10274054851304762,0.0024626403339960273,1.6086273186164687e-4,0.0024876306411046223,0,0.023588002171786863,7.404511326231028e-5,0.051928777411192645,9.283081358826386e-5,4.2135985977520963e-4,0.013889610607563467,0.10276457264634033,7.685391856993587e-4
catahoula,2.877569578327342e-4,0.009388997480120377,6.030786295605841e-8,0,0.006715322085573807,0.0015417798976947597,0.0724224555400316,0,3.420916620066781e-4,0,0.5853656687797979,0.001636720556084384,1.777071695105188e-5,7.387927640074332e-4,1.8816053242290225e-4,0.04826666638147748,0.0894257951402096,0.003154934821285381,1.4914804596399424e-4,0.003961338060365485,0,0.028041849604203115,1.0572236411143511e-4,0.044675248711436064,8.021615860521946e-5,6.98547316794757e-4,0.011110513571870444,0.09047564916047073,0.0012087933828197142
cheaha,3.254759254542259e-4,0.008710345520421998,1.818009086942367e-7,0,0.007326523076274493,0.0017894028384804995,0.07995793112030275,1.0164663134733247e-5,4.749884946796849e-4,0,0.5707295887381778,0.0016262315420806084,9.964184050488235e-6,8.371110005645367e-4,1.975503463186525e-4,0.04733509790291481,0.09113254313045381,0.002268971221805235,2.0976089228204762e-4,0.003091436042314555,0,0.02495906073900371,6.388060559536328e-5,0.049037139178709215,6.842189267760904e-5,6.243105465145258e-4,0.012417198807265502,0.09593700695142174,8.597128381926811e-4
conanti,3.734693606169046e-4,0.010202316412715044,8.262479856136705e-7,0,0.008179483443648794,0.0018152944977707427,0.06876481145876866,0,3.1722519750051364e-4,0,0.5491824792093176,0.0020516989373674734,5.502126338648738e-5,0.0010266849411285199,2.2924098816164932e-4,0.06932038482119092,0.09475608907109838,0.002372719340926308,1.7313387415292006e-4,0.003638503581508943,0,0.02392823259018371,7.38641979100757e-5,0.04846122731242126,7.656960000651088e-5,5.393159120258954e-4,0.014554890649656876,0.09889214153129347,0.001014375559256722
gvnigeusgwotli,4.7315964281531927e-4,0.012835469831842366,0,6.288326194525676e-6,0.009240268547905555,0.0019001771178504686,0.08365180505081313,5.7209777197389135e-6,2.5779698569269985e-4,2.5017243831660627e-6,0.540314584383503,0.003797932094135501,2.2527071793003796e-5,9.550348877659373e-4,1.6657582266629527e-4,0.03826752369779601,0.09647127488551019,0.003025117470689029,1.5534309302181798e-4,0.005896303801574034,0,0.02764925042182648,8.707772212909314e-5,0.052621488886466804,1.5654196966310947e-4,6.749816685792835e-4,0.013751347406097342,0.1069225153794084,6.913911321577316e-4
fuscus,2.885280226032342e-4,0.008828378682477808,0,0,0.007063041852348982,0.0013879312986420026,0.07308673156948031,2.0199717222662325e-6,3.943633187848611e-4,0,0.5796541116384131,0.0017729553654516942,2.5588802274288655e-5,8.691776224415367e-4,1.7680862360841329e-4,0.05585778052427431,0.09457731546194523,0.00264745598745024,1.349652834505057e-4,0.0058822037903958875,0,0.023978332436659158,6.990723124003476e-5,0.04508205184363411,5.406167528536855e-5,4.1839100711083037e-4,0.011329242080113261,0.08549102753810615,9.276283720863973e-4
intermedius,4.204788075945063e-4,0.009925842418810211,0,1.3398380011835533e-5,0.00942992133388191,0.0018142158878942805,0.0813471087663889,0,3.12336574444168e-4,0,0.5473435590045186,0.002913600727518169,1.2272433358866987e-5,0.0011180303621336515,2.1449091159805744e-4,0.040366919438266625,0.10072881037567159,0.002184106695526507,1.021684249675987e-4,0.006789611096934782,0,0.023340358003661146,1.0227883706811785e-4,0.04870819800281585,8.728975249182619e-5,6.460045099363092e-4,0.016165475436719496,0.10511743074739613,7.960930703908531e-4
kanawha,3.4758833977135576e-4,0.010516775704609635,0,2.118833882685708e-5,0.008319397005363051,0.0016591440749099853,0.08136574916899036,0,2.826874223327106e-4,0,0.5645011205238231,0.0025803421070393273,1.6184805843638874e-5,0.001358554809767351,1.683684357351145e-4,0.03627224935185544,0.09507473271858918,0.002386472207482076,9.134687992086127e-5,0.0064678831924904244,0,0.022977559359896062,8.037863257344757e-5,0.04818948044469743,1.0334047296039892e-4,7.639800703852978e-4,0.013349135976539783,0.10222369184160472,8.82648113992416e-4
lycos,3.305765433919914e-4,0.009521115548731692,5.386157089669025e-6,0,0.007342827755959988,0.0017032079353895607,0.07516589712731714,0,4.4336591165348397e-4,0,0.5576062771936255,0.0017794251521876393,2.031493617540774e-5,9.790996118525337e-4,1.7172638173473478e-4,0.0557562698166574,0.09589862319687067,0.0022334146036985026,1.274508802024738e-4,0.003987595518282301,0,0.024137972811147716,8.89788938135179e-5,0.049028938546270065,6.197569608457346e-5,4.6206802885190697e-4,0.014181157836397628,0.09655966832352723,0.002406665593086583
