species,n_selected_pairs,n_selected_images,n_selected_specimens,effective_n,support_label,support_warnings,estimated_genome_pg_estimate,estimated_genome_pg_q1,estimated_genome_pg_q3,estimated_genome_pg_weighted_mean,estimated_genome_pg_weighted_trimmed_mean,estimated_genome_pg_weighted_geometric_mean,estimated_genome_pg_ci_low,estimated_genome_pg_ci_high,estimated_genome_pg_bootstrap_sd,subset_name,pct_shift_vs_all_selected
D. perlapsus,21,1,1,20.977335,limited,low_pair_count; low_image_count; low_specimen_count; auto_dominant,10.725843,10.431754,11.598411,10.901206,10.963318,10.871692,10.256035,11.868279,0.480472,image_qc_pass,-21.727384
D. tilleyi,50,2,2,42.108077,medium,auto_dominant,16.100386,15.347147,17.067924,16.171765,16.133153,16.120503,14.165252,19.755957,1.566962,all_selected,
D. tilleyi,23,2,2,21.874534,limited,low_pair_count; auto_dominant,14.447976,14.006024,15.566235,14.736085,14.632219,14.696725,13.004115,15.578475,0.715812,high_iod_qc,-10.26317
D. tilleyi,50,2,2,42.108077,medium,auto_dominant,14.103864,13.444029,14.951423,14.166391,14.132567,14.121486,13.368888,15.083419,0.466205,image_qc_pass,-12.400463
D. valtos,50,2,2,49.896071,medium,auto_dominant,22.250343,20.888037,23.306718,22.05744,22.099659,22.006741,19.553861,26.680939,2.132644,all_selected,
D. valtos,9,1,1,8.983017,low,low_pair_count; low_image_count; low_specimen_count; auto_dominant,21.183816,20.402729,21.57179,21.012661,20.981449,20.996818,18.999601,22.177346,0.969237,high_iod_qc,-4.793306
D. valtos,25,1,1,24.948056,limited,low_pair_count; low_image_count; low_specimen_count; auto_dominant,19.770085,19.03365,20.525148,19.689895,19.78023,19.650477,18.941852,20.870189,0.492244,image_qc_pass,-11.147052
D. welteri,50,2,2,44.389538,medium,auto_dominant,14.601375,13.329641,15.786036,14.54367,14.481427,14.453862,12.295358,18.603745,1.609429,all_selected,
D. welteri,9,1,1,8.939722,low,low_pair_count; low_image_count; low_specimen_count; auto_dominant,12.115505,11.25964,12.492687,12.173388,12.078415,12.139665,10.485297,12.985308,0.64975,high_iod_qc,-17.024907
D. welteri,33,1,1,32.781377,limited,low_image_count; low_specimen_count; auto_dominant,11.741516,10.951947,12.515004,11.807432,11.806877,11.772034,11.249694,12.464577,0.323077,image_qc_pass,-19.58623
