panel,species,n_selected_pairs,n_selected_images,n_selected_specimens,effective_n,weighted_median_nuc_iod,nuc_iod_q1,nuc_iod_q3,estimated_genome_pg,estimated_genome_pg_q1,estimated_genome_pg_q3,reference_species,reference_genome_pg,reference_weighted_median_nuc_iod,reference_scale_pg_per_iod,iod_ratio_to_reference,median_clarity_signal,median_shape_signal,support_label,support_warnings
current_top50_all_selected,D. mavrokoilius,50,2,2,46.080000,856.321447,778.853794,954.376772,14.667481,13.340578,16.347019,D. fuscus,16.360000,955.134616,0.017128,0.896545,0.467166,0.526099,medium,size_darkness_selected_top50
current_top50_all_selected,D. monticola,50,2,2,32.000000,944.635230,897.147622,977.979919,16.180162,15.366771,16.751305,D. fuscus,16.360000,955.134616,0.017128,0.989007,0.522077,0.663959,medium,size_darkness_selected_top50
current_top50_all_selected,D. ochrophaeus,50,2,2,21.120000,736.971533,694.009408,800.895713,12.623199,11.887323,13.718123,D. fuscus,16.360000,955.134616,0.017128,0.771589,0.532237,0.564693,limited,size_darkness_selected_top50
current_top50_all_selected,D. ocoee,50,3,3,28.695652,975.255636,933.975958,1028.713067,16.704642,15.997584,17.620287,D. fuscus,16.360000,955.134616,0.017128,1.021066,0.476187,0.640589,medium,size_darkness_selected_top50
current_top50_all_selected,D. perlapsus,50,3,3,31.111111,800.023712,753.481146,866.115554,13.703187,12.905983,14.835239,D. fuscus,16.360000,955.134616,0.017128,0.837603,0.459375,0.599537,medium,size_darkness_selected_top50
current_top50_all_selected,D. tilleyi,50,2,2,42.000000,935.285325,896.001902,996.464868,16.020012,15.347147,17.067924,D. fuscus,16.360000,955.134616,0.017128,0.979218,0.503856,0.581937,medium,size_darkness_selected_top50
current_top50_all_selected,D. valtos,50,2,2,50.000000,1299.026446,1219.491874,1360.700050,22.250343,20.888037,23.306718,D. fuscus,16.360000,955.134616,0.017128,1.360045,0.399255,0.625779,medium,size_darkness_selected_top50
current_top50_all_selected,D. welteri,50,2,2,44.880000,852.462047,778.215229,921.625289,14.601375,13.329641,15.786036,D. fuscus,16.360000,955.134616,0.017128,0.892505,0.448469,0.610858,medium,size_darkness_selected_top50
current_top50_primary,D. amphileucus,38,1,1,38.000000,951.391192,917.015488,995.494048,14.275116,13.759327,14.936856,D. fuscus,16.360000,1090.342087,0.015004,0.872562,0.486716,0.631025,low,low_image_count; low_specimen_count; size_darkness_selected_top50
current_top50_primary,D. anicetus,50,1,1,50.000000,871.067102,825.852922,908.916288,13.069896,12.391482,13.637803,D. fuscus,16.360000,1090.342087,0.015004,0.798893,0.468873,0.548851,low,low_image_count; low_specimen_count; size_darkness_selected_top50
