species,primary_genome_pg,primary_genome_se_pg,primary_genome_gb,primary_genome_q1_pg,primary_genome_q3_pg,primary_genome_ci_low_pg,primary_genome_ci_high_pg,primary_genome_bootstrap_sd_pg,primary_n_images,primary_n_specimens,primary_n_nuclei,primary_n_analysis_ready_images,primary_total_strict_images,primary_cv_measurement_pct,primary_cv_area_pct,primary_measurement_kind,primary_state,primary_state_converged,primary_state_capped_not_converged,primary_support_unit,primary_support_tier,primary_support_warnings,primary_source_image_existing_pct,primary_tile_manifest_existing_pct,primary_mask_existing_pct,primary_roi_zip_existing_pct,alternate_state,alternate_genome_pg,alternate_n_images,alternate_n_specimens,alternate_source_image_existing_pct,cross_state_pct_diff,primary_selection_reason,bundle_origin,reconstruction_method,reconstruction_source_path,reconstruction_source_sha256,raw_image_trace_path,raw_image_trace_sha256,genome_state_summary_path,genome_state_summary_sha256,genome_primary_missing,result_status,flag_summary
D. intermedius,16.285297,0.881853,15.927020466,15.048579,17.389234,14.767884,18.004296,0.881853,2.0,2.0,50.0,2,2,,,verified_linked_nucleus_iod,brightfield,False,False,weighted_median_linked_nucleus_iod,medium,auto_dominant,100.0,100.0,100.0,0.0,all_selected,18.59062,2,2,100.0,,image_qc_pass,verified_species_dataset,verified_reviewed_balanced_linked_pairs_with_od_qc_primary_genome,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,6a3f3235eeaa19863f9a5115b5d4d99443814f97a1983a58c39140e1da49f4b5,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,feb7ccf9fbb1b32ceb36d0f3e215540b9049c92793708801305dfbce725e4dc6,False,minor_caution,auto_dominant
D. kanawha,13.250501,0.386206,12.958989978,12.777268,14.609127,12.739098,14.271624,0.386206,1.0,1.0,45.0,1,2,,,verified_linked_nucleus_iod,brightfield,False,False,weighted_median_linked_nucleus_iod,limited,low_image_count; low_specimen_count; auto_dominant,100.0,100.0,100.0,0.0,all_selected,16.36166,2,2,100.0,,image_qc_pass,verified_species_dataset,verified_reviewed_balanced_linked_pairs_with_od_qc_primary_genome,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,6a3f3235eeaa19863f9a5115b5d4d99443814f97a1983a58c39140e1da49f4b5,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,feb7ccf9fbb1b32ceb36d0f3e215540b9049c92793708801305dfbce725e4dc6,False,sensitivity_limited,low_image_count; low_specimen_count; auto_dominant
D. marmoratus,15.868875,0.427191,15.519759749999999,15.083956,16.762482,15.183639,16.841738,0.427191,1.0,1.0,20.0,1,2,,,verified_linked_nucleus_iod,brightfield,False,False,weighted_median_linked_nucleus_iod,limited,low_pair_count; low_image_count; low_specimen_count; auto_dominant,100.0,100.0,100.0,0.0,all_selected,17.891595,2,2,100.0,,image_qc_pass,verified_species_dataset,verified_reviewed_balanced_linked_pairs_with_od_qc_primary_genome,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,6a3f3235eeaa19863f9a5115b5d4d99443814f97a1983a58c39140e1da49f4b5,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,feb7ccf9fbb1b32ceb36d0f3e215540b9049c92793708801305dfbce725e4dc6,False,sensitivity_limited,low_pair_count; low_image_count; low_specimen_count; auto_dominant
D. mavrokoilius,13.016767,0.961354,12.730398125999999,12.070047,14.319913,11.429624,14.963963,0.961354,2.0,2.0,50.0,2,2,,,verified_linked_nucleus_iod,brightfield,False,False,weighted_median_linked_nucleus_iod,medium,auto_dominant,100.0,100.0,100.0,0.0,all_selected,14.859402,2,2,100.0,,image_qc_pass,verified_species_dataset,verified_reviewed_balanced_linked_pairs_with_od_qc_primary_genome,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,6a3f3235eeaa19863f9a5115b5d4d99443814f97a1983a58c39140e1da49f4b5,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,feb7ccf9fbb1b32ceb36d0f3e215540b9049c92793708801305dfbce725e4dc6,False,minor_caution,auto_dominant
D. monticola,14.1026,0.397796,13.7923428,13.024956,14.383115,13.182961,14.6824,0.397796,1.0,1.0,40.0,1,2,,,verified_linked_nucleus_iod,brightfield,False,False,weighted_median_linked_nucleus_iod,limited,low_image_count; low_specimen_count; auto_dominant,100.0,100.0,100.0,0.0,all_selected,16.202877,2,2,100.0,,image_qc_pass,verified_species_dataset,verified_reviewed_balanced_linked_pairs_with_od_qc_primary_genome,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,6a3f3235eeaa19863f9a5115b5d4d99443814f97a1983a58c39140e1da49f4b5,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,feb7ccf9fbb1b32ceb36d0f3e215540b9049c92793708801305dfbce725e4dc6,False,sensitivity_limited,low_image_count; low_specimen_count; auto_dominant
D. ochrophaeus,12.74789,1.285275,12.46743642,11.887323,13.718123,11.261151,15.624737,1.285275,2.0,2.0,50.0,0,2,,,verified_linked_nucleus_iod,brightfield,False,False,weighted_median_linked_nucleus_iod,medium,,100.0,100.0,100.0,0.0,,12.74789,2,2,100.0,,all_selected_fallback,verified_species_dataset,verified_reviewed_balanced_linked_pairs_with_od_qc_primary_genome,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,6a3f3235eeaa19863f9a5115b5d4d99443814f97a1983a58c39140e1da49f4b5,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,feb7ccf9fbb1b32ceb36d0f3e215540b9049c92793708801305dfbce725e4dc6,True,minor_caution,nan; all_selected_genome_fallback
D. ocoee,14.898885,0.482433,14.57110953,14.361593,15.617521,14.161925,15.988662,0.482433,1.0,1.0,12.0,1,3,,,verified_linked_nucleus_iod,brightfield,False,False,weighted_median_linked_nucleus_iod,low,low_pair_count; low_image_count; low_specimen_count; auto_dominant,100.0,100.0,100.0,0.0,all_selected,16.704642,3,3,100.0,,image_qc_pass,verified_species_dataset,verified_reviewed_balanced_linked_pairs_with_od_qc_primary_genome,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,6a3f3235eeaa19863f9a5115b5d4d99443814f97a1983a58c39140e1da49f4b5,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,feb7ccf9fbb1b32ceb36d0f3e215540b9049c92793708801305dfbce725e4dc6,False,sensitivity_limited,low_pair_count; low_image_count; low_specimen_count; auto_dominant
D. perlapsus,10.725843,0.480472,10.489874453999999,10.431754,11.598411,10.256035,11.868279,0.480472,1.0,1.0,21.0,1,3,,,verified_linked_nucleus_iod,brightfield,False,False,weighted_median_linked_nucleus_iod,limited,low_pair_count; low_image_count; low_specimen_count; auto_dominant,100.0,100.0,100.0,0.0,all_selected,13.703187,3,3,100.0,,image_qc_pass,verified_species_dataset,verified_reviewed_balanced_linked_pairs_with_od_qc_primary_genome,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,6a3f3235eeaa19863f9a5115b5d4d99443814f97a1983a58c39140e1da49f4b5,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,feb7ccf9fbb1b32ceb36d0f3e215540b9049c92793708801305dfbce725e4dc6,False,sensitivity_limited,low_pair_count; low_image_count; low_specimen_count; auto_dominant
D. tilleyi,14.103864,0.466205,13.793578991999999,13.444029,14.951423,13.368888,15.083419,0.466205,2.0,2.0,50.0,2,2,,,verified_linked_nucleus_iod,brightfield,False,False,weighted_median_linked_nucleus_iod,medium,auto_dominant,100.0,100.0,100.0,0.0,all_selected,16.100386,2,2,100.0,,image_qc_pass,verified_species_dataset,verified_reviewed_balanced_linked_pairs_with_od_qc_primary_genome,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,6a3f3235eeaa19863f9a5115b5d4d99443814f97a1983a58c39140e1da49f4b5,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,feb7ccf9fbb1b32ceb36d0f3e215540b9049c92793708801305dfbce725e4dc6,False,minor_caution,auto_dominant
D. valtos,19.770085,0.492244,19.335143130000002,19.03365,20.525148,18.941852,20.870189,0.492244,1.0,1.0,25.0,1,2,,,verified_linked_nucleus_iod,brightfield,False,False,weighted_median_linked_nucleus_iod,limited,low_pair_count; low_image_count; low_specimen_count; auto_dominant,100.0,100.0,100.0,0.0,all_selected,22.250343,2,2,100.0,,image_qc_pass,verified_species_dataset,verified_reviewed_balanced_linked_pairs_with_od_qc_primary_genome,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,6a3f3235eeaa19863f9a5115b5d4d99443814f97a1983a58c39140e1da49f4b5,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,feb7ccf9fbb1b32ceb36d0f3e215540b9049c92793708801305dfbce725e4dc6,False,sensitivity_limited,low_pair_count; low_image_count; low_specimen_count; auto_dominant
D. welteri,11.741516,0.323077,11.483202648,10.951947,12.515004,11.249694,12.464577,0.323077,1.0,1.0,33.0,1,2,,,verified_linked_nucleus_iod,brightfield,False,False,weighted_median_linked_nucleus_iod,limited,low_image_count; low_specimen_count; auto_dominant,100.0,100.0,100.0,0.0,all_selected,14.601375,2,2,100.0,,image_qc_pass,verified_species_dataset,verified_reviewed_balanced_linked_pairs_with_od_qc_primary_genome,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,6a3f3235eeaa19863f9a5115b5d4d99443814f97a1983a58c39140e1da49f4b5,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,feb7ccf9fbb1b32ceb36d0f3e215540b9049c92793708801305dfbce725e4dc6,False,sensitivity_limited,low_image_count; low_specimen_count; auto_dominant
