species,image_type,n_images,n_total_strict_images,n_analysis_ready_images,n_specimens,n_nuclei,state_mean_area_um2,state_median_area_um2,state_mean_iod,state_median_iod,state_se_measurement,state_cv_measurement_pct,support_unit,support_tier,support_warnings,source_image_existing_pct,tile_manifest_existing_pct,mask_existing_pct,roi_zip_existing_pct,reference_species,reference_genome_pg,reference_state_mean_iod,genome_pg_estimate,genome_se_pg_estimate,genome_gb_estimate,state_se_pct,genome_source,genome_q1_pg,genome_q3_pg,genome_ci_low_pg,genome_ci_high_pg
intermedius,brightfield,2.0,2,2,2.0,50.0,43.375641,42.9408,1087.3574509999999,1087.3574509999999,0.881853,,weighted_median_linked_nucleus_iod,medium,auto_dominant,100.0,100.0,100.0,0.0,D. fuscus,16.36,1090.342087,16.285297,0.881853,15.927020466,5.415025590260957,image_qc_pass,15.048579,17.389234,14.767884,18.004296
kanawha,brightfield,1.0,2,1,1.0,45.0,41.031453,40.5504,920.820238,920.820238,0.386206,,weighted_median_linked_nucleus_iod,limited,low_image_count; low_specimen_count; auto_dominant,100.0,100.0,100.0,0.0,D. fuscus,16.36,1090.342087,13.250501,0.386206,12.958989978,2.914652057307116,image_qc_pass,12.777268,14.609127,12.739098,14.271624
marmoratus,brightfield,1.0,2,1,1.0,20.0,44.607563,44.5248,1039.78917075,1039.78917075,0.427191,,weighted_median_linked_nucleus_iod,limited,low_pair_count; low_image_count; low_specimen_count; auto_dominant,100.0,100.0,100.0,0.0,D. fuscus,16.36,1090.342087,15.868875,0.427191,15.519759749999999,2.6920055769548883,image_qc_pass,15.083956,16.762482,15.183639,16.841738
mavrokoilius,brightfield,2.0,2,2,2.0,50.0,39.606597,40.2624,867.501812,867.501812,0.961354,,weighted_median_linked_nucleus_iod,medium,auto_dominant,100.0,100.0,100.0,0.0,D. fuscus,16.36,1090.342087,13.016767,0.961354,12.730398125999999,7.385505171906358,image_qc_pass,12.070047,14.319913,11.429624,14.963963
monticola,brightfield,1.0,2,1,1.0,40.0,39.233994,39.6,948.326136,948.326136,0.397796,,weighted_median_linked_nucleus_iod,limited,low_image_count; low_specimen_count; auto_dominant,100.0,100.0,100.0,0.0,D. fuscus,16.36,1090.342087,14.1026,0.397796,13.7923428,2.820728092692127,image_qc_pass,13.024956,14.383115,13.182961,14.6824
ochrophaeus,brightfield,2.0,2,0,2.0,50.0,47.246443,47.1888,744.5837562500001,744.5837562500001,1.285275,,weighted_median_linked_nucleus_iod,medium,,100.0,100.0,100.0,0.0,D. fuscus,16.36,1090.342087,12.74789,1.285275,12.46743642,10.082256749940578,all_selected_fallback,11.887323,13.718123,11.261151,15.624737
ocoee,brightfield,1.0,3,1,1.0,12.0,40.155001,39.384,973.7814070000001,993.702075,0.482433,,weighted_median_linked_nucleus_iod,low,low_pair_count; low_image_count; low_specimen_count; auto_dominant,100.0,100.0,100.0,0.0,D. fuscus,16.36,1090.342087,14.898885,0.482433,14.57110953,3.2380476794068818,image_qc_pass,14.361593,15.617521,14.161925,15.988662
perlapsus,brightfield,1.0,3,1,1.0,21.0,36.639643,35.4096,793.4979884999999,800.844607,0.480472,,weighted_median_linked_nucleus_iod,limited,low_pair_count; low_image_count; low_specimen_count; auto_dominant,100.0,100.0,100.0,0.0,D. fuscus,16.36,1090.342087,10.725843,0.480472,10.489874453999999,4.479573307198325,image_qc_pass,10.431754,11.598411,10.256035,11.868279
tilleyi,brightfield,2.0,2,2,2.0,50.0,39.893197,39.456,936.608735,936.608735,0.466205,,weighted_median_linked_nucleus_iod,medium,auto_dominant,100.0,100.0,100.0,0.0,D. fuscus,16.36,1090.342087,14.103864,0.466205,13.793578991999999,3.3055125886069234,image_qc_pass,13.444029,14.951423,13.368888,15.083419
valtos,brightfield,1.0,2,1,1.0,25.0,49.510602,48.7728,1285.901534,1285.901534,0.492244,,weighted_median_linked_nucleus_iod,limited,low_pair_count; low_image_count; low_specimen_count; auto_dominant,100.0,100.0,100.0,0.0,D. fuscus,16.36,1090.342087,19.770085,0.492244,19.335143130000002,2.489842608162787,image_qc_pass,19.03365,20.525148,18.941852,20.870189
welteri,brightfield,1.0,2,1,1.0,33.0,46.501774,46.728,852.0800505,852.0800505,0.323077,,weighted_median_linked_nucleus_iod,limited,low_image_count; low_specimen_count; auto_dominant,100.0,100.0,100.0,0.0,D. fuscus,16.36,1090.342087,11.741516,0.323077,11.483202648,2.7515782459437097,image_qc_pass,10.951947,12.515004,11.249694,12.464577
